"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults reporting to have asthma in 2013."
"24510260605, MD","24510260605","=""24510260605""","10.09"
"24510250600, MD","24510250600","=""24510250600""","N/A"
"24510250500, MD","24510250500","=""24510250500""","10.74"
"24510260404, MD","24510260404","=""24510260404""","10.06"
"24510240100, MD","24510240100","=""24510240100""","8.86"
"24510271501, MD","24510271501","=""24510271501""","8.79"
"24510271200, MD","24510271200","=""24510271200""","9.38"
"24510280102, MD","24510280102","=""24510280102""","11.71"
"24510280301, MD","24510280301","=""24510280301""","12.62"
"24510260501, MD","24510260501","=""24510260501""","9.82"
"24510271300, MD","24510271300","=""24510271300""","8.86"
"24510130400, MD","24510130400","=""24510130400""","12.46"
"24510250103, MD","24510250103","=""24510250103""","11.00"
"24510250206, MD","24510250206","=""24510250206""","9.92"
"24510280200, MD","24510280200","=""24510280200""","10.90"
"24510210200, MD","24510210200","=""24510210200""","11.12"
"24510250205, MD","24510250205","=""24510250205""","10.42"
"24510270501, MD","24510270501","=""24510270501""","9.46"
"24510080101, MD","24510080101","=""24510080101""","10.29"
"24510250301, MD","24510250301","=""24510250301""","11.33"
"24510270803, MD","24510270803","=""24510270803""","11.76"
"24510240400, MD","24510240400","=""24510240400""","8.23"
"24510090200, MD","24510090200","=""24510090200""","10.38"
"24510230300, MD","24510230300","=""24510230300""","9.13"
"24510272003, MD","24510272003","=""24510272003""","9.27"
"24510280403, MD","24510280403","=""24510280403""","10.90"
"24510200600, MD","24510200600","=""24510200600""","10.79"
"24510271700, MD","24510271700","=""24510271700""","11.56"
"24510271400, MD","24510271400","=""24510271400""","8.87"
"24510151100, MD","24510151100","=""24510151100""","11.45"
"24510260403, MD","24510260403","=""24510260403""","11.38"
"24510130805, MD","24510130805","=""24510130805""","11.36"
"24510280401, MD","24510280401","=""24510280401""","10.50"
"24510260101, MD","24510260101","=""24510260101""","10.60"
"24510260201, MD","24510260201","=""24510260201""","11.67"
"24510270600, MD","24510270600","=""24510270600""","10.00"
"24510270502, MD","24510270502","=""24510270502""","9.76"
"24510210100, MD","24510210100","=""24510210100""","10.22"
"24510151000, MD","24510151000","=""24510151000""","11.91"
"24510270401, MD","24510270401","=""24510270401""","10.12"
"24510260102, MD","24510260102","=""24510260102""","10.41"
"24510150900, MD","24510150900","=""24510150900""","11.75"
"24510220100, MD","24510220100","=""24510220100""","10.38"
"24510280101, MD","24510280101","=""24510280101""","11.35"
"24510130806, MD","24510130806","=""24510130806""","9.40"
"24510271900, MD","24510271900","=""24510271900""","10.58"
"24510260402, MD","24510260402","=""24510260402""","11.28"
"24510260401, MD","24510260401","=""24510260401""","10.60"
"24510250207, MD","24510250207","=""24510250207""","11.38"
"24510250203, MD","24510250203","=""24510250203""","12.39"
"24510271102, MD","24510271102","=""24510271102""","9.12"
"24510270805, MD","24510270805","=""24510270805""","10.70"
"24510160802, MD","24510160802","=""24510160802""","11.53"
"24510260303, MD","24510260303","=""24510260303""","13.37"
"24510250401, MD","24510250401","=""24510250401""","10.22"
"24510200701, MD","24510200701","=""24510200701""","11.57"
"24510270402, MD","24510270402","=""24510270402""","9.79"
"24510040100, MD","24510040100","=""24510040100""","9.94"
"24510270301, MD","24510270301","=""24510270301""","10.18"
"24510270902, MD","24510270902","=""24510270902""","10.27"
"24510270802, MD","24510270802","=""24510270802""","10.78"
"24510150800, MD","24510150800","=""24510150800""","12.18"
"24510270903, MD","24510270903","=""24510270903""","10.41"
"24510200800, MD","24510200800","=""24510200800""","12.68"
"24510130700, MD","24510130700","=""24510130700""","9.54"
"24510120700, MD","24510120700","=""24510120700""","9.99"
"24510020300, MD","24510020300","=""24510020300""","8.61"
"24510120100, MD","24510120100","=""24510120100""","8.82"
"24510250303, MD","24510250303","=""24510250303""","10.60"
"24510160500, MD","24510160500","=""24510160500""","12.03"
"24510270102, MD","24510270102","=""24510270102""","9.69"
"24510260202, MD","24510260202","=""24510260202""","11.80"
"24510271101, MD","24510271101","=""24510271101""","11.22"
"24510270703, MD","24510270703","=""24510270703""","9.83"
"24510120202, MD","24510120202","=""24510120202""","11.63"
"24510150701, MD","24510150701","=""24510150701""","11.44"
"24510280302, MD","24510280302","=""24510280302""","12.02"
"24510160700, MD","24510160700","=""24510160700""","12.44"
"24510250101, MD","24510250101","=""24510250101""","10.26"
"24510150500, MD","24510150500","=""24510150500""","11.40"
"24510150600, MD","24510150600","=""24510150600""","13.46"
"24510270101, MD","24510270101","=""24510270101""","10.16"
"24510271002, MD","24510271002","=""24510271002""","11.91"
"24510270200, MD","24510270200","=""24510270200""","9.64"
"24510010400, MD","24510010400","=""24510010400""","8.27"
"24510272005, MD","24510272005","=""24510272005""","9.13"
"24510151300, MD","24510151300","=""24510151300""","13.13"
"24510200200, MD","24510200200","=""24510200200""","12.29"
"24510280500, MD","24510280500","=""24510280500""","15.81"
"24510260302, MD","24510260302","=""24510260302""","11.46"
"24510260203, MD","24510260203","=""24510260203""","11.84"
"24510130600, MD","24510130600","=""24510130600""","8.77"
"24510080200, MD","24510080200","=""24510080200""","12.93"
"24510250204, MD","24510250204","=""24510250204""","15.01"
"24510270702, MD","24510270702","=""24510270702""","10.63"
"24510271600, MD","24510271600","=""24510271600""","12.48"
"24510280404, MD","24510280404","=""24510280404""","11.28"
"24510090800, MD","24510090800","=""24510090800""","11.89"
"24510150400, MD","24510150400","=""24510150400""","12.52"
"24510270801, MD","24510270801","=""24510270801""","10.12"
"24510272007, MD","24510272007","=""24510272007""","10.11"
"24510090300, MD","24510090300","=""24510090300""","11.15"
"24510151200, MD","24510151200","=""24510151200""","13.93"
"24510260700, MD","24510260700","=""24510260700""","9.35"
"24510240200, MD","24510240200","=""24510240200""","8.59"
"24510090500, MD","24510090500","=""24510090500""","11.42"
"24510271503, MD","24510271503","=""24510271503""","8.58"
"24510130804, MD","24510130804","=""24510130804""","9.24"
"24510272006, MD","24510272006","=""24510272006""","12.11"
"24510250102, MD","24510250102","=""24510250102""","10.42"
"24510110200, MD","24510110200","=""24510110200""","11.21"
"24510270804, MD","24510270804","=""24510270804""","11.32"
"24510272004, MD","24510272004","=""24510272004""","9.04"
"24510250402, MD","24510250402","=""24510250402""","11.01"
"24510130803, MD","24510130803","=""24510130803""","8.41"
"24510090900, MD","24510090900","=""24510090900""","13.26"
"24510010300, MD","24510010300","=""24510010300""","8.31"
"24510270901, MD","24510270901","=""24510270901""","10.63"
"24510200500, MD","24510200500","=""24510200500""","12.57"
"24510090100, MD","24510090100","=""24510090100""","11.88"
"24510260301, MD","24510260301","=""24510260301""","11.55"
"24510030200, MD","24510030200","=""24510030200""","9.58"
"24510140100, MD","24510140100","=""24510140100""","11.24"
"24510160600, MD","24510160600","=""24510160600""","13.57"
"24510271801, MD","24510271801","=""24510271801""","13.14"
"24510280402, MD","24510280402","=""24510280402""","10.73"
"24510260900, MD","24510260900","=""24510260900""","9.16"
"24510010100, MD","24510010100","=""24510010100""","8.34"
"24510271802, MD","24510271802","=""24510271802""","12.37"
"24510120500, MD","24510120500","=""24510120500""","12.20"
"24510270302, MD","24510270302","=""24510270302""","9.71"
"24510271001, MD","24510271001","=""24510271001""","12.17"
"24510120600, MD","24510120600","=""24510120600""","13.73"
"24510260604, MD","24510260604","=""24510260604""","13.78"
"24510170200, MD","24510170200","=""24510170200""","16.12"
"24510100100, MD","24510100100","=""24510100100""","13.64"
"24510080302, MD","24510080302","=""24510080302""","13.35"
"24510090700, MD","24510090700","=""24510090700""","12.31"
"24510040200, MD","24510040200","=""24510040200""","12.04"
"24510060400, MD","24510060400","=""24510060400""","12.20"
"24510030100, MD","24510030100","=""24510030100""","13.87"
"24510150200, MD","24510150200","=""24510150200""","12.10"
"24510120300, MD","24510120300","=""24510120300""","11.03"
"24510160400, MD","24510160400","=""24510160400""","12.51"
"24510090600, MD","24510090600","=""24510090600""","11.09"
"24510150300, MD","24510150300","=""24510150300""","12.11"
"24510140200, MD","24510140200","=""24510140200""","14.45"
"24510150702, MD","24510150702","=""24510150702""","11.19"
"24510140300, MD","24510140300","=""24510140300""","13.63"
"24510160801, MD","24510160801","=""24510160801""","11.15"
"24510270701, MD","24510270701","=""24510270701""","11.40"
"24510200400, MD","24510200400","=""24510200400""","13.40"
"24510190100, MD","24510190100","=""24510190100""","12.45"
"24510160100, MD","24510160100","=""24510160100""","13.68"
"24510190300, MD","24510190300","=""24510190300""","13.16"
"24510160200, MD","24510160200","=""24510160200""","11.83"
"24510150100, MD","24510150100","=""24510150100""","13.92"
"24510080102, MD","24510080102","=""24510080102""","11.05"
"24510130300, MD","24510130300","=""24510130300""","12.75"
"24510010200, MD","24510010200","=""24510010200""","8.65"
"24510090400, MD","24510090400","=""24510090400""","12.37"
"24510130200, MD","24510130200","=""24510130200""","11.61"
"24510080500, MD","24510080500","=""24510080500""","11.59"
"24510120201, MD","24510120201","=""24510120201""","10.44"
"24510180100, MD","24510180100","=""24510180100""","14.63"
"24510080600, MD","24510080600","=""24510080600""","12.24"
"24510230100, MD","24510230100","=""24510230100""","10.45"
"24510080800, MD","24510080800","=""24510080800""","13.72"
"24510070400, MD","24510070400","=""24510070400""","14.11"
"24510110100, MD","24510110100","=""24510110100""","9.86"
"24510260800, MD","24510260800","=""24510260800""","9.84"
"24510070200, MD","24510070200","=""24510070200""","11.78"
"24510261000, MD","24510261000","=""24510261000""","10.53"
