"ZIPCODE","total_count","population","urticaria_count","urticaria_prev","urticaria_percap","heat_exhaustion_count","heat_exhaustion_prev","heat_exhaustion_percap","heat_syncope_count","heat_syncope_prev","heat_syncope_percap","heat_cramps_count","heat_cramps_prev","heat_cramps_percap","carbon_monoxide_count","carbon_monoxide_prev","carbon_monoxide_percap","heatstroke_count","heatstroke_prev","heatstroke_percap","all_effects_heat_count","all_effects_heat_prev","all_effects_heat_percap","hypothermia_count","hypothermia_prev","hypothermia_percap","osteoarthritis_count","osteoarthritis_prev","osteoarthritis_percap","kidney_disease_count","kidney_disease_prev","kidney_disease_percap","mental_illness_count","mental_illness_prev","mental_illness_percap","influenza_count","influenza_prev","influenza_percap","acute_bronchitis_count","acute_bronchitis_prev","acute_bronchitis_percap","bronchitis_count","bronchitis_prev","bronchitis_percap","copd_count","copd_prev","copd_percap","asthma_count","asthma_prev","asthma_percap","respiratory_count","respiratory_prev","respiratory_percap","hypertension_count","hypertension_prev","hypertension_percap","heart_attack_count","heart_attack_prev","heart_attack_percap","cerebrovascular_disease_count","cerebrovascular_disease_prev","cerebrovascular_disease_percap","congestive_artery_disease_count","congestive_artery_disease_prev","congestive_artery_disease_percap","angina_pectoris_count","angina_pectoris_prev","angina_pectoris_percap","heart_disease_count","heart_disease_prev","heart_disease_percap","circulatory_count","circulatory_prev","circulatory_percap","thyroid_count","thyroid_prev","thyroid_percap","diabetes_count","diabetes_prev","diabetes_percap"
"CITYWIDE",775928,30037,740,0.000953696734748585,0.000723610228328363,84,0.000108257467187677,8.21395394318682e-05,6,7.73267622769123e-06,5.86710995941916e-06,1,1.28877937128187e-06,9.77851659903193e-07,93,0.000119856481529214,9.09402043709969e-05,64,8.24818797620398e-05,6.25825062338043e-05,157,0.000202338361291254,0.000153522710604801,1116,0.00143827777835057,0.00109128245245196,74342,0.0958104360198369,0.0726954481005232,175847,0.226627986101803,0.171952280838997,376927,0.485775742079162,0.368578692612331,4795,0.00617969708529657,0.00468879870923581,7147,0.00921090616655154,0.00698870581332812,25421,0.0327620603973565,0.0248579670463991,195023,0.251341619325504,0.1907035642693,95367,0.122907022301038,0.0932547792499878,285024,0.367333051520244,0.278711191512248,406037,0.523292109577177,0.397043954432113,21902,0.0282268457898156,0.0214169070551997,57569,0.0741937396253261,0.0562939422089669,73790,0.0950990298068893,0.0721556739842566,2103,0.00271030301780578,0.00205642204077641,456018,0.587706591333216,0.445917958245734,476291,0.613834015527214,0.465741944946952,74789,0.0963865203987999,0.0731325477924999,195098,0.251438277778351,0.190776903143793
"21201",14359,16595,11,0.000766070060589178,1.07563682589351e-05,0,0,0,1,6.96427327808343e-05,9.77851659903193e-07,0,0,0,5,0.000348213663904172,4.88925829951596e-06,3,0.000208928198342503,2.93355497970958e-06,4,0.000278570931123337,3.91140663961277e-06,35,0.0024374956473292,3.42248080966117e-05,1179,0.0821087819486037,0.00115288710702586,3237,0.225433526011561,0.00316530582310663,7998,0.557002576781113,0.00782085757590574,95,0.00661605961417926,9.28959076908033e-05,103,0.00717320147642593,0.000100718720970029,447,0.0311303015530329,0.000437099691976727,4179,0.291036980291107,0.00408644208673544,2238,0.155860435963507,0.00218843201486335,5798,0.403788564663277,0.00566958392411871,7496,0.522041924925134,0.00732997604263433,316,0.0220071035587436,0.000309001124529409,1017,0.0708266592381085,0.000994475138121547,1266,0.0881676997005362,0.00123796020143744,47,0.00327320844069921,4.59590280154501e-05,8335,0.580472177728254,0.00815039358529311,8752,0.609513197297862,0.00855815772747274,1111,0.0773730761195069,0.00108639319415245,3721,0.259140608677485,0.00363858602649978
"21202",15788,21788,16,0.00101342791993919,1.56456265584511e-05,2,0.000126678489992399,1.95570331980639e-06,0,0,0,0,0,0,5,0.000316696224980998,4.88925829951596e-06,2,0.000126678489992399,1.95570331980639e-06,5,0.000316696224980998,4.88925829951596e-06,37,0.00234355206485939,3.61805114164181e-05,1199,0.0759437547504434,0.00117244414022393,3452,0.218647073726881,0.00337554392998582,9234,0.584874588294908,0.00902948222754608,107,0.00677729921459336,0.000104630127609642,86,0.00544717506967317,8.40952427516746e-05,377,0.0238788953635673,0.000368650075783504,4220,0.267291613883962,0.00412653400479147,2399,0.151950848745883,0.00234586613210776,5902,0.37382822396757,0.00577128049674864,8028,0.508487458829491,0.00785019312570283,417,0.0264124651634153,0.000407764142179631,1004,0.0635926019761844,0.000981763066542805,1419,0.0898783886496073,0.00138757150540263,46,0.00291360526982518,4.49811763555469e-05,8970,0.568153027615911,0.00877132938933164,9465,0.59950595388903,0.00925536596098372,1080,0.0684063845958956,0.00105607979269545,3907,0.247466430200152,0.00382046643524177
"21205",16770,14766,27,0.00161001788908766,2.64019948173862e-05,1,5.96302921884317e-05,9.77851659903193e-07,0,0,0,0,0,0,1,5.96302921884317e-05,9.77851659903193e-07,2,0.000119260584376863,1.95570331980639e-06,3,0.000178890876565295,2.93355497970958e-06,23,0.00137149672033393,2.24905881777734e-05,1429,0.0852116875372689,0.00139735002200166,3801,0.226654740608229,0.00371681415929204,9078,0.541323792486583,0.00887693736860118,130,0.00775193798449612,0.000127120715787415,110,0.00655933214072749,0.000107563682589351,513,0.0305903398926655,0.000501637901530338,5238,0.312343470483005,0.00512198699457292,2822,0.168276684555754,0.00275949738424681,6830,0.407274895646989,0.00667872683713881,8552,0.509958258795468,0.0083625873954921,602,0.0358974358974359,0.000588666699261722,1112,0.0663088849135361,0.00108737104581235,1654,0.0986285032796661,0.00161736664547988,61,0.00363744782349434,5.96489512540948e-05,9554,0.569707811568277,0.0093423947587151,9978,0.594991055456172,0.00975700386251406,1261,0.0751937984496124,0.00123307094313793,4159,0.248002385211688,0.00406688505353738
"21206",37807,51287,37,0.00097865474647552,3.61805114164181e-05,5,0.000132250641415611,4.88925829951596e-06,0,0,0,0,0,0,2,5.29002565662443e-05,1.95570331980639e-06,0,0,0,5,0.000132250641415611,4.88925829951596e-06,40,0.00105800513132489,3.91140663961277e-05,3387,0.0895865844949348,0.00331198357209211,8850,0.234083635305631,0.00865398719014326,17207,0.455127357367683,0.0168258935119542,253,0.00669188245562991,0.000247396469955508,335,0.00886079297484593,0.00032758030606757,1178,0.0311582511175179,0.00115190925536596,9620,0.254450234083635,0.00940693296826871,4995,0.132118390774195,0.00488436904121645,13892,0.367445182109133,0.0135843152593752,19631,0.519242468325971,0.0191962059355596,1096,0.0289893405983019,0.0010717254192539,2771,0.0732933054725315,0.00270962694959175,3586,0.0948501600232761,0.00350657605241285,114,0.00301531462427593,0.000111475089228964,22093,0.584362684159018,0.0216036767222412,23164,0.612690771550242,0.0226509558499976,3147,0.0832385537069855,0.00307729917371535,9926,0.262543973338271,0.00970615557619909
"21207",34990,48243,24,0.000685910260074307,2.34684398376766e-05,5,0.000142897970848814,4.88925829951596e-06,0,0,0,0,0,0,1,2.85795941697628e-05,9.77851659903193e-07,5,0.000142897970848814,4.88925829951596e-06,9,0.000257216347527865,8.80066493912873e-06,38,0.00108602457845099,3.71583630763213e-05,3454,0.0987139182623607,0.00337749963330563,8826,0.252243498142326,0.00863051875030558,14396,0.411431837667905,0.0140771524959664,243,0.00694484138325236,0.000237617953356476,388,0.011088882537868,0.000379406444042439,1101,0.0314661331809088,0.00107661467755342,7807,0.223120891683338,0.00763408790886423,4281,0.122349242640755,0.00418618295604557,12129,0.346641897685053,0.0118603627829658,19930,0.569591311803372,0.0194885835818706,822,0.023492426407545,0.000803794064440424,2802,0.0800800228636753,0.00273994035104875,3554,0.101571877679337,0.00347528479929595,90,0.00257216347527865,8.80066493912873e-05,21783,0.622549299799943,0.0213005427076712,22554,0.64458416690483,0.0220544663374566,3126,0.0893398113746785,0.00305676428885738,10179,0.290911689054015,0.0099535520461546
"21208",24307,36797,18,0.000740527420084749,1.76013298782575e-05,2,8.2280824453861e-05,1.95570331980639e-06,0,0,0,0,0,0,1,4.11404122269305e-05,9.77851659903193e-07,2,8.2280824453861e-05,1.95570331980639e-06,4,0.000164561648907722,3.91140663961277e-06,22,0.000905089068992471,2.15127365178702e-05,3154,0.129756860163739,0.00308414413533467,5918,0.243468959558975,0.00578692612330709,10307,0.424034228822973,0.0100787170586222,186,0.00765211667420908,0.000181880408741994,222,0.00913317151437857,0.000217083068498509,683,0.0280989015509935,0.000667872683713881,4297,0.17678035133912,0.00420182858260402,2103,0.0865182869132349,0.00205642204077641,7718,0.31752170156745,0.00754705911113284,14482,0.595795449870408,0.014161247738718,784,0.0322540831859135,0.000766635701364103,1947,0.0801003826058337,0.00190387718183152,2497,0.102727609330645,0.00244169559477827,73,0.00300325009256593,7.13831711729331e-05,16254,0.668696260336529,0.0158940008800665,16847,0.693092524787098,0.0164738669143891,3828,0.15748549800469,0.00374321615410942,6332,0.260501090220924,0.00619175671050702
"21209",14951,27462,22,0.00147147348003478,2.15127365178702e-05,1,6.68851581833991e-05,9.77851659903193e-07,0,0,0,0,0,0,2,0.000133770316366798,1.95570331980639e-06,1,6.68851581833991e-05,9.77851659903193e-07,2,0.000133770316366798,1.95570331980639e-06,16,0.00107016253093439,1.56456265584511e-05,1401,0.0937061066149422,0.00136997017552437,2519,0.168483713463982,0.00246320833129614,5224,0.349408066350077,0.00510829707133428,90,0.00601966423650592,8.80066493912873e-05,93,0.00622031971105612,9.09402043709969e-05,271,0.0181258778677012,0.000264997799833765,2211,0.147883084743495,0.00216203002004596,1207,0.0807303859273627,0.00118026695350315,4000,0.267540632733596,0.00391140663961277,6498,0.434619757875727,0.00635408008605095,350,0.0234098053641897,0.000342248080966117,978,0.0654136847033643,0.000956338923385322,1070,0.071567119256237,0.00104630127609642,39,0.00260852116915257,3.81362147362245e-05,7426,0.496689184669922,0.00726152642644111,7917,0.529529797337971,0.00774165159145358,1915,0.128085077921209,0.00187258592871461,2576,0.172296167480436,0.00251894587591062
"21210",4641,15258,7,0.00150829562594268,6.84496161932235e-06,1,0.000215470803706098,9.77851659903193e-07,0,0,0,0,0,0,2,0.000430941607412196,1.95570331980639e-06,0,0,0,1,0.000215470803706098,9.77851659903193e-07,2,0.000430941607412196,1.95570331980639e-06,671,0.144580909286792,0.000656138463795042,774,0.16677440206852,0.000756857184765071,1722,0.3710407239819,0.0016838605583533,25,0.00538677009265245,2.44462914975798e-05,26,0.00560224089635854,2.5424143157483e-05,72,0.015513897866839,7.04053195130299e-05,660,0.142210730446025,0.000645382095536107,272,0.0586080586080586,0.000265975651493668,1216,0.262012497306615,0.00118906761844228,2156,0.464555052790347,0.00210824817875128,96,0.0206851971557854,9.38737593507065e-05,357,0.0769230769230769,0.00034909304258544,306,0.0659340659340659,0.000299222607930377,13,0.00280112044817927,1.27120715787415e-05,2619,0.56431803490627,0.00256099349728646,2776,0.598146951088128,0.00271451620789126,656,0.1413488472312,0.000641470688896494,651,0.14027149321267,0.000636581430596978
"21211",11047,16436,12,0.00108626776500407,1.17342199188383e-05,0,0,0,0,0,0,0,0,0,1,9.05223137503395e-05,9.77851659903193e-07,1,9.05223137503395e-05,9.77851659903193e-07,1,9.05223137503395e-05,9.77851659903193e-07,15,0.00135783470625509,1.46677748985479e-05,1113,0.100751335204128,0.00108834889747225,2190,0.198243867113243,0.00214149513518799,5725,0.518240246220693,0.00559820075294578,65,0.00588395039377207,6.35603578937075e-05,110,0.00995745451253734,0.000107563682589351,447,0.0404634742464017,0.000437099691976727,2906,0.263057843758486,0.00284163692367868,1019,0.0922422377115959,0.000996430841441353,4236,0.383452521046438,0.00414217963134992,5674,0.513623608219426,0.00554833031829072,279,0.0252557255363447,0.000272820613112991,969,0.0877161220240789,0.000947538258446194,1145,0.103648049244139,0.00111964015058916,33,0.0029872363537612,3.22691047768054e-05,6476,0.586222503847198,0.00633256734953308,6835,0.61872001448357,0.00668361609543832,1406,0.127274373132977,0.00137485943382389,2604,0.235720105005884,0.00254632572238791
