"ZIPCODE","total_count","population","urticaria_count","urticaria_prev","black_urticaria_count","white_urticaria_count","black_urticaria_prev","white_urticaria_prev","heat_exhaustion_count","heat_exhaustion_prev","black_heat_exhaustion_count","white_heat_exhaustion_count","black_heat_exhaustion_prev","white_heat_exhaustion_prev","heat_syncope_count","heat_syncope_prev","black_heat_syncope_count","white_heat_syncope_count","black_heat_syncope_prev","white_heat_syncope_prev","heat_cramps_count","heat_cramps_prev","black_heat_cramps_count","white_heat_cramps_count","black_heat_cramps_prev","white_heat_cramps_prev","carbon_monoxide_count","carbon_monoxide_prev","black_carbon_monoxide_count","white_carbon_monoxide_count","black_carbon_monoxide_prev","white_carbon_monoxide_prev","heatstroke_count","heatstroke_prev","black_heatstroke_count","white_heatstroke_count","black_heatstroke_prev","white_heatstroke_prev","all_effects_heat_count","all_effects_heat_prev","black_all_effects_heat_count","white_all_effects_heat_count","black_all_effects_heat_prev","white_all_effects_heat_prev","hypothermia_count","hypothermia_prev","black_hypothermia_count","white_hypothermia_count","black_hypothermia_prev","white_hypothermia_prev","osteoarthritis_count","osteoarthritis_prev","black_osteoarthritis_count","white_osteoarthritis_count","black_osteoarthritis_prev","white_osteoarthritis_prev","kidney_disease_count","kidney_disease_prev","black_kidney_disease_count","white_kidney_disease_count","black_kidney_disease_prev","white_kidney_disease_prev","mental_illness_count","mental_illness_prev","black_mental_illness_count","white_mental_illness_count","black_mental_illness_prev","white_mental_illness_prev","influenza_count","influenza_prev","black_influenza_count","white_influenza_count","black_influenza_prev","white_influenza_prev","acute_bronchitis_count","acute_bronchitis_prev","black_acute_bronchitis_count","white_acute_bronchitis_count","black_acute_bronchitis_prev","white_acute_bronchitis_prev","bronchitis_count","bronchitis_prev","black_bronchitis_count","white_bronchitis_count","black_bronchitis_prev","white_bronchitis_prev","copd_count","copd_prev","black_copd_count","white_copd_count","black_copd_prev","white_copd_prev","asthma_count","asthma_prev","black_asthma_count","white_asthma_count","black_asthma_prev","white_asthma_prev","respiratory_count","respiratory_prev","black_respiratory_count","white_respiratory_count","black_respiratory_prev","white_respiratory_prev","hypertension_count","hypertension_prev","black_hypertension_count","white_hypertension_count","black_hypertension_prev","white_hypertension_prev","heart_attack_count","heart_attack_prev","black_heart_attack_count","white_heart_attack_count","black_heart_attack_prev","white_heart_attack_prev","cerebrovascular_disease_count","cerebrovascular_disease_prev","black_cerebrovascular_disease_count","white_cerebrovascular_disease_count","black_cerebrovascular_disease_prev","white_cerebrovascular_disease_prev","congestive_artery_disease_count","congestive_artery_disease_prev","black_congestive_artery_disease_count","white_congestive_artery_disease_count","black_congestive_artery_disease_prev","white_congestive_artery_disease_prev","angina_pectoris_count","angina_pectoris_prev","black_angina_pectoris_count","white_angina_pectoris_count","black_angina_pectoris_prev","white_angina_pectoris_prev","heart_disease_count","heart_disease_prev","black_heart_disease_count","white_heart_disease_count","black_heart_disease_prev","white_heart_disease_prev","circulatory_count","circulatory_prev","black_circulatory_count","white_circulatory_count","black_circulatory_prev","white_circulatory_prev","thyroid_count","thyroid_prev","black_thyroid_count","white_thyroid_count","black_thyroid_prev","white_thyroid_prev","diabetes_count","diabetes_prev","black_diabetes_count","white_diabetes_count","black_diabetes_prev","white_diabetes_prev"
"CITYWIDE",2903633,34010,8979,0.00309233294979083,6157,1934,0.00301204229872102,0.00275188498429832,659,0.000226957056900786,402,232,0.000196660874465787,0.000330112366265362,68,2.34189375861206e-05,54,13,2.64171323909266e-05,1.84976756959039e-05,36,1.2398261075005e-05,25,10,1.22301538846882e-05,1.42289813045415e-05,513,0.000176675220318821,372,104,0.000181984689804161,0.000147981405567231,27,9.29869580625375e-06,13,14,6.35968002003788e-06,1.9920573826358e-05,912,0.000314089280566793,567,314,0.000277379890104729,0.000446790012962602,366,0.000126048987595884,254,100,0.000124258363468433,0.000142289813045415,42494,0.0146347696144795,29413,12198,0.0143890206484134,0.0173565113952797,46076,0.0158683965914425,34284,10785,0.0167719438313061,0.015345956336948,685597,0.236116961062228,446003,218568,0.218187412921304,0.310999998577102,17987,0.00619465338766986,12865,3237,0.00629363718906057,0.00460592124828007,23633,0.00813911399959981,17437,5057,0.00853028773149235,0.00719559584570662,55862,0.019238657226998,40030,13139,0.0195829224001628,0.018695458536037,384457,0.132405507169811,292470,80963,0.143078124266191,0.115202101335959,301047,0.103679425051306,244381,47109,0.11955268945976,0.0670313080275644,614614,0.211670689787587,460779,124516,0.22541592307331,0.177173583611628,532975,0.183554533234744,385059,134978,0.188373232987367,0.19205994385244,1913,0.000658829817680127,1076,765,0.000526385823196982,0.00108851706979742,11790,0.00406043050206414,7743,3782,0.00378792326116564,0.00538140072937758,34183,0.0117724932868582,23587,10155,0.0115389055871257,0.0144495305147619,1118,0.0003850348856071,692,385,0.00033853065952817,0.000547815780224846,574224,0.197760529653713,406037,153939,0.198635799715086,0.219039515303981,588085,0.202534204563731,415088,158092,0.203063604627499,0.224948811239757,43854,0.0151031483662019,20829,21514,0.0101896750105669,0.0306122303785905,228200,0.0785911993698928,164992,55734,0.0807151019896993,0.0793038044027314
"21201",76422,16595,180,0.00235534270236319,143,19,0.00229851801845244,0.00176760628895711,17,0.000222449033000968,14,3,0.000225029736072267,0.000279095729835334,2,2.61704744707022e-05,1,1,1.60735525765905e-05,9.30319099451112e-05,3,3.92557117060532e-05,3,0,4.82206577297714e-05,0,15,0.000196278558530266,11,3,0.000176809078342495,0.000279095729835334,0,0,0,0,0,0,32,0.000418727591531234,27,5,0.000433985919567943,0.000465159549725556,27,0.000353301405354479,22,5,0.00035361815668499,0.000465159549725556,1433,0.0187511449582581,1249,170,0.0200758671681615,0.0158154246906689,1197,0.0156630289707152,1054,116,0.0169415244157264,0.0107917015536329,24163,0.316178587317788,18782,4607,0.301893464493522,0.428598009117127,264,0.00345450263013268,238,15,0.00382550551322853,0.00139547864917667,419,0.0054827144016121,377,34,0.00605972932137461,0.00316308493813378,1182,0.015466750412185,1000,138,0.0160735525765905,0.0128384035724253,11402,0.149197874957473,10085,1105,0.162101777734915,0.102800260489348,8727,0.114194865352909,8055,512,0.129472466004436,0.0476323378918969,16518,0.216141948653529,14530,1539,0.23354871893786,0.143176109405526,14792,0.193556829185313,13033,1456,0.209486610730704,0.135454460880082,41,0.000536494726649394,31,7,0.000498280129874305,0.000651223369615778,319,0.00417419067807699,275,39,0.00442022695856238,0.00362824448785934,747,0.00977467221480726,630,103,0.010126338123252,0.00958228672434645,34,0.000444898066001937,27,6,0.000433985919567943,0.000558191459670667,15605,0.204195127057654,13587,1679,0.218391358858135,0.156200576797842,16044,0.209939546203973,13916,1760,0.223679557655833,0.163736161503396,822,0.0107560650074586,556,230,0.00893689523258431,0.0213973392873756,6208,0.0812331527570595,5507,521,0.0885170540392838,0.0484696250814029
"21202",82496,21788,178,0.00215768037238169,144,22,0.00217132345180114,0.00172063194118567,24,0.000290923196276183,20,4,0.000301572701639048,0.000312842171124668,0,0,0,0,0,0,0,0,0,0,0,0,7,8.48525989138867e-05,6,0,9.04718104917143e-05,0,0,0,0,0,0,0,33,0.000400019394879752,26,7,0.000392044512130762,0.000547473799468168,38,0.000460628394103957,26,9,0.000392044512130762,0.000703894885030502,1374,0.0166553529868115,1158,189,0.0174610594249009,0.0147817925856405,1052,0.0127521334367727,873,150,0.0131636484265444,0.011731581417175,22037,0.26712810318076,16436,4868,0.247832446206969,0.38072892225872,345,0.00418202094647013,291,31,0.00438788280884814,0.00242452682621617,392,0.00475174553917766,329,51,0.00496087094196233,0.00398873768183951,1264,0.015321955003879,1014,220,0.0152897359730997,0.0172063194118567,10580,0.128248642358417,9180,1147,0.138421870052323,0.0897074925699984,8244,0.0999321179208689,7526,524,0.113481807626774,0.0409823244173315,16400,0.198797517455392,14202,1692,0.214146775433888,0.132332238385734,13544,0.164177657098526,11518,1779,0.173675718873928,0.139136555607696,57,0.000690942591155935,38,13,0.000572988133114191,0.00101673705615517,270,0.00327288595810706,205,59,0.00309112019180024,0.00461442202408885,876,0.0106186966640807,714,142,0.010766145448514,0.0111058970749257,26,0.000315166795965865,19,6,0.000286494066557095,0.000469263256687001,14482,0.175547905352987,12137,2055,0.183009393989656,0.160722665415298,14858,0.180105702094647,12437,2115,0.187532984514242,0.165415297982168,637,0.00772158650116369,469,133,0.00707187985343567,0.0104020021898952,5656,0.0685608999224205,4830,645,0.07282980744583,0.0504458000938527
"21205",74049,14766,231,0.00311955596969574,182,17,0.00314846209736014,0.0017394863399161,10,0.000135045712973842,7,2,0.000121094696052313,0.000204645451754835,6,8.1027427784305e-05,5,0,8.64962114659378e-05,0,3,4.05137138921525e-05,3,0,5.18977268795627e-05,0,6,8.1027427784305e-05,5,0,8.64962114659378e-05,0,0,0,0,0,0,0,18,0.000243082283352915,14,2,0.000242189392104626,0.000204645451754835,6,8.1027427784305e-05,6,0,0.000103795453759125,0,930,0.0125592513065673,747,149,0.0129225339930111,0.0152460861557352,1091,0.0147334872854461,972,98,0.0168148635089783,0.0100276271359869,16859,0.2276735675026,12760,3319,0.220738331661073,0.339609127187148,475,0.00641467136625748,361,43,0.00624502646784071,0.00439987721272895,377,0.00509122337911383,292,52,0.00505137874961077,0.0053207817456257,1130,0.0152601655660441,831,202,0.0143756703456389,0.0206691906272383,11456,0.154708368782833,9452,1498,0.163512438155209,0.153279443364371,9367,0.126497319342597,8091,809,0.139968169394181,0.0827790852348307,17120,0.231198260611217,13816,2033,0.239006331522679,0.20802210170879,11811,0.159502491593404,9588,1788,0.165865135107082,0.182953033868822,50,0.000675228564869208,40,10,0.000691969691727502,0.00102322725877417,199,0.00268740968817945,166,30,0.00287167422066913,0.00306968177632252,1025,0.0138421855798188,836,173,0.0144621665571048,0.0177018315767932,34,0.000459155424111062,32,2,0.000553575753382002,0.000204645451754835,12761,0.172331834325919,10274,2019,0.177732415320209,0.206589583546506,13066,0.176450728571622,10520,2058,0.181988028924333,0.210580169855725,855,0.0115464084592635,512,275,0.00885721205411203,0.0281387496162898,5058,0.0683061216221691,3863,937,0.0668269729785835,0.0958763941471401
"21206",147033,51287,524,0.00356382580781185,435,56,0.00357836201507025,0.00279902034287999,29,0.000197234634401801,20,7,0.000164522391497483,0.000349877542859999,5,3.40059714485864e-05,5,0,4.11305978743707e-05,0,2,1.36023885794345e-05,1,1,8.22611957487414e-06,4.9982506122857e-05,19,0.000129222691504628,17,1,0.00013984403277286,4.9982506122857e-05,3,2.04035828691518e-05,3,0,2.46783587246224e-05,0,42,0.000285650160168126,32,8,0.000263235826395972,0.000399860048982856,9,6.12107486074555e-05,8,1,6.58089565989931e-05,4.9982506122857e-05,1713,0.0116504458182857,1323,357,0.0108831561975585,0.0178437546858599,2411,0.0163976794325083,2002,367,0.016468691388898,0.0183435797470885,30402,0.206769908795985,22584,7106,0.185778684478958,0.355175688509022,1124,0.00764454238164222,988,63,0.00812740613997565,0.00314889788573999,1379,0.00937884692552012,1192,143,0.00980553453324997,0.00714749837556855,2909,0.0197846741887876,2432,363,0.0200059228060939,0.0181436497225971,20088,0.136622390891841,17157,2513,0.141135533546116,0.12560603788674,16544,0.112518958329083,14803,1367,0.121771248066862,0.0683260858699455,32923,0.223915719600362,28295,3486,0.232758053371064,0.174239016344279,27043,0.183924697176824,21963,4536,0.180670264222961,0.226720647773279,93,0.000632511068943707,65,26,0.000534697772366819,0.00129954515919428,657,0.00446838464834425,505,144,0.00415419038531144,0.00719748088169141,1635,0.0111199526636877,1291,334,0.0106199203711625,0.0166941570450342,52,0.000353662103065298,39,11,0.000320818663420091,0.000549807567351427,29088,0.197833139499296,23332,5161,0.191931821920963,0.257959714100065,29773,0.202491957587752,23886,5276,0.196489092165444,0.263707702304194,2082,0.0141600865111914,1353,671,0.0111299397848047,0.033538261608437,12063,0.0820428067168595,9692,2082,0.0797275509196802,0.104063577747788
"21207",122574,48243,385,0.00314095974676522,341,24,0.00316323596256064,0.0022682166146867,22,0.00017948341410087,17,3,0.000157697980538214,0.000283527076835838,5,4.07916850229249e-05,5,0,4.63817589818276e-05,0,1,8.15833700458498e-06,1,0,9.27635179636553e-06,0,33,0.000269225121151305,31,0,0.000287566905687331,0,1,8.15833700458498e-06,1,0,9.27635179636553e-06,0,33,0.000269225121151305,28,3,0.000259737850298235,0.000283527076835838,4,3.26333480183399e-05,3,1,2.78290553890966e-05,9.45090256119459e-05,1455,0.0118703803416712,1244,173,0.0115397816346787,0.0163500614308666,2141,0.0174669995268165,1807,283,0.0167623676960325,0.0267460542481807,18868,0.15393150260251,15716,2680,0.145787144831681,0.253284188640015,903,0.00736697831514024,803,52,0.00744891049248152,0.00491446933182119,1068,0.00871310392089676,949,88,0.00880325785475088,0.00831679425385124,2598,0.0211953595379118,2298,223,0.021317056428048,0.0210755127114639,12371,0.100926787083721,11006,1097,0.102095527870799,0.103676401096305,9715,0.0792582439995431,8837,660,0.0819751208244821,0.0623759569038843,22223,0.181302723252892,19784,1786,0.183523343939296,0.168793119742935,21247,0.173340186336417,18575,2242,0.17230823461749,0.211889235421983,55,0.000448708535252174,48,5,0.000445264886225545,0.00047254512805973,476,0.00388336841418245,384,78,0.00356211908980436,0.00737170399773178,1416,0.0115522051984923,1233,163,0.0114377417649187,0.0154049711747472,48,0.000391600176220079,42,5,0.000389606775447352,0.00047254512805973,22595,0.184337624618598,19610,2519,0.181909258726728,0.238068235516492,23335,0.190374794001991,20228,2617,0.187642044136882,0.247330120026463,1525,0.0124414639319921,1135,357,0.0105286592888749,0.0337397221434647,9252,0.0754809339664203,8211,777,0.0761681245999573,0.073433512900482
"21208",52708,36797,161,0.00305456477195113,102,46,0.00312634095506651,0.00263685869876756,13,0.000246641875996054,7,6,0.000214552810641819,0.000343938091143594,2,3.79449039993929e-05,1,1,3.06504015202599e-05,5.7323015190599e-05,0,0,0,0,0,0,3,5.69173559990893e-05,1,2,3.06504015202599e-05,0.000114646030381198,0,0,0,0,0,0,20,0.000379449039993929,12,8,0.000367804818243119,0.000458584121524792,5,9.48622599984822e-05,1,4,3.06504015202599e-05,0.000229292060762396,562,0.0106625180238294,291,256,0.00891926684239564,0.0146746918887933,821,0.0155763830917508,501,305,0.0153558511616502,0.0174835196331327,7221,0.137000075889808,3989,2994,0.122264451664317,0.171625107480653,327,0.00620399180390074,222,71,0.0068043891374977,0.00406993407853253,362,0.00686802762389011,273,64,0.00836755961503096,0.00366867297219834,959,0.0181945814677089,703,210,0.0215472322687427,0.0120378331900258,3818,0.072436821734841,2851,853,0.087384294734261,0.048896531957581,2794,0.0530090308871519,2252,445,0.0690247042236253,0.0255087417598166,7288,0.138271230173788,5290,1641,0.162140624042175,0.094067067927773,9618,0.18247704333308,5563,3870,0.170508183657206,0.221840068787618,73,0.00138498899597784,31,36,0.000950162447128057,0.00206362854686156,264,0.00500872732791986,121,136,0.00370869858395145,0.00779593006592147,529,0.0100364271078394,272,250,0.0083369092135107,0.0143307537976498,34,0.000645063367989679,12,19,0.000367804818243119,0.00108913728862138,10573,0.20059573499279,5842,4517,0.179059645681358,0.258928059615936,10964,0.208013963724672,6051,4693,0.185465579599093,0.269016910289481,986,0.0187068376717007,319,640,0.00977747808496291,0.0366867297219834,3701,0.0702170448508765,2411,1193,0.0738981180653467,0.0683863571223846
"21209",27921,27462,85,0.00304430357078901,34,42,0.00324551355479191,0.00276534105873058,7,0.000250707352888507,2,5,0.000190912562046583,0.000329207268896497,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000179076680634648,1,2,9.54562810232913e-05,0.000131682907558599,0,0,0,0,0,0,11,0.000393968697396225,2,9,0.000190912562046583,0.000592573084013695,0,0,0,0,0,0,261,0.00934780272912861,123,126,0.0117411225658648,0.00829602317619173,353,0.0126428136528061,181,165,0.0172775868652157,0.0108638398735844,3822,0.136886214677125,1442,2208,0.137647957235586,0.145377929944693,186,0.0066616525196089,73,83,0.00696830851470027,0.00546484066368185,176,0.0063034991583396,74,84,0.00706376479572356,0.00553068211746115,445,0.0159378245764836,196,212,0.0187094310805651,0.0139583882012115,1795,0.0642885283478385,902,820,0.0861015654830088,0.0539899920990255,1330,0.0476343970488163,711,562,0.0678694158075601,0.0370028970239663,3751,0.134343325812113,1699,1760,0.162180221458572,0.115880958651567,4569,0.163640270763941,2088,2313,0.199312714776632,0.15229128259152,12,0.000429784033523155,2,10,0.000190912562046583,0.000658414537792994,113,0.00404713298234304,38,69,0.00362733867888507,0.00454306031077166,287,0.0102790014684288,147,134,0.0140320733104238,0.00882275480642613,16,0.000573045378030873,7,8,0.000668193967163039,0.000526731630234396,5120,0.183374520969879,2224,2702,0.2122947689958,0.177903608111667,5319,0.190501772859138,2279,2827,0.217544864452081,0.18613378983408,463,0.0165825006267684,87,338,0.00830469644902635,0.0222544113774032,1554,0.0556570323412485,762,720,0.072737686139748,0.0474058467210956
"21210",8900,15258,30,0.00337078651685393,8,14,0.0054127198917456,0.0021953896816685,2,0.000224719101123596,0,2,0,0.000313627097381214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000224719101123596,0,2,0,0.000313627097381214,1,0.000112359550561798,0,1,0,0.000156813548690607,158,0.017752808988764,19,135,0.0128552097428958,0.0211698290732319,110,0.0123595505617978,29,78,0.0196211096075778,0.0122314567978673,1591,0.17876404494382,314,1159,0.212449255751015,0.181746902932413,53,0.00595505617977528,14,33,0.0094722598105548,0.00517484710679003,41,0.00460674157303371,12,25,0.0081190798376184,0.00392033871726517,100,0.0112359550561798,26,67,0.0175913396481732,0.0105065077622707,603,0.067752808988764,191,365,0.129228687415426,0.0572369452720715,416,0.0467415730337079,150,221,0.10148849797023,0.0346557942606241,1119,0.125730337078652,301,682,0.203653585926928,0.106946840206994,1594,0.179101123595506,342,1208,0.231393775372124,0.189430766818253,15,0.00168539325842697,0,15,0,0.0023522032303591,64,0.00719101123595506,17,44,0.0115020297699594,0.0068997961423867,88,0.0098876404494382,31,56,0.0209742895805142,0.00878155872667398,11,0.00123595505617978,1,9,0.0006765899864682,0.00141132193821546,1891,0.21247191011236,361,1472,0.24424898511502,0.230829543672573,1952,0.219325842696629,371,1516,0.251014884979702,0.23772933981496,241,0.0270786516853933,21,202,0.0142083897158322,0.0316763368355026,415,0.0466292134831461,111,282,0.0751014884979702,0.0442214207307511
"21211",29949,16436,82,0.00273798791278507,18,55,0.00222965440356745,0.0027438263906211,3,0.000100170289492137,1,2,0.00012386968908708,9.97755051134946e-05,0,0,0,0,0,0,3,0.000100170289492137,1,2,0.00012386968908708,9.97755051134946e-05,7,0.000233730675481652,2,5,0.000247739378174161,0.000249438762783737,0,0,0,0,0,0,7,0.000233730675481652,2,5,0.000247739378174161,0.000249438762783737,5,0.000166950482486894,1,4,0.00012386968908708,0.000199551010226989,488,0.0162943670907209,134,346,0.0165985383376688,0.0172611623846346,438,0.0146248622658519,150,275,0.0185804533630621,0.0137191319531055,8371,0.279508497779559,2072,6085,0.256657995788431,0.303566974307807,129,0.00430732244816188,50,63,0.00619348445435402,0.00314292841107508,270,0.0090153260542923,78,181,0.00966183574879227,0.00902968321277126,678,0.0226384854252229,178,473,0.0220488046575003,0.0235969069593415,3704,0.123676917426291,1082,2507,0.134027003592221,0.125068595659766,2172,0.0725232895923069,778,1302,0.0963706181097485,0.064953853828885,5720,0.190991351965007,1711,3728,0.211941038027995,0.185981541531554,5943,0.198437343483923,1870,3938,0.23163631859284,0.196457969568471,26,0.000868142508931851,7,18,0.000867087823609563,0.000897979546021452,168,0.00560953621155965,57,109,0.00706057227796358,0.00543776502868546,446,0.014891983037831,129,310,0.0159791898922334,0.0154652032925917,12,0.000400681157968547,4,6,0.000495478756348322,0.000299326515340484,6545,0.218538181575345,1960,4434,0.242784590610678,0.221202294836618,6704,0.223847206918428,1998,4550,0.247491638795987,0.2269892741332,620,0.0207018598283749,122,474,0.0151121020686238,0.0236467947118982,2413,0.0805703028481752,806,1531,0.0998389694041868,0.0763781491643801
