"ZIPCODE","total_count","population","urticaria_count","urticaria_prev","urticaria_percap","heat_exhaustion_count","heat_exhaustion_prev","heat_exhaustion_percap","heat_syncope_count","heat_syncope_prev","heat_syncope_percap","heat_cramps_count","heat_cramps_prev","heat_cramps_percap","carbon_monoxide_count","carbon_monoxide_prev","carbon_monoxide_percap","heatstroke_count","heatstroke_prev","heatstroke_percap","all_effects_heat_count","all_effects_heat_prev","all_effects_heat_percap","hypothermia_count","hypothermia_prev","hypothermia_percap","osteoarthritis_count","osteoarthritis_prev","osteoarthritis_percap","kidney_disease_count","kidney_disease_prev","kidney_disease_percap","mental_illness_count","mental_illness_prev","mental_illness_percap","influenza_count","influenza_prev","influenza_percap","acute_bronchitis_count","acute_bronchitis_prev","acute_bronchitis_percap","bronchitis_count","bronchitis_prev","bronchitis_percap","copd_count","copd_prev","copd_percap","asthma_count","asthma_prev","asthma_percap","respiratory_count","respiratory_prev","respiratory_percap","hypertension_count","hypertension_prev","hypertension_percap","heart_attack_count","heart_attack_prev","heart_attack_percap","cerebrovascular_disease_count","cerebrovascular_disease_prev","cerebrovascular_disease_percap","congestive_artery_disease_count","congestive_artery_disease_prev","congestive_artery_disease_percap","angina_pectoris_count","angina_pectoris_prev","angina_pectoris_percap","heart_disease_count","heart_disease_prev","heart_disease_percap","circulatory_count","circulatory_prev","circulatory_percap","thyroid_count","thyroid_prev","thyroid_percap","diabetes_count","diabetes_prev","diabetes_percap"
"CITYWIDE",2903633,34010,8979,0.00309233294979083,0.00878013005427077,659,0.000226957056900786,0.000644404243876204,68,2.34189375861206e-05,6.64939128734171e-05,36,1.2398261075005e-05,3.52026597565149e-05,513,0.000176675220318821,0.000501637901530338,27,9.29869580625375e-06,2.64019948173862e-05,912,0.000314089280566793,0.000891800713831712,366,0.000126048987595884,0.000357893707524569,42494,0.0146347696144795,0.0415528284359263,46076,0.0158683965914425,0.0450554930816995,685597,0.236116961062228,0.670412164474649,17987,0.00619465338766986,0.0175886178066787,23633,0.00813911399959981,0.0231095682784922,55862,0.019238657226998,0.0546247494255121,384457,0.132405507169811,0.375941915611402,301047,0.103679425051306,0.294379308658876,614614,0.211670689787587,0.601001320099741,532975,0.183554533234744,0.521170488436904,1913,0.000658829817680127,0.00187063022539481,11790,0.00406043050206414,0.0115288710702586,34183,0.0117724932868582,0.0334259032904708,1118,0.0003850348856071,0.00109323815577177,574224,0.197760529653713,0.561505891556251,588085,0.202534204563731,0.575059893414169,43854,0.0151031483662019,0.0428827066933946,228200,0.0785911993698928,0.223145748789909
"21201",76422,16595,180,0.00235534270236319,0.000176013298782575,17,0.000222449033000968,1.66234782183543e-05,2,2.61704744707022e-05,1.95570331980639e-06,3,3.92557117060532e-05,2.93355497970958e-06,15,0.000196278558530266,1.46677748985479e-05,0,0,0,32,0.000418727591531234,3.12912531169022e-05,27,0.000353301405354479,2.64019948173862e-05,1433,0.0187511449582581,0.00140126142864128,1197,0.0156630289707152,0.00117048843690412,24163,0.316178587317788,0.0236278296582408,264,0.00345450263013268,0.000258152838214443,419,0.0054827144016121,0.000409719845499438,1182,0.015466750412185,0.00115582066200557,11402,0.149197874957473,0.0111494646262162,8727,0.114194865352909,0.00853371143597516,16518,0.216141948653529,0.0161521537182809,14792,0.193556829185313,0.014464381753288,41,0.000536494726649394,4.00919180560309e-05,319,0.00417419067807699,0.000311934679509118,747,0.00977467221480726,0.000730455189947685,34,0.000444898066001937,3.32469564367086e-05,15605,0.204195127057654,0.0152593751527893,16044,0.209939546203973,0.0156886520314868,822,0.0107560650074586,0.000803794064440424,6208,0.0812331527570595,0.00607050310467902
"21202",82496,21788,178,0.00215768037238169,0.000174057595462768,24,0.000290923196276183,2.34684398376766e-05,0,0,0,0,0,0,7,8.48525989138867e-05,6.84496161932235e-06,0,0,0,33,0.000400019394879752,3.22691047768054e-05,38,0.000460628394103957,3.71583630763213e-05,1374,0.0166553529868115,0.00134356818070699,1052,0.0127521334367727,0.00102869994621816,22037,0.26712810318076,0.0215489170292867,345,0.00418202094647013,0.000337358822666601,392,0.00475174553917766,0.000383317850682052,1264,0.015321955003879,0.00123600449811764,10580,0.128248642358417,0.0103456705617758,8244,0.0999321179208689,0.00806140908424192,16400,0.198797517455392,0.0160367672224124,13544,0.164177657098526,0.0132440228817288,57,0.000690942591155935,5.5737544614482e-05,270,0.00327288595810706,0.000264019948173862,876,0.0106186966640807,0.000856598054075197,26,0.000315166795965865,2.5424143157483e-05,14482,0.175547905352987,0.014161247738718,14858,0.180105702094647,0.0145289199628416,637,0.00772158650116369,0.000622891507358334,5656,0.0685608999224205,0.00553072898841246
"21205",74049,14766,231,0.00311955596969574,0.000225883733437638,10,0.000135045712973842,9.77851659903193e-06,6,8.1027427784305e-05,5.86710995941916e-06,3,4.05137138921525e-05,2.93355497970958e-06,6,8.1027427784305e-05,5.86710995941916e-06,0,0,0,18,0.000243082283352915,1.76013298782575e-05,6,8.1027427784305e-05,5.86710995941916e-06,930,0.0125592513065673,0.000909402043709969,1091,0.0147334872854461,0.00106683616095438,16859,0.2276735675026,0.0164856011343079,475,0.00641467136625748,0.000464479538454017,377,0.00509122337911383,0.000368650075783504,1130,0.0152601655660441,0.00110497237569061,11456,0.154708368782833,0.011202268615851,9367,0.126497319342597,0.00915953649831321,17120,0.231198260611217,0.0167408204175427,11811,0.159502491593404,0.0115494059551166,50,0.000675228564869208,4.88925829951596e-05,199,0.00268740968817945,0.000194592480320735,1025,0.0138421855798188,0.00100229795140077,34,0.000459155424111062,3.32469564367086e-05,12761,0.172331834325919,0.0124783650320246,13066,0.176450728571622,0.0127766097882951,855,0.0115464084592635,0.00083606316921723,5058,0.0683061216221691,0.00494597369579035
"21206",147033,51287,524,0.00356382580781185,0.000512394269789273,29,0.000197234634401801,2.83576981371926e-05,5,3.40059714485864e-05,4.88925829951596e-06,2,1.36023885794345e-05,1.95570331980639e-06,19,0.000129222691504628,1.85791815381607e-05,3,2.04035828691518e-05,2.93355497970958e-06,42,0.000285650160168126,4.10697697159341e-05,9,6.12107486074555e-05,8.80066493912873e-06,1713,0.0116504458182857,0.00167505989341417,2411,0.0163976794325083,0.0023576003520266,30402,0.206769908795985,0.0297286461643769,1124,0.00764454238164222,0.00109910526573119,1379,0.00937884692552012,0.0013484574390065,2909,0.0197846741887876,0.00284457047865839,20088,0.136622390891841,0.0196430841441353,16544,0.112518958329083,0.0161775778614384,32923,0.223915719600362,0.0321938101989928,27043,0.183924697176824,0.026444042438762,93,0.000632511068943707,9.09402043709969e-05,657,0.00446838464834425,0.000642448540556398,1635,0.0111199526636877,0.00159878746394172,52,0.000353662103065298,5.0848286314966e-05,29088,0.197833139499296,0.0284437490832641,29773,0.202491957587752,0.0291135774702978,2082,0.0141600865111914,0.00203588715591845,12063,0.0820428067168595,0.0117958245734122
"21207",122574,48243,385,0.00314095974676522,0.000376472889062729,22,0.00017948341410087,2.15127365178702e-05,5,4.07916850229249e-05,4.88925829951596e-06,1,8.15833700458498e-06,9.77851659903193e-07,33,0.000269225121151305,3.22691047768054e-05,1,8.15833700458498e-06,9.77851659903193e-07,33,0.000269225121151305,3.22691047768054e-05,4,3.26333480183399e-05,3.91140663961277e-06,1455,0.0118703803416712,0.00142277416515915,2141,0.0174669995268165,0.00209358040385274,18868,0.15393150260251,0.0184501051190534,903,0.00736697831514024,0.000883000048892583,1068,0.00871310392089676,0.00104434557277661,2598,0.0211953595379118,0.00254045861242849,12371,0.100926787083721,0.0120970028846624,9715,0.0792582439995431,0.00949982887595952,22223,0.181302723252892,0.0217307974380287,21247,0.173340186336417,0.0207764142179631,55,0.000448708535252174,5.37818412946756e-05,476,0.00388336841418245,0.00046545739011392,1416,0.0115522051984923,0.00138463795042292,48,0.000391600176220079,4.69368796753533e-05,22595,0.184337624618598,0.0220945582555126,23335,0.190374794001991,0.022818168483841,1525,0.0124414639319921,0.00149122378135237,9252,0.0754809339664203,0.00904708355742434
"21208",52708,36797,161,0.00305456477195113,0.000157434117244414,13,0.000246641875996054,1.27120715787415e-05,2,3.79449039993929e-05,1.95570331980639e-06,0,0,0,3,5.69173559990893e-05,2.93355497970958e-06,0,0,0,20,0.000379449039993929,1.95570331980639e-05,5,9.48622599984822e-05,4.88925829951596e-06,562,0.0106625180238294,0.000549552632865594,821,0.0155763830917508,0.000802816212780521,7221,0.137000075889808,0.00706106683616095,327,0.00620399180390074,0.000319757492788344,362,0.00686802762389011,0.000353982300884956,959,0.0181945814677089,0.000937759741847162,3818,0.072436821734841,0.00373343763751039,2794,0.0530090308871519,0.00273211753776952,7288,0.138271230173788,0.00712658289737447,9618,0.18247704333308,0.00940497726494891,73,0.00138498899597784,7.13831711729331e-05,264,0.00500872732791986,0.000258152838214443,529,0.0100364271078394,0.000517283528088789,34,0.000645063367989679,3.32469564367086e-05,10573,0.20059573499279,0.0103388256001565,10964,0.208013963724672,0.0107211655991786,986,0.0187068376717007,0.000964161736664548,3701,0.0702170448508765,0.00361902899330172
"21209",27921,27462,85,0.00304430357078901,8.31173910917714e-05,7,0.000250707352888507,6.84496161932235e-06,0,0,0,0,0,0,5,0.000179076680634648,4.88925829951596e-06,0,0,0,11,0.000393968697396225,1.07563682589351e-05,0,0,0,261,0.00934780272912861,0.000255219283234733,353,0.0126428136528061,0.000345181635945827,3822,0.136886214677125,0.00373734904415,186,0.0066616525196089,0.000181880408741994,176,0.0063034991583396,0.000172101892142962,445,0.0159378245764836,0.000435143988656921,1795,0.0642885283478385,0.00175524372952623,1330,0.0476343970488163,0.00130054270767125,3751,0.134343325812113,0.00366792157629688,4569,0.163640270763941,0.00446780423409769,12,0.000429784033523155,1.17342199188383e-05,113,0.00404713298234304,0.000110497237569061,287,0.0102790014684288,0.000280643426392216,16,0.000573045378030873,1.56456265584511e-05,5120,0.183374520969879,0.00500660049870435,5319,0.190501772859138,0.00520119297902508,463,0.0165825006267684,0.000452745318535178,1554,0.0556570323412485,0.00151958147948956
"21210",8900,15258,30,0.00337078651685393,2.93355497970958e-05,2,0.000224719101123596,1.95570331980639e-06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000224719101123596,1.95570331980639e-06,1,0.000112359550561798,9.77851659903193e-07,158,0.017752808988764,0.000154500562264704,110,0.0123595505617978,0.000107563682589351,1591,0.17876404494382,0.00155576199090598,53,0.00595505617977528,5.18261379748692e-05,41,0.00460674157303371,4.00919180560309e-05,100,0.0112359550561798,9.77851659903193e-05,603,0.067752808988764,0.000589644550921625,416,0.0467415730337079,0.000406786290519728,1119,0.125730337078652,0.00109421600743167,1594,0.179101123595506,0.00155869554588569,15,0.00168539325842697,1.46677748985479e-05,64,0.00719101123595506,6.25825062338043e-05,88,0.0098876404494382,8.6050946071481e-05,11,0.00123595505617978,1.07563682589351e-05,1891,0.21247191011236,0.00184911748887694,1952,0.219325842696629,0.00190876644013103,241,0.0270786516853933,0.000235662250036669,415,0.0466292134831461,0.000405808438859825
"21211",29949,16436,82,0.00273798791278507,8.01838361120618e-05,3,0.000100170289492137,2.93355497970958e-06,0,0,0,3,0.000100170289492137,2.93355497970958e-06,7,0.000233730675481652,6.84496161932235e-06,0,0,0,7,0.000233730675481652,6.84496161932235e-06,5,0.000166950482486894,4.88925829951596e-06,488,0.0162943670907209,0.000477191610032758,438,0.0146248622658519,0.000428299027037598,8371,0.279508497779559,0.00818559624504963,129,0.00430732244816188,0.000126142864127512,270,0.0090153260542923,0.000264019948173862,678,0.0226384854252229,0.000662983425414365,3704,0.123676917426291,0.00362196254828143,2172,0.0725232895923069,0.00212389380530973,5720,0.190991351965007,0.00559331149464626,5943,0.198437343483923,0.00581137241480467,26,0.000868142508931851,2.5424143157483e-05,168,0.00560953621155965,0.000164279078863736,446,0.014891983037831,0.000436121840316824,12,0.000400681157968547,1.17342199188383e-05,6545,0.218538181575345,0.0064000391140664,6704,0.223847206918428,0.006555517527991,620,0.0207018598283749,0.000606268029139979,2413,0.0805703028481752,0.0023595560553464
