nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,OBJECTID,NBRDESC,ACRES,COLOR_2,09-63_mean,09-127_mean,1718-63_mean,17-127_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63
Abell,78.95461280036564,78.95633544921884,78.69087829589847,78.85204429626464,96.72758940255208,96.70151786804205,95.30000915527347,96.65233688354486,90.5946365201609,90.55180053710943,89.94855499267587,90.5299858093262,1,ABELL,46.7104316,2,0.237745474173286,0.186197882214731,0.251150102961598,0.1804580600549,-0.030826463177554244,-0.005739822159830987,0.05638226693872516,0.013404628788312
Allendale,77.85670920038277,77.84806642532348,76.82458267211918,77.5583904266357,94.55953352555505,94.7035511016846,92.75948257446285,93.68006134033202,89.08490208551294,89.32197465896603,87.17945442199701,87.62148933410643,2,ALLENDALE,260.02386379,2,0.128443270864938,0.078479961066563,0.231012265141682,0.142041995697294,0.8099141967822929,0.063562034630731,0.7985548295838588,0.10256899427674399
Arcadia,76.99381240940582,77.06920013427731,75.79639968872073,76.36680641174324,94.06509525077186,94.23600044250489,92.43947143554692,92.87462615966798,88.05368374010587,88.28405675888064,86.300623703003,86.80565147399906,3,ARCADIA,144.6780746,2,0.306118125437802,0.245968802856606,0.339722674112868,0.240413682394511,-0.02258465462928444,-0.005555120462094998,0.10977640944000192,0.033604548675066015
Arlington,78.22966943280966,78.36698074340822,77.16212043762201,77.623621749878,95.55424997397397,95.56810474395749,94.42461853027346,94.6528457641601,89.5751911576265,89.55265235900882,88.53641014099118,88.90259132385248,4,ARLINGTON,115.58468919,5,0.192358769174182,0.109672149026669,0.323999002312541,0.205411222752201,0.8729570321654873,0.095739073725532,0.6843474498381614,0.131640233138359
Armistead Gardens,77.97792581748308,77.86330051422128,75.66693954467775,76.98557701110849,95.01661723830557,95.20748367309571,90.02451858520514,93.91310195922861,89.41593101251084,89.6257732391357,85.2385581970214,88.83255691528322,5,ARMISTEAD GARDENS,302.58565324,2,0.534988187779989,0.455903495959665,0.505809133633747,0.40357385159073,-0.11478228360320523,-0.052329644368935,-0.054541492340839735,-0.029179054146242
Ashburton,77.25717709523798,77.09610633850093,76.35835380554204,76.64485321044914,94.41620350473603,94.22545700073236,92.97966918945308,93.85186004638663,88.62448485913788,88.42464141845701,87.63621101379391,88.15050849914547,6,ASHBURTON,225.55523578,3,0.353433520133427,0.256221495087457,0.409589028666648,0.260981018163657,0.018575814939239946,0.0047595230761999785,0.1588856328964535,0.05615550853322099
Baltimore Highlands,80.31907584037154,80.41913671493535,79.68216781616216,79.86695442199701,96.50154763862864,96.50006465911862,95.46356124877929,95.74429626464845,91.48237710674653,91.62223453521726,90.20332107543938,90.6185356140137,7,BALTIMORE HIGHLANDS,96.96706957,4,0.093210466613136,0.039330095973693,0.107604252890229,0.068295485204266,0.7364688163981925,0.028965389230573,0.15442242486386715,0.014393786277092993
Barclay,79.80061509086016,79.72906398773199,79.3888534545899,79.63283576965334,97.64480366127333,97.5658826828003,96.40996475219727,97.31186676025395,91.19217277356668,91.21400833129888,90.60818099975583,90.83825531005856,9,BARCLAY,89.95306758,1,0.165807935500359,0.103828154840908,0.149178239114908,0.095543675893629,-0.07979029348997871,-0.008284478947279003,-0.10029493664020078,-0.016629696385451004
Barre Circle,79.50253260726913,79.51474304199212,79.29375648498535,79.40193061828623,95.66386279979962,95.66311073303228,95.06794357299813,95.30579757690428,91.05480524021877,91.2344429016113,89.75527801513664,90.35545425415035,10,BARRE CIRCLE,15.32702623,3,0.383532485124087,0.257349265476594,0.316130231045716,0.23311868166325,-0.09415447045660115,-0.024230583813343975,-0.17574066524394627,-0.06740225407837097
Bayview,80.12599746983611,80.23160438537593,79.40076675415034,79.99662055969239,94.86672123146212,95.01232528686523,92.80690231323236,93.85054855346678,89.57623174813949,89.46678562164303,88.79046211242681,89.35099487304691,123,BAYVIEW,59.78610724,4,0.094486365797689,0.025577308718034,0.045258162021541,0.011931426666448,-0.5335151638516443,-0.013645882051586001,-0.5210085429844318,-0.049228203776148
Beechfield,77.51167915959746,77.5250572204589,75.75916976928715,76.64610633850094,93.53232399368284,93.67000885009762,89.30380859375,91.91045913696284,87.21115418194263,87.41798648834234,83.29432830810549,85.45328598022466,11,BEECHFIELD,257.89012067,4,0.392122117622931,0.279345595824632,0.501210334629233,0.385857646982513,0.38129132067916094,0.10651205115788104,0.27819960186791226,0.10908821700630206
Belair-Edison,79.10821645663766,79.11019897460942,76.08488006591799,77.35230751037594,95.37994186441668,95.33401870727533,91.97525100708015,94.6021781921387,89.76258684079085,89.70909423828115,87.87383499145514,88.51345901489265,275,BELAIR-EDISON,527.96850716,1,0.173028016030563,0.122151578710813,0.184218292739863,0.115682585334438,-0.05295873737080374,-0.006468993376375007,0.06467320706794326,0.011190276709300007
Belair-Parkside,76.64971372784464,76.50002937316893,75.96494026184084,76.57594833374024,93.71351477322943,93.58231391906739,91.53180160522467,93.38355407714846,87.95476651911481,87.88912658691405,86.75082283020026,87.98499259948724,12,BELAIR-PARKSIDE,20.61651843,4,0.377128399443618,0.300314163748861,0.413242689111902,0.28411783748786,-0.05393127669644389,-0.01619632626100098,0.0957612572311283,0.036114289668284005
Bellona-Gittings,75.01387041474538,75.03630714416498,74.20318298339846,74.61630325317381,93.46128897884125,93.44391365051277,91.98518676757809,92.96770095825187,87.58954116718479,87.75663833618168,85.16699600219727,86.9241561889649,13,BELLONA-GITTINGS,104.03781371,1,0.414172012354478,0.240601092896175,0.625097290575088,0.47165444440453,0.960317132092413,0.23105335150835501,0.5092697524913516,0.21092527822061002
Belvedere,76.54005583437103,76.49340152740484,75.68144493103023,75.98117599487313,93.81906083487303,93.90381507873536,91.75472106933597,93.21472854614265,87.92046828859527,87.89480342864996,87.02664146423348,87.44120712280275,270,BELVEDERE,66.33053398,1,0.414305199451434,0.34823877526683,0.485765265396199,0.370673267193904,0.06442272808329301,0.022434491927073974,0.17248170199018165,0.071460065944765
Berea,79.78612433115774,79.885009765625,78.24987335205086,78.94673614501951,95.77299723131412,95.34554748535155,94.13924865722655,94.68163681030273,90.11370841532971,89.74477920532226,89.0661811828613,89.31435203552252,14,BEREA,217.61489913,5,0.06544251361043,0.029923068273074,0.068620688386227,0.037793817779924,0.2630328359051475,0.00787074950685,0.04856437505924988,0.003178174775796988
Better Waverly,78.9592054077825,78.8005536079406,77.7077014923095,78.22619438171378,95.92276894885094,95.85583839416498,94.45991897583013,94.76759109497073,89.95665005847646,89.88711395263664,89.00461311340334,89.5546710968018,15,BETTER WAVERLY,180.33783774,4,0.26553227066515,0.198532092487767,0.22295451954974,0.122434499082476,-0.38330122073326717,-0.07609759340529099,-0.16034868759550047,-0.04257775111541001
Beverly Hills,77.4064767663016,77.29253330230705,75.89787902832038,77.14640655517586,94.01952673452215,93.95756912231437,92.66861877441403,93.82339172363288,88.01026268532078,87.7524360656738,86.89544067382809,87.5848876953125,16,BEVERLY HILLS,66.66386861,3,0.398926920067781,0.31131554260246,0.440783054290821,0.295898522229297,-0.04952216726567374,-0.015417020373163004,0.10492180927756958,0.041856134223039965
Biddle Street,80.33865929754444,80.30173835754391,79.60586090087894,79.99633560180668,97.90606895024926,98.02791099548348,94.31948623657226,97.16557693481438,91.7759046288196,91.84113540649417,89.81101303100581,90.5377792358399,17,BIDDLE STREET,72.22397943,4,0.166657540997071,0.101000629671202,0.152822512081342,0.105720678871636,0.04673286905041747,0.004720049200433993,-0.08301471888375062,-0.013835028915728992
Blythewood,75.04032089460992,74.91071281433108,74.6358451843262,74.92503967285154,93.16699042761968,93.12754516601558,87.31208000183108,93.19360733032227,86.91553306455577,86.91610355377196,83.91193847656251,87.29629402160643,18,BLYTHEWOOD,48.57094371,4,0.466509928450022,0.319170915900787,0.574315325102639,0.444884334872848,0.3938749200166425,0.125713418972061,0.23108917962539452,0.10780539665261707
