date_hour,date,hour,mean_indoor_heat_index,mean_outdoor_heat_index
2019-07-16T00:00:00Z,2019-07-16,0,93,82
2019-07-16T04:00:00Z,2019-07-16,4,90.9,79
2019-07-16T08:00:00Z,2019-07-16,8,89,89
2019-07-16T12:00:00Z,2019-07-16,12,93.3,99
2019-07-16T16:00:00Z,2019-07-16,16,99.4,95
2019-07-16T20:00:00Z,2019-07-16,20,101.2,94
2019-07-17T00:00:00Z,2019-07-17,0,96,89
2019-07-17T04:00:00Z,2019-07-17,4,94,84
2019-07-17T08:00:00Z,2019-07-17,8,93.2,94
2019-07-17T12:00:00Z,2019-07-17,12,98,101
2019-07-17T16:00:00Z,2019-07-17,16,103.4,105
2019-07-17T20:00:00Z,2019-07-17,20,101.6,79
2019-07-18T00:00:00Z,2019-07-18,0,96.1,81
2019-07-18T04:00:00Z,2019-07-18,4,94.1,81
2019-07-18T08:00:00Z,2019-07-18,8,92.8,96
2019-07-18T12:00:00Z,2019-07-18,12,97.4,102
2019-07-18T16:00:00Z,2019-07-18,16,101.8,97
2019-07-18T20:00:00Z,2019-07-18,20,103.3,96
2019-07-19T00:00:00Z,2019-07-19,0,98,91
2019-07-19T04:00:00Z,2019-07-19,4,95,84
2019-07-19T08:00:00Z,2019-07-19,8,93.9,95
2019-07-19T12:00:00Z,2019-07-19,12,98.5,105
2019-07-19T16:00:00Z,2019-07-19,16,105.5,106
2019-07-19T20:00:00Z,2019-07-19,20,112.7,102
2019-07-20T00:00:00Z,2019-07-20,0,104.6,94
2019-07-20T04:00:00Z,2019-07-20,4,99.3,89
2019-07-20T08:00:00Z,2019-07-20,8,97.2,97
2019-07-20T12:00:00Z,2019-07-20,12,102.2,108
2019-07-20T16:00:00Z,2019-07-20,16,106.9,108
2019-07-20T20:00:00Z,2019-07-20,20,102.4,103
2019-07-21T00:00:00Z,2019-07-21,0,101.2,97
2019-07-21T04:00:00Z,2019-07-21,4,98.5,91
2019-07-21T08:00:00Z,2019-07-21,8,95,98
2019-07-21T12:00:00Z,2019-07-21,12,96.2,106
2019-07-21T16:00:00Z,2019-07-21,16,100.8,111
2019-07-21T20:00:00Z,2019-07-21,20,102.4,92
2019-07-22T00:00:00Z,2019-07-22,0,95.2,85
2019-07-22T04:00:00Z,2019-07-22,4,92,83
2019-07-22T08:00:00Z,2019-07-22,8,93.8,90
2019-07-22T12:00:00Z,2019-07-22,12,97.2,104
2019-07-22T16:00:00Z,2019-07-22,16,103.8,83
2019-07-22T20:00:00Z,2019-07-22,20,99.2,87
