zcta5ce10,geoid10,classfp10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,07_lid_mean,15_lid_mean,lid_change_percent,change_percent_point
21207,21207,B5,G6350,S,26705585,81230,39.3241672,-76.7194841,75.21641819962034,75.2011363983155,73.45536079406739,77.85612335205086,91.97150102722941,92.86499938964846,87.12072906494143,95.54799118041986,85.89702077574674,86.7163789749146,81.17417640686037,89.41016654968263,0.538183627204301,0.537542129227133,-0.0011919685860761779,-6.414979771680596e-4
21209,21209,B5,G6350,S,18343962,101688,39.3731913,-76.6700026,75.14487320376111,75.09602642059329,73.90808677673348,77.42647895812988,92.38167951480571,93.029931640625,87.17809486389152,97.11979827880856,86.17023784117778,86.37688426971434,83.134089279174745,88.93595542907714,0.607657024074197,0.614731971704704,0.011642994897139712,0.007074947630506978
21210,21210,B5,G6350,S,8590404,5595,39.3591561,-76.6326854,75.33607830785276,75.19456863403323,73.95297966003416,78.99807319641123,92.89203056040597,93.42386703491216,87.17639541625977,97.35634765625001,86.52419263360633,86.81039619445797,81.80976638793939,90.3920112609863,0.57008589503261,0.580462561456046,0.01820193503093508,0.010376666423436043
21211,21211,B5,G6350,S,7217872,25184,39.329817,-76.6394081,77.09362625637465,77.00631713867192,75.10049133300788,80.27333526611335,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.397950896749761,0.400791631815816,0.007138405992439166,0.0028407350660550335
21215,21215,B5,G6350,S,17646082,9673,39.3452409,-76.6835656,77.06643393401852,77.01480751037593,74.70027313232414,79.09962120056156,94.54108196688259,94.62856254577628,87.67112693786618,97.12892379760736,88.61227104094053,88.6667749404908,83.34546279907227,92.13212203979487,0.308584956600068,0.303104914268279,-0.01775861789300132,-0.0054800423317890035
21216,21216,B5,G6350,S,8635708,145490,39.3105945,-76.6717168,76.65761238263835,76.81100769042962,73.4971328735351,79.21572952270515,93.57084260114792,93.98787078857414,87.14713401794427,97.76963272094727,87.74042825918876,88.20849227905273,81.48087348937989,91.85666046142586,0.384642546575044,0.38028652829399,-0.01132484775758969,-0.004356018281053975
21229,21229,B5,G6350,S,15228872,9461,39.2842394,-76.6914035,76.89208713469772,77.1670814514161,73.69281654357903,80.0369060516357,93.24904060532461,93.81284484863288,86.60306701660153,97.8456787109375,87.37988919997639,87.91714515686036,81.5062038421631,91.59852294921885,0.407479893871187,0.405578505065774,-0.004666215030511634,-0.001901388805413018
21201,21201,B5,G6350,S,3346928,0,39.2948226,-76.6222236,79.87361994504447,79.84968185424812,78.1855930328369,82.96914672851558,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.093451871141017,0.104599947668311,0.11929217030306202,0.011148076527294007
21202,21202,B5,G6350,S,4104677,331280,39.2965258,-76.6070163,80.18775176471797,80.03067474365241,78.98687744140616,82.35826911926276,96.78019847298584,97.11495742797861,92.78232727050788,101.57000274658202,90.88636728883569,91.0246555328369,88.39640655517586,94.53840255737313,0.086852793800893,0.091201524864824,0.050070134461078,0.004348731063930994
21217,21217,B5,G6350,S,5996500,191953,39.3084728,-76.6391545,78.69418135743038,78.68917713165278,76.44626502990728,81.66551589965823,95.68887652216958,95.76754608154297,92.95511474609384,98.9655220031738,90.35810617159814,90.42965660095214,87.07156524658203,92.34886169433597,0.18203516849268,0.182953707478838,0.00504594246135972,9.185389861579851e-4
21218,21218,B5,G6350,S,10835058,316361,39.3301071,-76.6014512,78.04573885653782,77.90883712768562,74.96522560119632,80.69835166931156,95.32180418813348,95.23146133422861,87.80854530334477,99.49300308227534,89.31161176955834,89.30912666320796,83.0526908874512,92.56584854125977,0.273531730682074,0.27795974789695,0.016188312792210197,0.004428017214876012
21223,21223,B5,G6350,S,6816138,48191,39.2829512,-76.6538772,78.4742682932303,78.57732086181645,76.39478721618656,80.7509658813476,95.34408005675769,95.44959487915034,88.78277168273931,98.84756317138664,90.07111898557538,90.09875183105463,86.16781959533691,93.33471984863289,0.200707985870379,0.211396813071273,0.05325561489016712,0.010688827200894008
21230,21230,B5,G6350,S,16332049,5330203,39.2661273,-76.6238067,79.42731472525423,79.62682075500489,74.75858650207526,82.56000900268562,95.24226620546168,95.27390289306645,91.49286193847654,98.63132476806645,89.7727180557839,89.80222740173348,84.5912952423095,92.79395217895515,0.148731076556365,0.153315515829464,0.03082368109775387,0.004584439273099011
21205,21205,B5,G6350,S,5309071,0,39.3022903,-76.5644838,79.26567725432336,79.64676780700677,75.66693954467775,81.4429225921631,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.188575689325434,0.190095372920449,0.008058746068759762,0.0015196835950150034
21224,21224,B5,G6350,S,24534479,8880469,39.2748602,-76.5428334,80.16319140382149,80.2586153030396,76.76532173156738,81.99261665344238,95.28271225088469,95.2099693298339,91.03862533569333,101.29438323974605,90.05947365316604,89.8475151062012,85.22895889282226,94.30839691162106,0.068544443121412,0.073178950768567,0.06761317819660365,0.004634507647154992
21231,21231,B5,G6350,S,2256237,384066,39.2872004,-76.5919534,80.22191970024392,80.22156906127927,79.1499214172363,81.17798728942867,96.31856435946692,95.94955520629881,91.80206527709967,101.1529891967774,90.86102544065935,90.70299987792963,87.65020484924324,94.55902938842775,0.091200787038736,0.1019340203289,0.11768794589026121,0.010733233290163999
21228,21228,B5,G6350,S,40152190,107562,39.2728571,-76.7477405,76.73471801344274,76.76551055908202,75.8432426452637,77.5347492218018,93.09977716851031,93.2956874847412,89.9835258483887,94.27056274414058,86.9698721999615,87.09010467529299,84.35416564941403,87.94727516174325,0.360267962824616,0.34984274554292,-0.028937397596941316,-0.010425217281695986
