variable,09-63_mean,17-63_mean,change_percent_63,change_percent_point_63,09-127_mean,17-127_mean,change_percent_127,change_percent_point_127,07_lid_mean,15_lid_mean,lid_change_percent,lid_change_percent_point
temp_mean_am,-0.727789868211514,-0.8747075520994,-0.3060461858798818,-0.6617239492099927,-0.6909439922461412,-0.8348673835180994,0.04353112096334991,-0.5502710049848187,-0.8680077852638659,-0.8583776867838182,0.363619180218348,0.1074161633554503
temp_median_am,-0.7286872069970017,-0.874188962411321,-0.30557558588852535,-0.6585493641863804,-0.6921074052569647,-0.8341237467138753,0.03533640562240036,-0.5465408221220116,-0.8665096993785923,-0.8576976873846858,0.35700091235061926,0.09819606281935045
temp_min_am,-0.6678452684163106,-0.8164562290404711,-0.33664699219401156,-0.641687229667248,-0.6475820630585146,-0.7901806943166525,0.028967830440886813,-0.5324359824674244,-0.8071319985429012,-0.7964143143994498,0.35178738016613664,0.11975627301032646
temp_max_am,-0.6871645931545358,-0.8358417595117759,-0.3231599826285354,-0.6496737559008832,-0.6566966271012757,-0.8010162127356946,0.03829367735960824,-0.5393100733001591,-0.8306366234580455,-0.8195924587854918,0.367123728489395,0.1234056940038695
temp_mean_aft,-0.6942838876933656,-0.7825603652800084,-0.2126296867878987,-0.5016379257831901,-0.662481616411226,-0.7658240759335393,0.01964548404360668,-0.4525280841427014,-0.7676677101004178,-0.7601793291835922,0.2999040514475976,0.083405092983889
temp_median_aft,-0.6806676810902236,-0.7646237412265954,-0.2011306052123289,-0.48533058156536796,-0.650468038642122,-0.747887702565161,0.02792343709190559,-0.43555005181945794,-0.7484920008608256,-0.7415693742652969,0.29275024380511033,0.0770527102590555
temp_min_aft,-0.6538685353073969,-0.7217167423826739,-0.1786432452213045,-0.434234104200577,-0.643316305326564,-0.7482848935894061,0.006139783419749041,-0.4494369042471067,-0.7354423133166054,-0.7319913160304443,0.2188988412486176,0.037935119851877475
temp_max_aft,-0.642555506491531,-0.7284566845603949,-0.19587248139222455,-0.4747616059266859,-0.6134739644287525,-0.7253613341289484,0.02318958133180325,-0.45412764471671163,-0.7266775718152702,-0.7215690709450423,0.2524010582245166,0.05663123991719667
temp_mean_pm,-0.7227944904263581,-0.8452906673453141,-0.2930537290932727,-0.5986817554410043,-0.6777303557658271,-0.826951997993636,-0.00923694951410211,-0.5571896315339437,-0.8323252296874643,-0.8235399106969167,0.33038613617012014,0.09794010969697453
temp_median_pm,-0.7173496894028986,-0.8326813093139295,-0.2940562939608854,-0.5785760627768929,-0.6731481738414872,-0.8144103211038075,-0.029136393400928037,-0.5383637046945897,-0.819682318396765,-0.8106765721414778,0.3343616782700238,0.10044155183000625
temp_min_pm,-0.6375710889728,-0.7538206079425295,-0.3067569034899484,-0.5485725127549858,-0.6072328392396885,-0.7639158299826224,-0.046340389304322785,-0.5490251266241778,-0.7571377616763759,-0.749966198925273,0.2717733808454303,0.07984753252025557
temp_max_pm,-0.6824367559324315,-0.803330726514434,-0.2873574402380606,-0.5783403114854768,-0.6342041040904596,-0.801196735449759,-0.019033530421462858,-0.5806695549625425,-0.8009870836665473,-0.7941347730749386,0.29891639896102934,0.07619102969720903
