variable,17-127_mean,17-63_mean,0-17_%,09-127_mean,09-63_mean,change_percent_127,change_percent_63
temp_mean_am,-0.9605732413067922,-0.9723757058911672,-0.03337443379800266,-0.8184258180179489,-0.8184258180179489,-0.3219044119495753,0.07924794415361672
temp_median_am,-0.9572388683391958,-0.9692792095326715,0.02129465918881308,-0.8176802886119604,-0.8176802886119604,-0.3137318656174747,0.07207861512563739
temp_min_am,-0.7266758857704749,-0.7417005441541064,-0.3511287873489913,-0.5702429818173343,-0.5702429818173343,-0.35643674398826464,0.07518656387125935
temp_max_am,-0.8690093462589313,-0.8878906049035324,0.006128024286151006,-0.8208350592648702,-0.8208350592648702,-0.19357765774284055,0.0831813333869441
temp_mean_aft,-0.9386852245478052,-0.9437237335670701,-0.04659161401160709,-0.7694631430669581,-0.7694631430669581,-0.3916513802152064,0.011351540870394024
temp_median_aft,-0.9151041140091349,-0.9260854150842275,-0.0864999537365304,-0.7570531747482313,-0.7570531747482313,-0.41778931097252575,-0.024177595996204705
temp_min_aft,-0.6416760306314904,-0.664417617526633,-0.31771663042212406,-0.49591336414517645,-0.49591336414517645,-0.38412785402960603,-0.04806393165784281
temp_max_aft,-0.764294311024558,-0.7748547095366365,-0.11108191720328564,-0.6679293951473287,-0.6679293951473287,-0.4013718012619707,-0.043720053368685965
temp_mean_pm,-0.9297408507631815,-0.9370829612395518,-0.0586620064006289,-0.7409029845212022,-0.7409029845212022,-0.4261348677721711,-0.027336600670263292
temp_median_pm,-0.9268536416919333,-0.9341655770969414,-0.03953424241204061,-0.7461788587485323,-0.7461788587485323,-0.42770389293749767,-0.03438363481447192
temp_min_pm,-0.7253672664051176,-0.7491280105233332,-0.2976159961530408,-0.5200484602926865,-0.5200484602926865,-0.4799786645578261,-0.10213971890128398
temp_max_pm,-0.8882383052424817,-0.8864080733416668,-0.038568804011985224,-0.8047886178101312,-0.8047886178101312,-0.30565586568238373,0.0782483951753005
