primary_impression_group,not_unsafe_under_79,caution_80_90,extreme_caution_91_102,danger_103_124
Abdominal Aortic Aneurysm,83.63636363636364,162.8,NA,NA
Altered Level of Consciousness,3.982683982683983,3.1307692307692307,2.673469387755102,2.409090909090909
Asthma,3.2280701754385963,3.9514563106796117,4.225806451612903,2.409090909090909
Behavioral/Psychiatric Disorder,1.7037037037037037,1.4458259325044405,1.4501845018450183,0.9814814814814815
Cancer,61.333333333333336,162.8,196.5,53
Cardiac Arrest,4.532019704433497,5.985294117647059,5.103896103896104,3.533333333333333
Cardiac Rhythm Disturbance,13.333333333333334,14.03448275862069,12.67741935483871,26.5
Chest Pain - STEMI,35.38461538461539,33.916666666666664,43.666666666666664,26.5
Chest Pain/Discomfort,1.4153846153846155,1.5653846153846154,1.4136690647482015,1.4722222222222223
CHF (Congestive Heart Failure),13.333333333333334,15.358490566037736,19.65,17.666666666666668
COPD (Emphysema/Chronic Bronchitis),4.6,6.512,4.517241379310345,3.3125
Croup,153.33333333333334,814,NA,NA
Dehydration,29.677419354838708,14.8,7.705882352941177,3.1176470588235294
Diabetic Hyperglycemia,6.052631578947368,7.4,5.458333333333333,6.625
Diabetic Hypoglycemia,6.0927152317880795,5.4630872483221475,5.171052631578948,4.076923076923077
Dizziness / Vertigo,4.444444444444445,4.448087431693989,4.734939759036145,3.7857142857142856
End Stage Renal Disease,115,271.3333333333333,196.5,17.666666666666668
Epistaxis (Non-Traumatic),131.42857142857142,116.28571428571429,78.6,NA
ETOH Abuse,3.786008230452675,2.617363344051447,2.551948051948052,1.7666666666666666
Flu-like Illness,17.358490566037737,17.695652173913043,19.65,26.5
Heat Exhaustion/Heat Stroke,102.22222222222223,29.071428571428573,6.140625,2.65
Hyperkalemia,920,NA,NA,NA
Hypertension,10,13.796610169491526,11.909090909090908,5.3
Hyperthermia,NA,135.66666666666666,393,26.5
Hypotension,15.862068965517242,15.074074074074074,8.361702127659575,10.6
Hypothermia,460,814,393,NA
Inhalation Carbon Monoxide,NA,814,NA,NA
Obvious Death,10.823529411764707,12.71875,11.558823529411764,6.625
Other Cardiovascular Problem,51.111111111111114,74,65.5,NA
Respiratory Arrest,306.6666666666667,271.3333333333333,196.5,NA
Respiratory Distress,2.939297124600639,3.2955465587044532,2.7482517482517483,3.533333333333333
Seizure,1.9246861924686192,2.1823056300268098,2.2982456140350878,1.4324324324324325
Stroke/CVA,8.518518518518519,10.049382716049383,8.361702127659575,7.571428571428571
Substance/Drug Abuse,2.6436781609195403,2.459214501510574,2.0153846153846153,1.4324324324324325
Syncope/Fainting,5.476190476190476,5.732394366197183,5.24,4.416666666666667
TIA (Transient Ischemic Attack),83.63636363636364,116.28571428571429,49.125,NA
Unconscious,6.917293233082707,6.166666666666667,5.865671641791045,8.833333333333334
Withdrawal/Overdose Drugs,1.8585858585858586,1.515828677839851,1.31438127090301,0.7910447761194029
Withdrawal/Overdose ETOH,6.47887323943662,5.426666666666667,3.5089285714285716,2.2083333333333335
