primary_impression_group,60s,70s,80s,90s,100s,110s
Abdominal Aortic Aneurysm,102,81.8,152.8,NA,NA,NA
Altered Level of Consciousness,2.6842105263157894,4.238341968911917,3.2236286919831225,2.638888888888889,2.2708333333333335,NA
Asthma,2.0816326530612246,3.4661016949152543,4.0638297872340425,3.877551020408163,3.303030303030303,3.5
Behavioral/Psychiatric Disorder,1.7894736842105263,1.7006237006237006,1.4720616570327554,1.4232209737827715,1.1595744680851063,0.875
Cancer,25.5,74.36363636363636,191,126.66666666666667,109,NA
Cardiac Arrest,2.4878048780487805,5.049382716049383,5.922480620155039,5.846153846153846,3.5161290322580645,2.3333333333333335
Cardiac Rhythm Disturbance,12.75,13.40983606557377,14.692307692307692,12.258064516129032,13.625,NA
Chest Pain - STEMI,51,34.083333333333336,33.21739130434783,47.5,27.25,NA
Chest Pain/Discomfort,1.3076923076923077,1.4350877192982456,1.5720164609053497,1.3970588235294117,1.4533333333333334,7
CHF (Congestive Heart Failure),11.333333333333334,13.633333333333333,16.977777777777778,14.074074074074074,27.25,NA
COPD (Emphysema/Chronic Bronchitis),4.25,4.674285714285714,6.821428571428571,4.470588235294118,3.892857142857143,2.3333333333333335
Croup,NA,136.33333333333334,764,NA,NA,NA
Dehydration,NA,26.387096774193548,15.28,8.636363636363637,4.037037037037037,3.5
Diabetic Hyperglycemia,6,6.059259259259259,7.41747572815534,5.6716417910447765,5.7368421052631575,7
Diabetic Hypoglycemia,3.642857142857143,6.704918032786885,5.659259259259259,4.578313253012048,6.8125,1.75
Dizziness / Vertigo,7.285714285714286,4.238341968911917,4.716049382716049,4.367816091954023,3.5161290322580645,NA
End Stage Renal Disease,102,116.85714285714286,254.66666666666666,380,27.25,NA
Epistaxis (Non-Traumatic),NA,116.85714285714286,109.14285714285714,95,109,NA
ETOH Abuse,4.434782608695652,3.7181818181818183,2.6344827586206896,2.4203821656050954,2.477272727272727,1.75
Flu-like Illness,12.75,18.177777777777777,17.363636363636363,19,27.25,NA
Heat Exhaustion/Heat Stroke,NA,90.88888888888889,34.72727272727273,7.916666666666667,2.8684210526315788,1.75
Hyperkalemia,NA,818,NA,NA,NA,NA
Hypertension,11.333333333333334,9.855421686746988,13.403508771929825,12.258064516129032,7.785714285714286,NA
Hyperthermia,NA,NA,191,126.66666666666667,109,7
Hypotension,10.2,17.041666666666668,17.363636363636363,8.085106382978724,8.384615384615385,3.5
Hypothermia,102,818,764,380,NA,NA
Inhalation Carbon Monoxide,NA,NA,764,NA,NA,NA
Obvious Death,9.272727272727273,11.205479452054794,11.9375,14.074074074074074,7.785714285714286,7
Other Cardiovascular Problem,34,54.53333333333333,95.5,54.285714285714285,54.5,NA
Respiratory Arrest,NA,272.6666666666667,254.66666666666666,190,NA,NA
Respiratory Distress,2.125,3.086792452830189,3.3656387665198237,2.7142857142857144,3.1142857142857143,2.3333333333333335
Seizure,1.4366197183098592,2.0098280098280097,2.280597014925373,2.0994475138121547,1.7580645161290323,2.3333333333333335
Stroke/CVA,7.846153846153846,8.610526315789473,10.61111111111111,8.085106382978724,6.8125,NA
Substance/Drug Abuse,3.642857142857143,2.55625,2.496732026143791,2.0105820105820107,1.7301587301587302,1.4
Syncope/Fainting,4.434782608695652,5.680555555555555,6.063492063492063,4.935064935064935,4.1923076923076925,NA
TIA (Transient Ischemic Attack),102,81.8,109.14285714285714,63.333333333333336,54.5,NA
Unconscious,7.285714285714286,6.873949579831932,6.161290322580645,6.031746031746032,6.055555555555555,NA
Withdrawal/Overdose Drugs,1.619047619047619,1.8935185185185186,1.5528455284552845,1.2881355932203389,1.028301886792453,0.7
Withdrawal/Overdose ETOH,6.8,6.440944881889764,5.536231884057971,3.4862385321100917,3.1142857142857143,1.75
