primary_impression_group,not_unsafe_under_79,all_caution_80_102,all_danger_103_plus
Abdominal Aortic Aneurysm,83.63636363636364,241.4,NA
Altered Level of Consciousness,3.982683982683983,2.9656019656019654,2.409090909090909
Asthma,3.2280701754385963,4.036789297658863,2.409090909090909
Behavioral/Psychiatric Disorder,1.7037037037037037,1.447242206235012,0.9814814814814815
Cancer,61.333333333333336,172.42857142857142,53
Cardiac Arrest,4.532019704433497,5.666666666666667,3.533333333333333
Cardiac Rhythm Disturbance,13.333333333333334,13.561797752808989,26.5
Chest Pain - STEMI,35.38461538461539,36.57575757575758,26.5
Chest Pain/Discomfort,1.4153846153846155,1.512531328320802,1.4722222222222223
CHF (Congestive Heart Failure),13.333333333333334,16.534246575342465,17.666666666666668
COPD (Emphysema/Chronic Bronchitis),4.6,5.693396226415095,3.3125
Croup,153.33333333333334,1207,NA
Dehydration,29.677419354838708,11.38679245283019,3.1176470588235294
Diabetic Hyperglycemia,6.052631578947368,6.631868131868132,6.625
Diabetic Hypoglycemia,6.0927152317880795,5.364444444444445,4.076923076923077
Dizziness / Vertigo,4.444444444444445,4.537593984962406,3.7857142857142856
End Stage Renal Disease,115,241.4,17.666666666666668
Epistaxis (Non-Traumatic),131.42857142857142,100.58333333333333,NA
ETOH Abuse,3.786008230452675,2.595698924731183,1.7666666666666666
Flu-like Illness,17.358490566037737,18.28787878787879,26.5
Heat Exhaustion/Heat Stroke,102.22222222222223,13.119565217391305,2.65
Hyperkalemia,920,NA,NA
Hypertension,10,13.119565217391305,5.3
Hyperthermia,NA,172.42857142857142,26.5
Hypotension,15.862068965517242,11.950495049504951,10.6
Hypothermia,460,603.5,NA
Inhalation Carbon Monoxide,NA,1207,NA
Obvious Death,10.823529411764707,12.316326530612244,6.625
Other Cardiovascular Problem,51.111111111111114,71,NA
Respiratory Arrest,306.6666666666667,241.4,NA
Respiratory Distress,2.939297124600639,3.094871794871795,3.533333333333333
Seizure,1.9246861924686192,2.21875,1.4324324324324325
Stroke/CVA,8.518518518518519,9.4296875,7.571428571428571
Substance/Drug Abuse,2.6436781609195403,2.29467680608365,1.4324324324324325
Syncope/Fainting,5.476190476190476,5.56221198156682,4.416666666666667
TIA (Transient Ischemic Attack),83.63636363636364,80.46666666666667,NA
Unconscious,6.917293233082707,6.065326633165829,8.833333333333334
Withdrawal/Overdose Drugs,1.8585858585858586,1.44377990430622,0.7910447761194029
Withdrawal/Overdose ETOH,6.47887323943662,4.606870229007634,2.2083333333333335
