primary_impression_group,not_unsafe_under_79,caution_80_90,extreme_caution_91_102,danger_103_124
Abdominal Aortic Aneurysm,0.08757264549000876,0.044730721059223474,NA,NA
Altered Level of Consciousness,1.839025555290184,2.325997495079621,2.4229437942970167,2.0618556701030926
Asthma,2.2689276331502266,1.8429057076400073,1.532882808636888,2.0618556701030926
Behavioral/Psychiatric Disorder,4.29902077860043,5.036679191268563,4.466787539146201,5.060918462980318
Cancer,0.11941724385001193,0.044730721059223474,0.032965221691115876,0.09372071227741331
Cardiac Arrest,1.6161133667701617,1.2166756128108784,1.269161035107961,1.4058106841611997
Cardiac Rhythm Disturbance,0.5493193217100549,0.5188763642869922,0.510960936212296,0.18744142455482662
Chest Pain - STEMI,0.2069898893400207,0.2147074610842727,0.1483434976100214,0.18744142455482662
Chest Pain/Discomfort,5.174747233500518,4.651994990159242,4.582165815065106,3.373945641986879
CHF (Congestive Heart Failure),0.5493193217100549,0.4741456432277688,0.3296522169111587,0.28116213683223995
COPD (Emphysema/Chronic Bronchitis),1.5922299180001591,1.1182680264805869,1.4339871435635405,1.499531396438613
Croup,0.04776689754000478,0.008946144211844694,NA,NA
Dehydration,0.24679563729002466,0.4920379316514582,0.8406131531234549,1.5932521087160263
Diabetic Hyperglycemia,1.210094737680121,0.9840758633029164,1.1867479808801713,0.7497656982193065
Diabetic Hypoglycemia,1.2021335880901203,1.3329754875648596,1.2526784242624032,1.218369259606373
Dizziness / Vertigo,1.647957965130165,1.6371443907675791,1.3680567001813086,1.3120899718837862
End Stage Renal Disease,0.06368919672000636,0.026838432635534086,0.032965221691115876,0.28116213683223995
Epistaxis (Non-Traumatic),0.055728047130005565,0.06262300948291287,0.08241305422778968,NA
ETOH Abuse,1.9345593503701934,2.7822508498837,2.538322070215922,2.8116213683223994
Flu-like Illness,0.42194092827004215,0.411522633744856,0.3296522169111587,0.18744142455482662
Heat Exhaustion/Heat Stroke,0.07165034631000718,0.2504920379316515,1.054887094115708,1.874414245548266
Hyperkalemia,0.007961149590000795,NA,NA,NA
Hypertension,0.7324257622800733,0.5278225084988369,0.5439261579034119,0.937207122774133
Hyperthermia,NA,0.05367686527106817,0.016482610845557938,0.18744142455482662
Hypotension,0.4617466762200461,0.4830917874396135,0.774682709741223,0.4686035613870665
Hypothermia,0.01592229918000159,0.008946144211844694,0.016482610845557938,NA
Inhalation Carbon Monoxide,NA,0.008946144211844694,NA,NA
Obvious Death,0.6766977151500677,0.5725532295580604,0.5604087687489698,0.7497656982193065
Other Cardiovascular Problem,0.14330069262001435,0.09840758633029165,0.09889566507334763,NA
Respiratory Arrest,0.02388344877000239,0.026838432635534086,0.032965221691115876,NA
Respiratory Distress,2.491839821670249,2.2096976203256395,2.357013350914785,1.4058106841611997
Seizure,3.8054295040203807,3.3369117910180712,2.818526454590407,3.467666354264293
Stroke/CVA,0.859804155720086,0.7246376811594203,0.774682709741223,0.6560449859418931
Substance/Drug Abuse,2.770480057320277,2.961173734120594,3.2141091148837972,3.467666354264293
Syncope/Fainting,1.3374731311201338,1.2703524780819466,1.2361958134168451,1.1246485473289598
TIA (Transient Ischemic Attack),0.08757264549000876,0.06262300948291287,0.1318608867644635,NA
Unconscious,1.0588328954701058,1.1808910359634999,1.1043349266523819,0.5623242736644799
Withdrawal/Overdose Drugs,3.940769047050394,4.804079441760601,4.928300642821823,6.279287722586692
Withdrawal/Overdose ETOH,1.1304832417801132,1.3419216317767042,1.8460524147024888,2.2492970946579196
