primary_impression_group,not_unsafe_under_79,all_caution_80_102,all_danger_103_plus
Abdominal Aortic Aneurysm,0.08757264549000876,0.028993911278631487,NA
Altered Level of Consciousness,1.839025555290184,2.360104378080603,2.0618556701030926
Asthma,2.2689276331502266,1.733835894462163,2.0618556701030926
Behavioral/Psychiatric Disorder,4.29902077860043,4.836184401275732,5.060918462980318
Cancer,0.11941724385001193,0.04059147579008408,0.09372071227741331
Cardiac Arrest,1.6161133667701617,1.2351406204697013,1.4058106841611997
Cardiac Rhythm Disturbance,0.5493193217100549,0.5160916207596405,0.18744142455482662
Chest Pain - STEMI,0.2069898893400207,0.19135981443896782,0.18744142455482662
Chest Pain/Discomfort,5.174747233500518,4.627428240069585,3.373945641986879
CHF (Congestive Heart Failure),0.5493193217100549,0.42331110466801974,0.28116213683223995
COPD (Emphysema/Chronic Bronchitis),1.5922299180001591,1.2293418382139751,1.499531396438613
Croup,0.04776689754000478,0.0057987822557262975,NA
Dehydration,0.24679563729002466,0.6146709191069876,1.5932521087160263
Diabetic Hyperglycemia,1.210094737680121,1.0553783705421862,0.7497656982193065
Diabetic Hypoglycemia,1.2021335880901203,1.3047260075384168,1.218369259606373
Dizziness / Vertigo,1.647957965130165,1.5424760800231951,1.3120899718837862
End Stage Renal Disease,0.06368919672000636,0.028993911278631487,0.28116213683223995
Epistaxis (Non-Traumatic),0.055728047130005565,0.06958538706871557,NA
ETOH Abuse,1.9345593503701934,2.696433748912728,2.8116213683223994
Flu-like Illness,0.42194092827004215,0.38271962887793565,0.18744142455482662
Heat Exhaustion/Heat Stroke,0.07165034631000718,0.5334879675268194,1.874414245548266
Hyperkalemia,0.007961149590000795,NA,NA
Hypertension,0.7324257622800733,0.5334879675268194,0.937207122774133
Hyperthermia,NA,0.04059147579008408,0.18744142455482662
Hypotension,0.4617466762200461,0.585677007828356,0.4686035613870665
Hypothermia,0.01592229918000159,0.011597564511452595,NA
Inhalation Carbon Monoxide,NA,0.0057987822557262975,NA
Obvious Death,0.6766977151500677,0.5682806610611771,0.7497656982193065
Other Cardiovascular Problem,0.14330069262001435,0.09857929834734705,NA
Respiratory Arrest,0.02388344877000239,0.028993911278631487,NA
Respiratory Distress,2.491839821670249,2.2615250797332562,1.4058106841611997
Seizure,3.8054295040203807,3.1545375471151056,3.467666354264293
Stroke/CVA,0.859804155720086,0.7422441287329661,0.6560449859418931
Substance/Drug Abuse,2.770480057320277,3.0501594665120324,3.467666354264293
Syncope/Fainting,1.3374731311201338,1.2583357494926066,1.1246485473289598
TIA (Transient Ischemic Attack),0.08757264549000876,0.08698173383589447,NA
Unconscious,1.0588328954701058,1.1539576688895332,0.5623242736644799
Withdrawal/Overdose Drugs,3.940769047050394,4.847781965787185,6.279287722586692
Withdrawal/Overdose ETOH,1.1304832417801132,1.5192809510002898,2.2492970946579196
