primary_impression_group,not_unsafe_under_79_-sd,caution_80_90_-sd,extreme_caution_91_102_-sd,danger_103_124_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Abdominal Aortic Aneurysm,0.7071067811865475,-0.7071067811865477,NA,NA,123.21818181818182,55.977144096113236,45.429289143960865
Altered Level of Consciousness,-1.3528483001272975,-0.11847391377440156,0.5441266713558885,0.9271955425458093,3.049003377574806,0.6901591294613899,22.63556460899516
Asthma,0.27719382624089667,-0.6118809143848325,-0.9490698215369312,1.2837569096808672,3.453605961705505,0.8136392838378217,23.55912321381388
Behavioral/Psychiatric Disorder,-1.0243730703680618,-0.1678265922530969,-0.18230367261923322,1.3745033352403921,1.395298904883661,0.30106687469754695,21.577231490957825
Cancer,0.7913677725293948,-0.6155082675228629,-1.0827722873956724,0.9069127823891401,118.40833333333333,72.12196652584811,60.9095360905185
Cardiac Arrest,0.24952174235028626,-1.1635756783119484,-0.30654465341819187,1.220598589379853,4.788635814827498,1.0284318631991405,21.47651028325669
Cardiac Rhythm Disturbance,0.5005191036797589,0.39426985088431377,0.5999135659722721,-1.4947025205363453,16.636308861698183,6.599099822727549,39.66685084767014
Chest Pain - STEMI,-0.0735447699129285,0.13502182216212666,-1.2502610885197856,1.1887840362705895,34.86698717948718,7.038273499815655,20.186067306544874
Chest Pain/Discomfort,0.7200811002288702,-1.3862192564404698,0.7441708663446234,-0.07803271013301731,1.4666651294349138,0.07121491458948076,4.85556744755491
CHF (Congestive Heart Failure),1.1541475018371576,0.4165376661429811,-1.1465308785337935,-0.4241542894463452,16.502122641509434,2.7455670121297846,16.637659722777638
COPD (Emphysema/Chronic Bronchitis),0.10240994887629006,-1.3433560917443215,0.16498819331232809,1.0759579495557026,4.735435344827586,1.3224823009255717,27.927364743140053
Croup,0.7071067811865477,-0.7071067811865475,NA,NA,483.6666666666667,467.1618801039124,96.5875699732417
Dehydration,-1.3654502506587487,-0.08396258050099956,0.5270993300713899,0.9223135010883582,13.825237191650853,11.609490829519507,83.9731765074566
Diabetic Hyperglycemia,0.40016860922594866,-1.2269895212070292,1.1178767038667963,-0.2910557918857168,6.383991228070175,0.8280500805991762,12.970727104985208
Diabetic Hypoglycemia,-1.0587617897299708,-0.31123099271649973,0.035489412891679166,1.3345033695547923,5.200944547153063,0.8422769817396374,16.19469260061021
Dizziness / Vertigo,-0.22667021835999623,-0.23572973737814618,-0.9490849969338244,1.4114849526719668,4.353296480222216,0.40211707070166564,9.23707063207281
End Stage Renal Disease,0.32234685764657245,-1.1123452062798092,-0.4255896234408483,1.2155879720740852,150.125,108.96647250246117,72.5838284779092
Epistaxis (Non-Traumatic),-0.8328577645856107,-0.2762189055309154,1.1090766701165267,NA,108.77142857142857,27.20409633020103,25.01033284888458
ETOH Abuse,-1.3283947052078708,0.07586156770518628,0.15446528672158422,1.0980678507811001,2.68049657327971,0.8322162478056335,31.04709239703966
Flu-like Illness,0.6916612368373208,0.6124095668407326,0.15302947920965448,-1.457100282887707,20.301035684987696,4.2543154975765205,20.956150038800835
Heat Exhaustion/Heat Stroke,-1.4511705213596067,0.1284790856578223,0.6236566912914695,0.6990347444103148,35.0210689484127,46.30824033749565,132.2296598248025
Hyperkalemia,NA,NA,NA,NA,920,NA,NA
Hypertension,0.06894531738606707,-0.9721532702607508,-0.45456164287952006,1.3577695957542035,10.251425269645608,3.6467345307546295,35.57295141732714
Hyperthermia,NA,0.262461880226925,-1.105056037895816,0.8425941576688909,185.05555555555554,188.17547464868863,101.68593646581795
Hypotension,-0.943648135624381,-0.7241451760686398,1.1456455089680266,0.5221478027249947,12.474461291812723,3.5899055440437553,28.778040670981863
Hypothermia,0.4228969424313752,-1.141969095415735,0.7190721529843593,NA,555.6666666666666,226.21744701356113,40.71099826278845
Inhalation Carbon Monoxide,NA,NA,NA,NA,814,NA,NA
Obvious Death,-0.14765283361373868,-0.8615101440745326,-0.4246100830650649,1.4337730607533363,10.431525735294118,2.654901141254589,25.450746215119548
Other Cardiovascular Problem,1.0739767311943358,-0.9043172177716836,-0.16965951342265206,NA,63.53703703703704,11.570014102733346,18.209873551372795
Respiratory Arrest,-0.8622042450371749,-0.2340691936698853,1.0962734387070612,NA,258.1666666666667,56.251172827279305,21.788704774930654
Respiratory Distress,0.5388943197624928,-0.47254200642334404,1.0812958370454746,-1.1476481503846234,3.1291071912225434,0.35222131624166975,11.25628796704969
Seizure,0.09034039222690263,-0.5797600053825905,-0.8813344134287092,1.3707540265843983,1.9594174672407374,0.38444901462112036,19.62057708725561
Stroke/CVA,0.10303589666283,-1.37471148961131,0.25441118657457734,1.017264406373906,8.625257983414013,1.0359444460873979,12.01059084933428
Substance/Drug Abuse,-0.9386767863041084,-0.5964801379813023,0.22686414535569868,1.3082927789297112,2.1376774275617905,0.5390574697708759,25.216969727079846
Syncope/Fainting,-0.45611947920093115,-0.9057911144694444,-0.04157402612197927,1.4034846197923516,5.216312877263581,0.5697577296680483,10.922614173537395
TIA (Transient Ischemic Attack),-0.018480789053301843,-0.9906315199338838,1.009112308987186,NA,83.01569264069265,33.584658852003955,40.45579550527224
Unconscious,0.02132801791469415,0.5840876122410712,0.8097495401182393,-1.4151651702740053,6.945741218718438,1.3338316645041646,19.203589976971106
Withdrawal/Overdose Drugs,-1.094183706132129,-0.326644641842159,0.12445824646908694,1.2963701015052016,1.3699601458620307,0.4465664311992812,32.59703813633824
