primary_impression_group,60s_-sd,70s_-sd,80s_-sd,90s_-sd,100s_-sd,110s_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Abdominal Aortic Aneurysm,0.27882176877507964,0.8309982128198451,-1.1098199815949248,NA,NA,NA,112.2,36.582509481991536,32.60473215863773
Altered Level of Consciousness,0.4270669511114599,-1.60283750808076,-0.2774856432484474,0.4862630984830604,0.966993101734687,NA,3.0111806818866103,0.7656180248082113,25.42584141209769
Asthma,1.8658493682590103,-0.12063739994921296,-0.9782795071266491,-0.7109999260663099,0.11334339157426226,-0.16927592669110064,3.3820242431081646,0.6969435004607641,20.60728872304758
Behavioral/Psychiatric Disorder,-1.13263776890093,-0.872025610827546,-0.2016141483910885,-0.05835609307452898,0.7149640815007553,1.5496695396933386,1.4033257472891434,0.3409280067501958,24.294288579025867
Cancer,1.2971960450019933,0.502949150042351,-1.3928997173682929,-0.34720287519817167,-0.060042602477879216,NA,105.30606060606061,61.52197342379192,58.42206333587906
Cardiac Arrest,1.0459678617441144,-0.5257229083245735,-1.0614239504292533,-1.0145926246630887,0.41502565189468577,1.1407459697781142,4.192547404333074,1.6298230458454963,38.87429022653494
Cardiac Rhythm Disturbance,0.6444368339792088,-0.06777924277779113,-1.4520577904354464,1.1754238148673668,-0.30002361563333424,NA,13.3470416548021,0.9264548879298878,6.941275167119605
Chest Pain - STEMI,-1.2220480720713915,0.44649282408644175,0.5319032490557547,-0.8768327142456329,1.120484713174828,NA,38.61014492753623,10.138598763518983,26.258898490402384
Chest Pain/Discomfort,0.4630716278529197,0.407056870048725,0.34685038222575537,0.4237778756108508,0.3990344174479547,-2.039791173186205,2.3608647741264415,2.2743187081386926,96.3341370951764
CHF (Congestive Heart Failure),0.8506606421335624,0.48291942475455657,-0.051815388922162454,0.41245049582041515,-1.6942151737863704,NA,16.653703703703705,6.254398178133906,37.555598979120525
COPD (Emphysema/Chronic Bronchitis),0.10842779216987283,-0.18444035678790657,-1.666530686362123,-0.04383580280223474,0.35494980307709456,1.4314292507052957,4.407082166199813,1.448726042062295,32.8726805498051
Croup,NA,0.7071067811865476,-0.7071067811865475,NA,NA,NA,450.1666666666667,443.82735632475635,98.59178592923132
Dehydration,NA,-1.5539075308639012,-0.38922675038339083,0.30741934377927665,0.7897008438229649,0.84601409364505,11.568099489518843,9.536601754182904,82.43879440026811
Diabetic Hyperglycemia,0.4359327983512023,0.35371511549169704,-1.5307061933488544,0.8915046604645045,0.8010442189444,-0.951490599902947,6.314203147287089,0.7207605128026097,11.4149085164022
Diabetic Hypoglycemia,0.6219092179939886,-0.9452840268635836,-0.41010545752554856,0.14313346878635402,-1.0003455486116866,1.5906923462204763,4.857974614652556,1.9538502351112579,40.21944102420959
Dizziness / Vertigo,-1.70496649367315,0.4063175760193889,0.07535176420254074,0.3166151619398891,0.906681991511332,NA,4.824810152310868,1.4433738976897363,29.915662007932575
End Stage Renal Disease,0.527979944270655,0.4221974799184672,-0.5590026862200946,-1.4513727060116273,1.0601979680425995,NA,176.1547619047619,140.44995971806918,79.73100369208495
Epistaxis (Non-Traumatic),NA,-1.0275853140503626,-0.18041574216151351,1.372728472968041,-0.16472741675616492,NA,107.5,9.105952303133307,8.470653305240287
ETOH Abuse,-1.5561694158493964,-0.8268027453509683,0.27620186385078394,0.49411655044713965,0.43621251224959184,1.17644123465285,2.9058503463959973,0.9824973082799763,33.811008522807306
Flu-like Illness,1.1720144461061117,0.13902616947265592,0.2939696050298468,-0.017455166189321164,-1.5875550544192927,NA,18.90828282828283,5.254442766250059,27.789106043995247
Heat Exhaustion/Heat Stroke,NA,-1.672306235031525,-0.18761699212580388,0.5211485515760864,0.6546040407688355,0.6841706348124071,27.630249867091973,37.827186012138746,136.90497260826973
Hyperkalemia,NA,NA,NA,NA,NA,NA,818,NA,NA
Hypertension,-0.1859230785183202,0.4906617379187725,-1.133645002457806,-0.6092630521971387,1.4381693952544912,NA,10.927208518770692,2.1843701050949593,19.990193299072327
Hyperthermia,NA,NA,-1.0831668496143192,-0.23936785072203423,-0.00765102719202843,1.3301857275283822,108.41666666666667,76.24248596856393,70.32358429075842
