primary_impression_group,not_unsafe_under_79_-sd,all_caution_80_102_-sd,all_danger_103_plus_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Abdominal Aortic Aneurysm,0.7071067811865476,-0.7071067811865474,NA,162.51818181818183,111.55573709737588,68.6420041433761
Altered Level of Consciousness,-1.0822196827571602,0.1923973255582507,0.8898223571989096,3.119125619125619,0.7979510789882186,25.58252460546643
Asthma,-0.004202283934406343,-0.9978922358145207,1.0020945197489264,3.2246501273961226,0.813854583806676,25.238539117540064
Behavioral/Psychiatric Disorder,-0.891014697255472,-0.1905505158437719,1.0815652130992437,1.3774757971400657,0.36613078052303083,26.579834018368715
Cancer,0.5137313779303618,-1.152443744467508,0.6387123665371459,95.58730158730158,66.67680761873085,69.75488010594559
Cardiac Arrest,0.042458951810342115,-1.020553211267429,0.9780942594570858,4.577339901477832,1.0673885037664972,23.318969679788953
Cardiac Rhythm Disturbance,0.5924407579145599,0.5621271388181348,-1.1545678967326949,17.798377028714107,7.536692294936111,42.34482887275155
Chest Pain - STEMI,-0.4657887529208997,-0.6821360209795997,1.1479247739004994,32.82012432012432,5.505695550632085,16.775364702857498
Chest Pain/Discomfort,1.0516515968175444,-0.9387685174187245,-0.11288307939881538,1.46671272197588,0.04880713988034733,3.3276550444450264
CHF (Congestive Heart Failure),1.1174546325052794,-0.3067920900150856,-0.8106625424901946,15.844748858447488,2.2474429404652265,14.18414997008313
COPD (Emphysema/Chronic Bronchitis),-0.05429023254736701,-0.9717489862153961,1.0260392187627638,4.535298742138365,1.1917660843538331,26.277565208238585
Croup,0.7071067811865474,-0.7071067811865475,NA,680.1666666666666,745.0548451102256,109.5400409375485
Dehydration,-1.0999748337431046,0.24578103322901262,0.8541938005140921,14.72728628883081,13.591341008352062,92.28679840806619
Diabetic Hyperglycemia,1.1546389362024976,-0.5876488075706973,-0.5669901286317977,6.436499903605167,0.3324574571513299,5.165190120877904
Diabetic Hypoglycemia,-0.8960991321995886,-0.18262844917690682,1.0787275813764945,5.1780275843852,1.0207438156509125,19.712985282833483
Dizziness / Vertigo,-0.459975506825159,-0.687245531984709,1.1472210388098678,4.255917571707045,0.40986285126059996,9.630422684530618
End Stage Renal Disease,0.08636842675368893,-1.040382975482509,0.9540145487288201,124.6888888888889,112.18091208863046,89.96865164834024
Epistaxis (Non-Traumatic),-0.7071067811865472,0.7071067811865479,NA,116.00595238095238,21.810877024456477,18.801515419511972
ETOH Abuse,-1.0540281095072888,0.11864099213030223,0.9353871173769865,2.716124607283508,1.0150427806610298,37.37099461265917
Flu-like Illness,0.6672471246152641,0.482517329952704,-1.1497644545679675,20.71545645130551,5.031068342487658,24.286543501051337
Heat Exhaustion/Heat Stroke,-1.1494039819296673,0.47903138553574226,0.670372596393925,39.33059581320451,54.71672918988208,139.12001091911242
Hyperkalemia,NA,NA,NA,920,NA,NA
Hypertension,-0.13383381877011824,-0.926343570909539,1.060177389679657,9.473188405797101,3.9363114573289204,41.552128900129354
Hyperthermia,NA,-0.7071067811865476,0.7071067811865476,99.46428571428571,103.18708242600832,103.74284768144464
Hypotension,-1.1188998100720047,0.3123721616724523,0.8065276483995518,12.804188005007397,2.732935454080612,21.344074712210016
Hypothermia,0.7071067811865476,-0.7071067811865476,NA,531.75,101.46982310026956,19.082242237944442
Inhalation Carbon Monoxide,NA,NA,NA,1207,NA,NA
Obvious Death,-0.3056379727047162,-0.811514499652724,1.1171524723574398,9.921618647458983,2.9509120098014785,29.742243827898324
Other Cardiovascular Problem,0.7071067811865476,-0.7071067811865476,NA,61.05555555555556,14.06356820359911,23.034051652846586
Respiratory Arrest,-0.7071067811865472,0.7071067811865478,NA,274.03333333333336,46.15050258544201,16.84120031095074
Respiratory Distress,0.8111624331985285,0.306115088172357,-1.117277521370887,3.1891674176019222,0.3080397744949914,9.658940223546505
Seizure,-0.16628078810464755,-0.9064368008296482,1.0727175889342964,1.8586228749670173,0.39729976177419507,21.37602883969915
Stroke/CVA,-0.012886158540275174,-0.9934946488852502,1.0063808074255234,8.506544863315696,0.9291873264945264,10.923204913685087
Substance/Drug Abuse,-0.8341569407307472,-0.27439578705354134,1.1085527277842893,2.1235957998118744,0.6234826274442525,29.359759870474683
Syncope/Fainting,-0.5086218444673862,-0.6434517772019357,1.1520736216693204,5.151689708141321,0.6380000614974826,12.384287440472939
TIA (Transient Ischemic Attack),-0.7071067811865444,0.7071067811865507,NA,82.05151515151516,2.2413142215791795,2.731593947339547
Unconscious,0.25019108465831696,0.8511489536185123,-1.1013400382768286,7.2719843998606235,1.4176810786935685,19.495106160028893
Withdrawal/Overdose Drugs,-0.9181380288769305,-0.14736888011256646,1.0655069089894973,1.3644701796704939,0.5381714550259601,39.44178942451664
Withdrawal/Overdose ETOH,-0.9564815814756896,-0.08198883916700302,1.0384704206426925,4.431358933925862,2.140673009460139,48.307371200997665
