primary_impression_group,not_unsafe_under_79,unsafe_80_plus
Altered Level of Consciousness,230,126
Asthma,115,140
Behavioral/Psychiatric Disorder,76.66666666666667,74.11764705882354
Cardiac Arrest,920,252
Cardiac Rhythm Disturbance,460,1260
Chest Pain - STEMI,NA,1260
Chest Pain/Discomfort,57.5,50.4
CHF (Congestive Heart Failure),460,420
COPD (Emphysema/Chronic Bronchitis),306.6666666666667,105
Dehydration,460,630
Diabetic Hyperglycemia,306.6666666666667,210
Diabetic Hypoglycemia,230,252
Dizziness / Vertigo,920,630
End Stage Renal Disease,920,NA
ETOH Abuse,131.42857142857142,78.75
Flu-like Illness,NA,315
Heat Exhaustion/Heat Stroke,NA,420
Hyperkalemia,920,NA
Hypertension,153.33333333333334,420
Hypotension,230,1260
Obvious Death,920,630
Other Cardiovascular Problem,NA,1260
Respiratory Distress,230,140
Seizure,102.22222222222223,57.27272727272727
Stroke/CVA,920,157.5
Substance/Drug Abuse,153.33333333333334,90
Syncope/Fainting,306.6666666666667,315
Unconscious,230,420
Withdrawal/Overdose Drugs,54.11764705882353,52.5
Withdrawal/Overdose ETOH,460,96.92307692307692
