primary_impression_group,not_unsafe_under_79,caution_80_90,extreme_caution_91_102,danger_103_124
Altered Level of Consciousness,230,101.75,196.5,NA
Asthma,115,116.28571428571429,196.5,NA
Behavioral/Psychiatric Disorder,76.66666666666667,81.4,65.5,53
Cardiac Arrest,920,407,196.5,53
Cardiac Rhythm Disturbance,460,NA,393,NA
Chest Pain - STEMI,NA,814,NA,NA
Chest Pain/Discomfort,57.5,47.88235294117647,56.142857142857146,53
CHF (Congestive Heart Failure),460,407,393,NA
COPD (Emphysema/Chronic Bronchitis),306.6666666666667,135.66666666666666,78.6,53
Dehydration,460,814,NA,53
Diabetic Hyperglycemia,306.6666666666667,271.3333333333333,131,NA
Diabetic Hypoglycemia,230,203.5,393,NA
Dizziness / Vertigo,920,814,393,NA
End Stage Renal Disease,920,NA,NA,NA
ETOH Abuse,131.42857142857142,67.83333333333333,196.5,26.5
Flu-like Illness,NA,271.3333333333333,393,NA
Heat Exhaustion/Heat Stroke,NA,NA,196.5,53
Hyperkalemia,920,NA,NA,NA
Hypertension,153.33333333333334,407,NA,53
Hypotension,230,NA,393,NA
Obvious Death,920,814,NA,53
Other Cardiovascular Problem,NA,814,NA,NA
Respiratory Distress,230,162.8,98.25,NA
Seizure,102.22222222222223,54.266666666666666,65.5,53
Stroke/CVA,920,162.8,131,NA
Substance/Drug Abuse,153.33333333333334,135.66666666666666,49.125,NA
Syncope/Fainting,306.6666666666667,NA,98.25,NA
Unconscious,230,407,393,NA
Withdrawal/Overdose Drugs,54.11764705882353,58.142857142857146,56.142857142857146,17.666666666666668
Withdrawal/Overdose ETOH,460,135.66666666666666,196.5,10.6
