primary_impression_group,60s,70s,80s,90s,100s,110s
Altered Level of Consciousness,NA,204.5,109.14285714285714,126.66666666666667,NA,NA
Asthma,102,116.85714285714286,109.14285714285714,190,NA,NA
Behavioral/Psychiatric Disorder,NA,68.16666666666667,95.5,47.5,109,NA
Cardiac Arrest,NA,818,382,190,109,NA
Cardiac Rhythm Disturbance,NA,409,NA,380,NA,NA
Chest Pain - STEMI,NA,NA,764,NA,NA,NA
Chest Pain/Discomfort,NA,51.125,47.75,54.285714285714285,54.5,NA
CHF (Congestive Heart Failure),NA,409,764,190,NA,NA
COPD (Emphysema/Chronic Bronchitis),102,409,152.8,76,54.5,NA
Dehydration,NA,409,764,NA,109,NA
Diabetic Hyperglycemia,NA,272.6666666666667,382,126.66666666666667,109,NA
Diabetic Hypoglycemia,NA,204.5,191,380,NA,NA
Dizziness / Vertigo,NA,818,764,380,NA,NA
End Stage Renal Disease,NA,818,NA,NA,NA,NA
ETOH Abuse,NA,116.85714285714286,63.666666666666664,190,109,7
Flu-like Illness,NA,NA,254.66666666666666,380,NA,NA
Heat Exhaustion/Heat Stroke,NA,NA,NA,190,109,NA
Hyperkalemia,NA,818,NA,NA,NA,NA
Hypertension,NA,136.33333333333334,382,NA,109,NA
Hypotension,102,272.6666666666667,NA,380,NA,NA
Obvious Death,NA,818,764,NA,109,NA
Other Cardiovascular Problem,NA,NA,764,NA,NA,NA
Respiratory Distress,102,272.6666666666667,152.8,126.66666666666667,109,NA
Seizure,51,116.85714285714286,63.666666666666664,54.285714285714285,36.333333333333336,NA
Stroke/CVA,NA,818,152.8,190,109,NA
Substance/Drug Abuse,51,204.5,127.33333333333333,63.333333333333336,54.5,NA
Syncope/Fainting,102,409,NA,190,54.5,NA
Unconscious,NA,204.5,382,380,NA,NA
Withdrawal/Overdose Drugs,102,51.125,58.76923076923077,63.333333333333336,21.8,NA
Withdrawal/Overdose ETOH,NA,409,127.33333333333333,190,27.25,7
