primary_impression_group,not_unsafe_under_79,unsafe_80_plus
Altered Level of Consciousness,1.6129032258064515,2.1834061135371177
Asthma,3.225806451612903,1.9650655021834063
Behavioral/Psychiatric Disorder,4.838709677419355,3.711790393013101
Cardiac Arrest,0.4032258064516129,1.0917030567685588
Cardiac Rhythm Disturbance,0.8064516129032258,0.21834061135371177
Chest Pain - STEMI,NA,0.21834061135371177
Chest Pain/Discomfort,6.451612903225806,5.458515283842795
CHF (Congestive Heart Failure),0.8064516129032258,0.6550218340611353
COPD (Emphysema/Chronic Bronchitis),1.2096774193548387,2.6200873362445414
Dehydration,0.8064516129032258,0.43668122270742354
Diabetic Hyperglycemia,1.2096774193548387,1.3100436681222707
Diabetic Hypoglycemia,1.6129032258064515,1.0917030567685588
Dizziness / Vertigo,0.4032258064516129,0.43668122270742354
End Stage Renal Disease,0.4032258064516129,NA
ETOH Abuse,2.82258064516129,3.4934497816593884
Flu-like Illness,NA,0.8733624454148471
Heat Exhaustion/Heat Stroke,NA,0.6550218340611353
Hyperkalemia,0.4032258064516129,NA
Hypertension,2.4193548387096775,0.6550218340611353
Hypotension,1.6129032258064515,0.21834061135371177
Obvious Death,0.4032258064516129,0.43668122270742354
Other Cardiovascular Problem,NA,0.21834061135371177
Respiratory Distress,1.6129032258064515,1.9650655021834063
Seizure,3.6290322580645165,4.8034934497816595
Stroke/CVA,0.4032258064516129,1.7467248908296942
Substance/Drug Abuse,2.4193548387096775,3.056768558951965
Syncope/Fainting,1.2096774193548387,0.8733624454148471
Unconscious,1.6129032258064515,0.6550218340611353
Withdrawal/Overdose Drugs,6.854838709677419,5.240174672489083
Withdrawal/Overdose ETOH,0.8064516129032258,2.8384279475982535
