primary_impression_group,not_unsafe_under_79,caution_80_90,extreme_caution_91_102,danger_103_124
Altered Level of Consciousness,1.6129032258064515,3.007518796992481,1.3333333333333335,NA
Asthma,3.225806451612903,2.631578947368421,1.3333333333333335,NA
Behavioral/Psychiatric Disorder,4.838709677419355,3.7593984962406015,4,2.380952380952381
Cardiac Arrest,0.4032258064516129,0.7518796992481203,1.3333333333333335,2.380952380952381
Cardiac Rhythm Disturbance,0.8064516129032258,NA,0.6666666666666667,NA
Chest Pain - STEMI,NA,0.37593984962406013,NA,NA
Chest Pain/Discomfort,6.451612903225806,6.390977443609022,4.666666666666667,2.380952380952381
CHF (Congestive Heart Failure),0.8064516129032258,0.7518796992481203,0.6666666666666667,NA
COPD (Emphysema/Chronic Bronchitis),1.2096774193548387,2.2556390977443606,3.3333333333333335,2.380952380952381
Dehydration,0.8064516129032258,0.37593984962406013,NA,2.380952380952381
Diabetic Hyperglycemia,1.2096774193548387,1.1278195488721803,2,NA
Diabetic Hypoglycemia,1.6129032258064515,1.5037593984962405,0.6666666666666667,NA
Dizziness / Vertigo,0.4032258064516129,0.37593984962406013,0.6666666666666667,NA
End Stage Renal Disease,0.4032258064516129,NA,NA,NA
ETOH Abuse,2.82258064516129,4.511278195488721,1.3333333333333335,4.761904761904762
Flu-like Illness,NA,1.1278195488721803,0.6666666666666667,NA
Heat Exhaustion/Heat Stroke,NA,NA,1.3333333333333335,2.380952380952381
Hyperkalemia,0.4032258064516129,NA,NA,NA
Hypertension,2.4193548387096775,0.7518796992481203,NA,2.380952380952381
Hypotension,1.6129032258064515,NA,0.6666666666666667,NA
Obvious Death,0.4032258064516129,0.37593984962406013,NA,2.380952380952381
Other Cardiovascular Problem,NA,0.37593984962406013,NA,NA
Respiratory Distress,1.6129032258064515,1.8796992481203008,2.666666666666667,NA
Seizure,3.6290322580645165,5.639097744360902,4,2.380952380952381
Stroke/CVA,0.4032258064516129,1.8796992481203008,2,NA
Substance/Drug Abuse,2.4193548387096775,2.2556390977443606,5.333333333333334,NA
Syncope/Fainting,1.2096774193548387,NA,2.666666666666667,NA
Unconscious,1.6129032258064515,0.7518796992481203,0.6666666666666667,NA
Withdrawal/Overdose Drugs,6.854838709677419,5.263157894736842,4.666666666666667,7.142857142857142
Withdrawal/Overdose ETOH,0.8064516129032258,2.2556390977443606,1.3333333333333335,11.904761904761903
