primary_impression_group,60s,70s,80s,90s,100s,110s
Altered Level of Consciousness,NA,1.762114537444934,2.8455284552845526,2.112676056338028,NA,NA
Asthma,4.761904761904762,3.0837004405286343,2.8455284552845526,1.4084507042253522,NA,NA
Behavioral/Psychiatric Disorder,NA,5.286343612334802,3.2520325203252036,5.633802816901409,1.5384615384615385,NA
Cardiac Arrest,NA,0.4405286343612335,0.8130081300813009,1.4084507042253522,1.5384615384615385,NA
Cardiac Rhythm Disturbance,NA,0.881057268722467,NA,0.7042253521126761,NA,NA
Chest Pain - STEMI,NA,NA,0.40650406504065045,NA,NA,NA
Chest Pain/Discomfort,NA,7.048458149779736,6.504065040650407,4.929577464788732,3.076923076923077,NA
CHF (Congestive Heart Failure),NA,0.881057268722467,0.40650406504065045,1.4084507042253522,NA,NA
COPD (Emphysema/Chronic Bronchitis),4.761904761904762,0.881057268722467,2.0325203252032518,3.5211267605633805,3.076923076923077,NA
Dehydration,NA,0.881057268722467,0.40650406504065045,NA,1.5384615384615385,NA
Diabetic Hyperglycemia,NA,1.3215859030837005,0.8130081300813009,2.112676056338028,1.5384615384615385,NA
Diabetic Hypoglycemia,NA,1.762114537444934,1.6260162601626018,0.7042253521126761,NA,NA
Dizziness / Vertigo,NA,0.4405286343612335,0.40650406504065045,0.7042253521126761,NA,NA
End Stage Renal Disease,NA,0.4405286343612335,NA,NA,NA,NA
ETOH Abuse,NA,3.0837004405286343,4.878048780487805,1.4084507042253522,1.5384615384615385,20
Flu-like Illness,NA,NA,1.2195121951219512,0.7042253521126761,NA,NA
Heat Exhaustion/Heat Stroke,NA,NA,NA,1.4084507042253522,1.5384615384615385,NA
Hyperkalemia,NA,0.4405286343612335,NA,NA,NA,NA
Hypertension,NA,2.643171806167401,0.8130081300813009,NA,1.5384615384615385,NA
Hypotension,4.761904761904762,1.3215859030837005,NA,0.7042253521126761,NA,NA
Obvious Death,NA,0.4405286343612335,0.40650406504065045,NA,1.5384615384615385,NA
Other Cardiovascular Problem,NA,NA,0.40650406504065045,NA,NA,NA
Respiratory Distress,4.761904761904762,1.3215859030837005,2.0325203252032518,2.112676056338028,1.5384615384615385,NA
Seizure,9.523809523809524,3.0837004405286343,4.878048780487805,4.929577464788732,4.615384615384616,NA
Stroke/CVA,NA,0.4405286343612335,2.0325203252032518,1.4084507042253522,1.5384615384615385,NA
Substance/Drug Abuse,9.523809523809524,1.762114537444934,2.4390243902439024,4.225352112676056,3.076923076923077,NA
Syncope/Fainting,4.761904761904762,0.881057268722467,NA,1.4084507042253522,3.076923076923077,NA
Unconscious,NA,1.762114537444934,0.8130081300813009,0.7042253521126761,NA,NA
Withdrawal/Overdose Drugs,4.761904761904762,7.048458149779736,5.284552845528456,4.225352112676056,7.6923076923076925,NA
Withdrawal/Overdose ETOH,NA,0.881057268722467,2.4390243902439024,1.4084507042253522,6.153846153846154,20
