primary_impression_group,not_unsafe_under_79,all_caution_80_102,all_danger_103_plus
Altered Level of Consciousness,1.6129032258064515,2.403846153846154,NA
Asthma,3.225806451612903,2.1634615384615383,NA
Behavioral/Psychiatric Disorder,4.838709677419355,3.8461538461538463,2.380952380952381
Cardiac Arrest,0.4032258064516129,0.9615384615384616,2.380952380952381
Cardiac Rhythm Disturbance,0.8064516129032258,0.2403846153846154,NA
Chest Pain - STEMI,NA,0.2403846153846154,NA
Chest Pain/Discomfort,6.451612903225806,5.769230769230769,2.380952380952381
CHF (Congestive Heart Failure),0.8064516129032258,0.7211538461538461,NA
COPD (Emphysema/Chronic Bronchitis),1.2096774193548387,2.644230769230769,2.380952380952381
Dehydration,0.8064516129032258,0.2403846153846154,2.380952380952381
Diabetic Hyperglycemia,1.2096774193548387,1.4423076923076923,NA
Diabetic Hypoglycemia,1.6129032258064515,1.201923076923077,NA
Dizziness / Vertigo,0.4032258064516129,0.4807692307692308,NA
End Stage Renal Disease,0.4032258064516129,NA,NA
ETOH Abuse,2.82258064516129,3.3653846153846154,4.761904761904762
Flu-like Illness,NA,0.9615384615384616,NA
Heat Exhaustion/Heat Stroke,NA,0.4807692307692308,2.380952380952381
Hyperkalemia,0.4032258064516129,NA,NA
Hypertension,2.4193548387096775,0.4807692307692308,2.380952380952381
Hypotension,1.6129032258064515,0.2403846153846154,NA
Obvious Death,0.4032258064516129,0.2403846153846154,2.380952380952381
Other Cardiovascular Problem,NA,0.2403846153846154,NA
Respiratory Distress,1.6129032258064515,2.1634615384615383,NA
Seizure,3.6290322580645165,5.048076923076923,2.380952380952381
Stroke/CVA,0.4032258064516129,1.9230769230769231,NA
Substance/Drug Abuse,2.4193548387096775,3.3653846153846154,NA
Syncope/Fainting,1.2096774193548387,0.9615384615384616,NA
Unconscious,1.6129032258064515,0.7211538461538461,NA
Withdrawal/Overdose Drugs,6.854838709677419,5.048076923076923,7.142857142857142
Withdrawal/Overdose ETOH,0.8064516129032258,1.9230769230769231,11.904761904761903
