primary_impression_group,not_unsafe_under_79_-sd,unsafe_80_plus_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Altered Level of Consciousness,-0.7071067811865476,0.7071067811865476,178,73.53910524340094,41.31410406932637
Asthma,0.7071067811865475,-0.7071067811865475,127.5,17.67766952966369,13.864838846795049
Behavioral/Psychiatric Disorder,-0.7071067811865436,0.7071067811865515,75.39215686274511,1.802429050083355,2.390738141853084
Cardiac Arrest,-0.7071067811865475,0.7071067811865475,586,472.34732983261375,80.60534638781805
Cardiac Rhythm Disturbance,0.7071067811865475,-0.7071067811865475,860,565.685424949238,65.77737499409744
Chest Pain - STEMI,NA,NA,1260,NA,NA
Chest Pain/Discomfort,-0.7071067811865469,0.7071067811865482,53.95,5.020458146424488,9.30576116112046
CHF (Congestive Heart Failure),-0.7071067811865475,0.7071067811865475,440,28.284271247461902,6.428243465332251
COPD (Emphysema/Chronic Bronchitis),-0.7071067811865476,0.7071067811865476,205.83333333333334,142.5998675392871,69.27928787333786
Dehydration,0.7071067811865475,-0.7071067811865475,545,120.20815280171308,22.056541798479465
Diabetic Hyperglycemia,-0.7071067811865471,0.7071067811865479,258.33333333333337,68.35365551469961,26.459479554077266
Diabetic Hypoglycemia,0.7071067811865476,-0.7071067811865476,241,15.556349186104045,6.454916674731968
Dizziness / Vertigo,-0.7071067811865475,0.7071067811865475,775,205.0609665440988,26.459479554077266
End Stage Renal Disease,NA,NA,920,NA,NA
ETOH Abuse,-0.7071067811865476,0.7071067811865476,105.08928571428571,37.24937508036276,35.445454621925485
Flu-like Illness,NA,NA,315,NA,NA
Heat Exhaustion/Heat Stroke,NA,NA,420,NA,NA
Hyperkalemia,NA,NA,920,NA,NA
Hypertension,0.7071067811865476,-0.7071067811865474,286.6666666666667,188.56180831641268,65.77737499409744
Hypotension,0.7071067811865476,-0.7071067811865476,745,728.3199846221439,97.76107176136159
Obvious Death,-0.7071067811865475,0.7071067811865475,775,205.0609665440988,26.459479554077266
Other Cardiovascular Problem,NA,NA,1260,NA,NA
Respiratory Distress,-0.7071067811865475,0.7071067811865475,185,63.63961030678928,34.399789355021234
Seizure,-0.7071067811865475,0.7071067811865477,79.74747474747475,31.78409268969835,39.85592370209166
Stroke/CVA,-0.7071067811865476,0.7071067811865476,538.75,539.1689206547425,100.07775789415174
Substance/Drug Abuse,-0.7071067811865475,0.7071067811865475,121.66666666666667,44.78342947514802,36.80829819875179
Syncope/Fainting,0.7071067811865523,-0.7071067811865427,310.83333333333337,5.892556509887883,1.8957286358888628
Unconscious,0.7071067811865475,-0.7071067811865475,325,134.35028842544403,41.33855028475201
Withdrawal/Overdose Drugs,-0.7071067811865445,0.7071067811865507,53.30882352941177,1.1438492048605913,2.1457033360143507
Withdrawal/Overdose ETOH,-0.7071067811865476,0.7071067811865476,278.46153846153845,256.7341544000388,92.1973482652073
