primary_impression_group,not_unsafe_under_79_-sd,caution_80_90_-sd,extreme_caution_91_102_-sd,danger_103_124_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Altered Level of Consciousness,-0.8105574050730705,1.1174918165767838,-0.30693441150371287,NA,176.08333333333334,66.51801134529904,37.77643805696112
Asthma,0.5910649511685906,0.5635261182409771,-1.1545910694095673,NA,142.5952380952381,46.68731928814209,32.74114894142541
Behavioral/Psychiatric Disorder,-0.5944655374224261,-0.9683929186582376,0.2876870873240309,1.2751713687566317,69.14166666666667,12.658429339113656,18.307960958100985
Cardiac Arrest,-1.3855903318940992,-0.03392341435348044,0.5207079426490542,0.8988058035985255,394.125,379.531372221059,96.29720830220336
Cardiac Rhythm Disturbance,-0.7071067811865476,NA,0.7071067811865476,NA,426.5,47.37615433949868,11.108125284759362
Chest Pain - STEMI,NA,NA,NA,NA,814,NA,NA
Chest Pain/Discomfort,-0.9058112433755949,1.3460507561755743,-0.5880517738015337,0.1478122610015577,53.63130252100841,4.270975335407087,7.9635868133802346
CHF (Congestive Heart Failure),-1.1318236699485855,0.3678426927332903,0.7639809772152952,NA,420,35.34119409414458,8.414570022415377
COPD (Emphysema/Chronic Bronchitis),-1.4296191700548186,0.06848037899660014,0.5684309497521612,0.7927078413060578,143.48333333333335,114.1446174977327,79.55252700504079
Dehydration,-0.046392646697203666,-0.975996246554378,NA,1.0223888932515814,442.3333333333333,380.80747541682183,86.09061237757841
Diabetic Hyperglycemia,-0.7569534125331466,-0.3766829778008546,1.1336363903340014,NA,236.33333333333334,92.91633034318804,39.315795631814396
Diabetic Hypoglycemia,0.4433962907477294,0.7016380864579455,-1.1450343772056748,NA,275.5,102.61700638783027,37.247552227887574
Dizziness / Vertigo,-0.7569534125331466,-0.37668297780085497,1.1336363903340014,NA,709,278.7489910295641,39.315795631814396
End Stage Renal Disease,NA,NA,NA,NA,920,NA,NA
ETOH Abuse,-0.34754930264928613,0.5070460367074398,-1.22198174834825,1.0624850142900966,105.56547619047619,74.41561539887138,70.49237883851363
Flu-like Illness,NA,0.7071067811865471,-0.7071067811865478,NA,332.16666666666663,86.0313250443633,25.900047680189658
Heat Exhaustion/Heat Stroke,NA,NA,-0.7071067811865476,0.7071067811865476,124.75,101.46982310026956,81.33853555131829
Hyperkalemia,NA,NA,NA,NA,920,NA,NA
Hypertension,0.2801365524550391,-1.1101933372294266,NA,0.8300567847743876,204.44444444444446,182.45070364144738,89.24219199853404
Hypotension,0.7071067811865475,NA,-0.7071067811865475,NA,311.5,115.25840533340725,37.00109320494615
Obvious Death,-0.6857779385275126,-0.46164907475387534,NA,1.1474270132813877,595.6666666666666,472.94220929552625,79.39712523148175
Other Cardiovascular Problem,NA,NA,NA,NA,814,NA,NA
Respiratory Distress,-1.0066367442773307,0.013408330597310399,0.99322841368002035,NA,163.68333333333334,65.87944165924095,40.2481060946386
Seizure,-1.4546185306366974,0.6292362791643101,0.1411043948480871,0.6842778566242995,68.74722222222222,23.01290633589533,33.474670818709114
Stroke/CVA,-1.1539686068652752,0.5413845734187497,0.6125840334465257,NA,404.6,446.632600690993,110.38868034873776
Substance/Drug Abuse,-0.7284540275341115,-0.4116699170987643,1.1401239446328755,NA,112.70833333333333,55.76879043076971,49.480627369259636
Syncope/Fainting,-0.7071067811865475,NA,0.7071067811865475,NA,202.45833333333334,147.3728383122963,72.79168799125563
Unconscious,1.151774999097744,-0.6470265436107917,-0.5047484554869528,NA,343.3333333333333,98.39884823174168,28.659858708274278
Withdrawal/Overdose Drugs,-0.3937087470084178,-0.6022260120783882,-0.49862035636512536,1.4945551154519319,46.517507002801125,19.303965466278825,41.498280346615324
Withdrawal/Overdose ETOH,-1.3690762382339245,0.3433140047864291,0.02213083998559191,1.0036313934619037,200.69166666666666,189.40386670346047,94.37555123703548
