primary_impression_group,60s_-sd,70s_-sd,80s_-sd,90s_-sd,100s_-sd,110s_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Altered Level of Consciousness,NA,-1.137366340598867,0.7413051719520521,0.39606116864681445,NA,NA,146.76984126984127,50.75775207112389,34.58323020040886
Asthma,0.6742332894555431,0.309972187619821,0.4991077597268307,-1.4833132368021948,NA,NA,129.5,40.787069446254726,31.495806522204422
Behavioral/Psychiatric Disorder,NA,0.43098590431451883,-0.5610377912304787,1.1810526009461026,-1.0510007140301423,NA,80.04166666666667,27.553105289805558,34.42345273062641
Cardiac Arrest,NA,-1.3987017596024562,-0.022877806558641415,0.5829896223046899,0.8385899438564077,NA,374.75,316.9010097806569,84.56331148249684
Cardiac Rhythm Disturbance,NA,-0.7071067811865476,NA,0.7071067811865476,NA,NA,394.5,20.506096654409877,5.197996617087421
Chest Pain - STEMI,NA,NA,NA,NA,NA,NA,764,NA,NA
Chest Pain/Discomfort,NA,0.24874373302846886,1.3111745927432878,-0.7462311990854088,-0.81368712668635,NA,51.91517857142857,3.176677304823326,6.118975976269886
CHF (Congestive Heart Failure),NA,0.15649841034158338,-1.0690222294656695,0.9125238191240858,NA,NA,454.3333333333333,289.6728039242437,63.75777048956207
COPD (Emphysema/Chronic Bronchitis),0.3933168611250861,-1.730289828382501,0.041918750939465746,0.5731662875980413,0.7218879287199083,NA,158.86,144.56537621436192,91.00174758552303
Dehydration,NA,0.05591397528894232,-1.0267839098514873,NA,0.9708699345625449,NA,427.3333333333333,327.88463418302075,76.72807352176773
Diabetic Hyperglycemia,NA,-0.38785388172249396,-1.234549876431166,0.742795038040916,0.8796087201127442,NA,222.58333333333334,129.1293853007446,58.0139507154225
Diabetic Hypoglycemia,NA,0.5121475197315839,0.6401843996644799,-1.1523319193960637,NA,NA,258.5,105.43837062473983,40.788537959280404
Dizziness / Vertigo,NA,-0.6867035900623576,-0.4605938713832886,1.1472974614456461,NA,NA,654,238.82210952924774,36.5171421298544
End Stage Renal Disease,NA,NA,NA,NA,NA,NA,818,NA,NA
ETOH Abuse,NA,-0.28830016795026464,0.49599424900162425,-1.3667927592108744,-0.1724464716234413,1.331545149782956,97.3047619047619,67.8195267501682,69.69805528792855
Flu-like Illness,NA,NA,0.7071067811865475,-0.7071067811865477,NA,NA,317.3333333333333,88.62404990871396,27.92774681997289
Heat Exhaustion/Heat Stroke,NA,NA,NA,-0.7071067811865475,0.7071067811865475,NA,149.5,57.27564927611035,38.311471087699225
Hyperkalemia,NA,NA,NA,NA,NA,NA,818,NA,NA
Hypertension,NA,0.48406020585241505,-1.1499201226051265,NA,0.6658599167527115,NA,209.11111111111111,150.3486072556168,71.89890888950856
Hypotension,1.0667512541237343,-0.15058152918537113,NA,-0.916169724938363,NA,NA,251.55555555555557,140.19721559025078,55.73210867103609
Obvious Death,NA,-0.6444079781614612,-0.5075874113696438,NA,1.1519953895311048,NA,563.6666666666666,394.6775054817963,70.0196638938728
Other Cardiovascular Problem,NA,NA,NA,NA,NA,NA,764,NA,NA
Respiratory Distress,0.7241642383309473,-1.7170531044755124,-0.0024793613637879948,0.3713320442534512,0.6240361832549012,NA,152.62666666666667,69.91047608668295,45.804889547490355
Seizure,0.43443135944542,-1.6961309459198841,0.024648587769953045,0.3281343246874981,0.9089166740170133,NA,64.42857142857143,30.910686203026135,47.97667481622682
Stroke/CVA,NA,-1.4926728268808862,0.49099706512024344,0.38006423291573055,0.621611528844912,NA,317.45,335.33805331336913,105.63491992860897
Substance/Drug Abuse,0.7431879504761925,-1.5786441471783983,-0.4114256225159927,0.5566346657569311,0.690247153461267,NA,100.13333333333333,66.11158496562207,66.02355356087425
Syncope/Fainting,0.5529209446686509,-1.400998249728769,NA,-0.00716012734103289,0.8552374324011508,NA,188.875,157.12011063726587,83.1873517602996
Unconscious,NA,1.1546449428534504,-0.5871353179665559,-0.5675096248868939,NA,NA,322.1666666666667,101.90722905335683,31.63183519504092
Withdrawal/Overdose Drugs,-1.480067614916247,0.28773016585211925,0.02210944468204728,-0.1364833884190777,1.3067113928011578,NA,59.40551282051282,28.778744126427956,48.44456812178315
Withdrawal/Overdose ETOH,NA,-1.5878721249396033,0.1531931388947766,-0.2341681269050618,0.7718379264288269,0.8970091865210619,152.11666666666667,161.77835059803962,106.35149595576176
