primary_impression_group,not_unsafe_under_79_-sd,all_caution_80_102_-sd,all_danger_103_plus_-sd,call_to_heat_index_ratio_mean,call_to_heat_index_ratio_sd,sd_%_of_mean
Altered Level of Consciousness,-0.7071067811865477,0.7071067811865475,NA,175.35,77.28677118368964,44.075717812198256
Asthma,0.7071067811865476,-0.7071067811865476,NA,124.55555555555556,13.513596262676243,10.849452842469775
Behavioral/Psychiatric Disorder,-0.6228641205470878,-0.5306072591773515,1.1534713797244394,68.36805555555556,13.32330894870312,19.4876230433037
Cardiac Arrest,-1.108983045769001,0.2758924325276189,0.8330906132413823,424.9166666666667,446.43002904523945,105.06296035581238
Cardiac Rhythm Disturbance,0.7071067811865476,-0.7071067811865476,NA,833.5,528.208765546351,63.3723773900841
Chest Pain - STEMI,NA,NA,NA,1207,NA,NA
Chest Pain/Discomfort,-1.0718712601390907,0.9078482559185185,0.16402300422057237,53.59722222222222,3.641088181869282,6.793427030178501
CHF (Congestive Heart Failure),-0.7071067811865482,0.7071067811865468,NA,431.16666666666663,40.776491048424255,9.457245701219387
COPD (Emphysema/Chronic Bronchitis),-1.1281916588328647,0.3510519707746917,0.777139688058173,156.46464646464648,133.13519828484374,85.0896360890867
Dehydration,0.19363678274134277,-1.0826574235038013,0.8890206407624588,573.3333333333334,585.2882480738301,102.08515954776105
Diabetic Hyperglycemia,-0.7071067811865474,0.7071067811865477,NA,253.91666666666669,74.59976541518078,29.379625368630435
Diabetic Hypoglycemia,0.7071067811865458,-0.7071067811865493,NA,235.7,8.061017305526645,3.4200327982718055
Dizziness / Vertigo,-0.7071067811865476,0.7071067811865476,NA,761.75,223.79929624554228,29.37962536863043
End Stage Renal Disease,NA,NA,NA,920,NA,NA
ETOH Abuse,-0.9509152309245461,-0.0918343443756816,1.042749575300228,81.38095238095238,52.63099950450815,64.67238090079994
Flu-like Illness,NA,NA,NA,301.75,NA,NA
Heat Exhaustion/Heat Stroke,NA,-0.7071067811865475,0.7071067811865475,328.25,389.26228304319443,118.5871387793433
Hyperkalemia,NA,NA,NA,920,NA,NA
Hypertension,0.39773037486167984,-1.1376718297615653,0.7399414548998855,269.94444444444446,293.1913640029766,108.61174217027329
Hypotension,0.7071067811865475,-0.7071067811865475,NA,718.5,690.8433252192569,96.15077595257577
Obvious Death,-0.32179240987626573,-0.7994876941925843,1.1212801040688498,726.6666666666666,600.8014092304821,82.67909301336911
Other Cardiovascular Problem,NA,NA,NA,1207,NA,NA
Respiratory Distress,-0.7071067811865477,0.7071067811865472,NA,182.05555555555554,67.80368357377672,37.243402634360116
Seizure,-1.150790283801489,0.49316806587911777,0.657622217922371,70.8994708994709,27.218470440400846,38.39023069578925
Stroke/CVA,-0.7071067811865476,0.7071067811865476,NA,535.4375,543.8535030801033,101.57179933794389
Substance/Drug Abuse,-0.7071067811865477,0.7071067811865474,NA,119.77380952380952,47.46033371821138,39.62496801838541
Syncope/Fainting,-0.7071067811865392,0.7071067811865557,NA,304.20833333333337,3.4766083408338724,1.1428379698673186
Unconscious,0.7071067811865474,-0.7071067811865478,NA,316.16666666666663,121.85806862448167,38.542351699888776
Withdrawal/Overdose Drugs,-0.49961860184525475,-0.6517371146975808,1.151355716542835,43.086834733893554,22.078466022260944,51.24179150921309
Withdrawal/Overdose ETOH,-1.0996655583837995,0.24478893844382785,0.8548766199399715,207.15833333333333,229.92596679873574,110.99045020253546
