zcta,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,heat_mean_f,heat_median_f,heat_min_f,heat_max_f,total_count,population,urticaria_count,urticaria_prev,urticaria_percap,heat_exhaustion_count,heat_exhaustion_prev,heat_exhaustion_percap,heat_syncope_count,heat_syncope_prev,heat_syncope_percap,heat_cramps_count,heat_cramps_prev,heat_cramps_percap,carbon_monoxide_count,carbon_monoxide_prev,carbon_monoxide_percap,heatstroke_count,heatstroke_prev,heatstroke_percap,all_effects_heat_count,all_effects_heat_prev,all_effects_heat_percap,hypothermia_count,hypothermia_prev,hypothermia_percap,osteoarthritis_count,osteoarthritis_prev,osteoarthritis_percap,kidney_disease_count,kidney_disease_prev,kidney_disease_percap,mental_illness_count,mental_illness_prev,mental_illness_percap,influenza_count,influenza_prev,influenza_percap,acute_bronchitis_count,acute_bronchitis_prev,acute_bronchitis_percap,bronchitis_count,bronchitis_prev,bronchitis_percap,copd_count,copd_prev,copd_percap,asthma_count,asthma_prev,asthma_percap,respiratory_count,respiratory_prev,respiratory_percap,hypertension_count,hypertension_prev,hypertension_percap,heart_attack_count,heart_attack_prev,heart_attack_percap,cerebrovascular_disease_count,cerebrovascular_disease_prev,cerebrovascular_disease_percap,congestive_artery_disease_count,congestive_artery_disease_prev,congestive_artery_disease_percap,angina_pectoris_count,angina_pectoris_prev,angina_pectoris_percap,heart_disease_count,heart_disease_prev,heart_disease_percap,circulatory_count,circulatory_prev,circulatory_percap,thyroid_count,thyroid_prev,thyroid_percap,diabetes_count,diabetes_prev,diabetes_percap
21201,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,88.90387320698295,90.63347015380856,78.18559303283689,102.78414993286131,14359,16595,11,7.66070060589178e-4,1.07563682589351e-5,0,0,0,1,6.96427327808343e-5,9.77851659903193e-7,0,0,0,5,3.48213663904172e-4,4.88925829951596e-6,3,2.08928198342503e-4,2.93355497970958e-6,4,2.78570931123337e-4,3.91140663961277e-6,35,0.0024374956473292,3.42248080966117e-5,1179,0.0821087819486037,0.00115288710702586,3237,0.225433526011561,0.00316530582310663,7998,0.557002576781113,0.00782085757590574,95,0.00661605961417926,9.28959076908033e-5,103,0.00717320147642593,1.00718720970029e-4,447,0.0311303015530329,4.37099691976727e-4,4179,0.291036980291107,0.00408644208673544,2238,0.155860435963507,0.00218843201486335,5798,0.403788564663277,0.00566958392411871,7496,0.522041924925134,0.00732997604263433,316,0.0220071035587436,3.09001124529409e-4,1017,0.0708266592381085,9.94475138121547e-4,1266,0.0881676997005362,0.00123796020143744,47,0.00327320844069921,4.59590280154501e-5,8335,0.580472177728254,0.00815039358529311,8752,0.609513197297862,0.00855815772747274,1111,0.0773730761195069,0.00108639319415245,3721,0.259140608677485,0.00363858602649978
21202,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,89.44793348587736,91.06913642883296,78.98687744140616,101.57000274658202,15788,21788,16,0.00101342791993919,1.56456265584511e-5,2,1.26678489992399e-4,1.95570331980639e-6,0,0,0,0,0,0,5,3.16696224980998e-4,4.88925829951596e-6,2,1.26678489992399e-4,1.95570331980639e-6,5,3.16696224980998e-4,4.88925829951596e-6,37,0.00234355206485939,3.61805114164181e-5,1199,0.0759437547504434,0.00117244414022393,3452,0.218647073726881,0.00337554392998582,9234,0.584874588294908,0.00902948222754608,107,0.00677729921459336,1.04630127609642e-4,86,0.00544717506967317,8.40952427516746e-5,377,0.0238788953635673,0.00036865007578350403,4220,0.267291613883962,0.00412653400479147,2399,0.151950848745883,0.00234586613210776,5902,0.37382822396757,0.00577128049674864,8028,0.508487458829491,0.00785019312570283,417,0.0264124651634153,4.07764142179631e-4,1004,0.0635926019761844,9.81763066542805e-4,1419,0.0898783886496073,0.00138757150540263,46,0.00291360526982518,4.49811763555469e-5,8970,0.568153027615911,0.00877132938933164,9465,0.59950595388903,0.00925536596098372,1080,0.0684063845958956,0.00105607979269545,3907,0.247466430200152,0.00382046643524177
21205,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,88.23259914734768,90.15022277832037,75.55296325683597,100.58579254150393,16770,14766,27,0.00161001788908766,2.64019948173862e-5,1,5.96302921884317e-5,9.77851659903193e-7,0,0,0,0,0,0,1,5.96302921884317e-5,9.77851659903193e-7,2,1.19260584376863e-4,1.95570331980639e-6,3,1.78890876565295e-4,2.93355497970958e-6,23,0.00137149672033393,2.24905881777734e-5,1429,0.0852116875372689,0.00139735002200166,3801,0.226654740608229,0.00371681415929204,9078,0.541323792486583,0.00887693736860118,130,0.00775193798449612,1.27120715787415e-4,110,0.00655933214072749,1.07563682589351e-4,513,0.0305903398926655,5.01637901530338e-4,5238,0.312343470483005,0.00512198699457292,2822,0.168276684555754,0.00275949738424681,6830,0.407274895646989,0.00667872683713881,8552,0.509958258795468,0.0083625873954921,602,0.0358974358974359,5.88666699261722e-4,1112,0.0663088849135361,0.00108737104581235,1654,0.0986285032796661,0.00161736664547988,61,0.00363744782349434,5.96489512540948e-5,9554,0.569707811568277,0.0093423947587151,9978,0.594991055456172,0.00975700386251406,1261,0.0751937984496124,0.00123307094313793,4159,0.248002385211688,0.00406688505353738
21206,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,86.29294483091533,88.07957286834721,73.60731201171885,97.50596771240241,37807,51287,37,9.7865474647552e-4,3.61805114164181e-5,5,1.32250641415611e-4,4.88925829951596e-6,0,0,0,0,0,0,2,5.29002565662443e-5,1.95570331980639e-6,0,0,0,5,1.32250641415611e-4,4.88925829951596e-6,40,0.00105800513132489,3.91140663961277e-5,3387,0.0895865844949348,0.00331198357209211,8850,0.234083635305631,0.00865398719014326,17207,0.455127357367683,0.0168258935119542,253,0.00669188245562991,2.47396469955508e-4,335,0.00886079297484593,3.2758030606757e-4,1178,0.0311582511175179,0.00115190925536596,9620,0.254450234083635,0.00940693296826871,4995,0.132118390774195,0.00488436904121645,13892,0.367445182109133,0.0135843152593752,19631,0.519242468325971,0.0191962059355596,1096,0.0289893405983019,0.0010717254192539,2771,0.0732933054725315,0.00270962694959175,3586,0.0948501600232761,0.00350657605241285,114,0.00301531462427593,1.11475089228964e-4,22093,0.584362684159018,0.0216036767222412,23164,0.612690771550242,0.0226509558499976,3147,0.0832385537069855,0.00307729917371535,9926,0.262543973338271,0.00970615557619909
21207,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,85.09105568476923,87.22650680541986,73.45536079406739,96.61694030761713,34990,48243,24,6.85910260074307e-4,2.34684398376766e-5,5,1.42897970848814e-4,4.88925829951596e-6,0,0,0,0,0,0,1,2.85795941697628e-5,9.77851659903193e-7,5,1.42897970848814e-4,4.88925829951596e-6,9,2.57216347527865e-4,8.80066493912873e-6,38,0.00108602457845099,3.71583630763213e-5,3454,0.0987139182623607,0.00337749963330563,8826,0.252243498142326,0.00863051875030558,14396,0.411431837667905,0.0140771524959664,243,0.00694484138325236,2.37617953356476e-4,388,0.011088882537868,3.79406444042439e-4,1101,0.0314661331809088,0.00107661467755342,7807,0.223120891683338,0.00763408790886423,4281,0.122349242640755,0.00418618295604557,12129,0.346641897685053,0.0118603627829658,19930,0.569591311803372,0.0194885835818706,822,0.023492426407545,8.03794064440424e-4,2802,0.0800800228636753,0.00273994035104875,3554,0.101571877679337,0.00347528479929595,90,0.00257216347527865,8.80066493912873e-5,21783,0.622549299799943,0.0213005427076712,22554,0.64458416690483,0.0220544663374566,3126,0.0893398113746785,0.00305676428885738,10179,0.290911689054015,0.0099535520461546
21208,53.202706742397474,42.3404081854499,4.456885072152623,9.496107925427296,43.87742416708105,24.89333369568171,21.096828545805366,13.821778949370872,35.48837209302326,6.452013923421183,251400,72612,45.3,84.95211494681763,86.70249328613289,73.7292671203613,95.48828048706062,24307,36797,18,7.40527420084749e-4,1.76013298782575e-5,2,8.2280824453861e-5,1.95570331980639e-6,0,0,0,0,0,0,1,4.11404122269305e-5,9.77851659903193e-7,2,8.2280824453861e-5,1.95570331980639e-6,4,1.64561648907722e-4,3.91140663961277e-6,22,9.05089068992471e-4,2.15127365178702e-5,3154,0.129756860163739,0.00308414413533467,5918,0.243468959558975,0.00578692612330709,10307,0.424034228822973,0.0100787170586222,186,0.00765211667420908,1.81880408741994e-4,222,0.00913317151437857,2.17083068498509e-4,683,0.0280989015509935,6.67872683713881e-4,4297,0.17678035133912,0.00420182858260402,2103,0.0865182869132349,0.00205642204077641,7718,0.31752170156745,0.00754705911113284,14482,0.595795449870408,0.014161247738718,784,0.0322540831859135,7.66635701364103e-4,1947,0.0801003826058337,0.00190387718183152,2497,0.102727609330645,0.00244169559477827,73,0.00300325009256593,7.13831711729331e-5,16254,0.668696260336529,0.0158940008800665,16847,0.693092524787098,0.0164738669143891,3828,0.15748549800469,0.00374321615410942,6332,0.260501090220924,0.00619175671050702
21209,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,84.62888395266849,86.47423686981193,72.55812797546378,97.06442031860361,14951,27462,22,0.00147147348003478,2.15127365178702e-5,1,6.68851581833991e-5,9.77851659903193e-7,0,0,0,0,0,0,2,1.33770316366798e-4,1.95570331980639e-6,1,6.68851581833991e-5,9.77851659903193e-7,2,1.33770316366798e-4,1.95570331980639e-6,16,0.00107016253093439,1.56456265584511e-5,1401,0.0937061066149422,0.00136997017552437,2519,0.168483713463982,0.00246320833129614,5224,0.349408066350077,0.00510829707133428,90,0.00601966423650592,8.80066493912873e-5,93,0.00622031971105612,9.09402043709969e-5,271,0.0181258778677012,2.64997799833765e-4,2211,0.147883084743495,0.00216203002004596,1207,0.0807303859273627,0.00118026695350315,4000,0.267540632733596,0.00391140663961277,6498,0.434619757875727,0.00635408008605095,350,0.0234098053641897,3.42248080966117e-4,978,0.0654136847033643,9.56338923385322e-4,1070,0.071567119256237,0.00104630127609642,39,0.00260852116915257,3.81362147362245e-5,7426,0.496689184669922,0.00726152642644111,7917,0.529529797337971,0.00774165159145358,1915,0.128085077921209,0.00187258592871461,2576,0.172296167480436,0.00251894587591062
21210,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,84.92816162105223,86.69803524017343,74.11913757324211,97.35634765625001,4641,15258,7,0.00150829562594268,6.84496161932235e-6,1,2.15470803706098e-4,9.77851659903193e-7,0,0,0,0,0,0,2,4.30941607412196e-4,1.95570331980639e-6,0,0,0,1,2.15470803706098e-4,9.77851659903193e-7,2,4.30941607412196e-4,1.95570331980639e-6,671,0.144580909286792,6.56138463795042e-4,774,0.16677440206852,7.56857184765071e-4,1722,0.3710407239819,0.0016838605583533,25,0.00538677009265245,2.44462914975798e-5,26,0.00560224089635854,2.5424143157483e-5,72,0.015513897866839,7.04053195130299e-5,660,0.142210730446025,6.45382095536107e-4,272,0.0586080586080586,2.65975651493668e-4,1216,0.262012497306615,0.00118906761844228,2156,0.464555052790347,0.00210824817875128,96,0.0206851971557854,9.38737593507065e-5,357,0.0769230769230769,3.4909304258544e-4,306,0.0659340659340659,2.99222607930377e-4,13,0.00280112044817927,1.27120715787415e-5,2619,0.56431803490627,0.00256099349728646,2776,0.598146951088128,0.00271451620789126,656,0.1413488472312,6.41470688896494e-4,651,0.14027149321267,6.36581430596978e-4
21211,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,87.20566884792049,89.28852043151858,75.32729721069332,99.7205917358399,11047,16436,12,0.00108626776500407,1.17342199188383e-5,0,0,0,0,0,0,0,0,0,1,9.05223137503395e-5,9.77851659903193e-7,1,9.05223137503395e-5,9.77851659903193e-7,1,9.05223137503395e-5,9.77851659903193e-7,15,0.00135783470625509,1.46677748985479e-5,1113,0.100751335204128,0.00108834889747225,2190,0.198243867113243,0.00214149513518799,5725,0.518240246220693,0.00559820075294578,65,0.00588395039377207,6.35603578937075e-5,110,0.00995745451253734,1.07563682589351e-4,447,0.0404634742464017,4.37099691976727e-4,2906,0.263057843758486,0.00284163692367868,1019,0.0922422377115959,9.96430841441353e-4,4236,0.383452521046438,0.0041421796313499196,5674,0.513623608219426,0.00554833031829072,279,0.0252557255363447,2.72820613112991e-4,969,0.0877161220240789,9.47538258446194e-4,1145,0.103648049244139,0.00111964015058916,33,0.0029872363537612,3.22691047768054e-5,6476,0.586222503847198,0.00633256734953308,6835,0.61872001448357,0.00668361609543832,1406,0.127274373132977,0.00137485943382389,2604,0.235720105005884,0.00254632572238791
21212,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,85.20465507025244,87.49285659790034,74.01428680419914,96.04151077270514,21081,34010,22,0.00104359375741189,2.15127365178702e-5,4,1.89744319529434e-4,3.91140663961277e-6,1,4.74360798823585e-5,9.77851659903193e-7,0,0,0,2,9.4872159764717e-5,1.95570331980639e-6,3,1.42308239647076e-4,2.93355497970958e-6,9,4.26924718941227e-4,8.80066493912873e-6,26,0.00123333807694132,2.5424143157483e-5,2105,0.0998529481523647,0.00205837774409622,4646,0.220388027133438,0.00454309881191023,9480,0.449694037284759,0.00927003373588227,139,0.00659361510364783,1.35921380726544e-4,193,0.00915516341729519,1.88725370361316e-4,611,0.0289834448081211,5.97467364200851e-4,4691,0.222522650728144,0.00458710213660588,2583,0.122527394336132,0.00252579083752995,7266,0.344670556425217,0.0071050701608566,10887,0.516436601679237,0.0106458710213661,513,0.0243347089796499,5.01637901530338e-4,1665,0.0789810730041269,0.00162812301373882,2026,0.0961054978416584,0.00198112746296387,49,0.00232436791423557,4.79147313352564e-5,12340,0.585361225748304,0.0120666894832054,12880,0.610976708884778,0.0125947293795531,2031,0.0963426782410702,0.00198601672126338,5304,0.25160096769603,0.00518652520412653
