zcta,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,heat_mean_f,heat_median_f,heat_min_f,heat_max_f,total_count,population,urticaria_count,urticaria_prev,black_urticaria_count,white_urticaria_count,black_urticaria_prev,white_urticaria_prev,heat_exhaustion_count,heat_exhaustion_prev,black_heat_exhaustion_count,white_heat_exhaustion_count,black_heat_exhaustion_prev,white_heat_exhaustion_prev,heat_syncope_count,heat_syncope_prev,black_heat_syncope_count,white_heat_syncope_count,black_heat_syncope_prev,white_heat_syncope_prev,heat_cramps_count,heat_cramps_prev,black_heat_cramps_count,white_heat_cramps_count,black_heat_cramps_prev,white_heat_cramps_prev,carbon_monoxide_count,carbon_monoxide_prev,black_carbon_monoxide_count,white_carbon_monoxide_count,black_carbon_monoxide_prev,white_carbon_monoxide_prev,heatstroke_count,heatstroke_prev,black_heatstroke_count,white_heatstroke_count,black_heatstroke_prev,white_heatstroke_prev,all_effects_heat_count,all_effects_heat_prev,black_all_effects_heat_count,white_all_effects_heat_count,black_all_effects_heat_prev,white_all_effects_heat_prev,hypothermia_count,hypothermia_prev,black_hypothermia_count,white_hypothermia_count,black_hypothermia_prev,white_hypothermia_prev,osteoarthritis_count,osteoarthritis_prev,black_osteoarthritis_count,white_osteoarthritis_count,black_osteoarthritis_prev,white_osteoarthritis_prev,kidney_disease_count,kidney_disease_prev,black_kidney_disease_count,white_kidney_disease_count,black_kidney_disease_prev,white_kidney_disease_prev,mental_illness_count,mental_illness_prev,black_mental_illness_count,white_mental_illness_count,black_mental_illness_prev,white_mental_illness_prev,influenza_count,influenza_prev,black_influenza_count,white_influenza_count,black_influenza_prev,white_influenza_prev,acute_bronchitis_count,acute_bronchitis_prev,black_acute_bronchitis_count,white_acute_bronchitis_count,black_acute_bronchitis_prev,white_acute_bronchitis_prev,bronchitis_count,bronchitis_prev,black_bronchitis_count,white_bronchitis_count,black_bronchitis_prev,white_bronchitis_prev,copd_count,copd_prev,black_copd_count,white_copd_count,black_copd_prev,white_copd_prev,asthma_count,asthma_prev,black_asthma_count,white_asthma_count,black_asthma_prev,white_asthma_prev,respiratory_count,respiratory_prev,black_respiratory_count,white_respiratory_count,black_respiratory_prev,white_respiratory_prev,hypertension_count,hypertension_prev,black_hypertension_count,white_hypertension_count,black_hypertension_prev,white_hypertension_prev,heart_attack_count,heart_attack_prev,black_heart_attack_count,white_heart_attack_count,black_heart_attack_prev,white_heart_attack_prev,cerebrovascular_disease_count,cerebrovascular_disease_prev,black_cerebrovascular_disease_count,white_cerebrovascular_disease_count,black_cerebrovascular_disease_prev,white_cerebrovascular_disease_prev,congestive_artery_disease_count,congestive_artery_disease_prev,black_congestive_artery_disease_count,white_congestive_artery_disease_count,black_congestive_artery_disease_prev,white_congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,black_angina_pectoris_count,white_angina_pectoris_count,black_angina_pectoris_prev,white_angina_pectoris_prev,heart_disease_count,heart_disease_prev,black_heart_disease_count,white_heart_disease_count,black_heart_disease_prev,white_heart_disease_prev,circulatory_count,circulatory_prev,black_circulatory_count,white_circulatory_count,black_circulatory_prev,white_circulatory_prev,thyroid_count,thyroid_prev,black_thyroid_count,white_thyroid_count,black_thyroid_prev,white_thyroid_prev,diabetes_count,diabetes_prev,black_diabetes_count,white_diabetes_count,black_diabetes_prev,white_diabetes_prev
21201,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,88.90387320698295,90.63347015380856,78.18559303283689,102.78414993286131,76422,16595,180,0.00235534270236319,143,19,0.00229851801845244,0.00176760628895711,17,2.22449033000968e-4,14,3,2.25029736072267e-4,2.79095729835334e-4,2,2.61704744707022e-5,1,1,1.60735525765905e-5,9.30319099451112e-5,3,3.92557117060532e-5,3,0,4.82206577297714e-5,0,15,1.96278558530266e-4,11,3,1.76809078342495e-4,2.79095729835334e-4,0,0,0,0,0,0,32,4.18727591531234e-4,27,5,4.33985919567943e-4,4.65159549725556e-4,27,3.53301405354479e-4,22,5,3.5361815668499e-4,4.65159549725556e-4,1433,0.0187511449582581,1249,170,0.0200758671681615,0.0158154246906689,1197,0.0156630289707152,1054,116,0.0169415244157264,0.0107917015536329,24163,0.316178587317788,18782,4607,0.301893464493522,0.428598009117127,264,0.00345450263013268,238,15,0.00382550551322853,0.00139547864917667,419,0.0054827144016121,377,34,0.00605972932137461,0.00316308493813378,1182,0.015466750412185,1000,138,0.0160735525765905,0.0128384035724253,11402,0.149197874957473,10085,1105,0.162101777734915,0.102800260489348,8727,0.114194865352909,8055,512,0.129472466004436,0.0476323378918969,16518,0.216141948653529,14530,1539,0.23354871893786,0.143176109405526,14792,0.193556829185313,13033,1456,0.209486610730704,0.135454460880082,41,5.36494726649394e-4,31,7,4.98280129874305e-4,6.51223369615778e-4,319,0.00417419067807699,275,39,0.00442022695856238,0.00362824448785934,747,0.00977467221480726,630,103,0.010126338123252,0.00958228672434645,34,4.44898066001937e-4,27,6,4.33985919567943e-4,5.58191459670667e-4,15605,0.204195127057654,13587,1679,0.218391358858135,0.156200576797842,16044,0.209939546203973,13916,1760,0.223679557655833,0.163736161503396,822,0.0107560650074586,556,230,0.00893689523258431,0.0213973392873756,6208,0.0812331527570595,5507,521,0.0885170540392838,0.0484696250814029
21202,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,89.44793348587736,91.06913642883296,78.98687744140616,101.57000274658202,82496,21788,178,0.00215768037238169,144,22,0.00217132345180114,0.00172063194118567,24,2.90923196276183e-4,20,4,3.01572701639048e-4,3.12842171124668e-4,0,0,0,0,0,0,0,0,0,0,0,0,7,8.48525989138867e-5,6,0,9.04718104917143e-5,0,0,0,0,0,0,0,33,4.00019394879752e-4,26,7,3.92044512130762e-4,5.47473799468168e-4,38,4.60628394103957e-4,26,9,3.92044512130762e-4,7.03894885030502e-4,1374,0.0166553529868115,1158,189,0.0174610594249009,0.0147817925856405,1052,0.0127521334367727,873,150,0.0131636484265444,0.011731581417175,22037,0.26712810318076,16436,4868,0.247832446206969,0.38072892225872,345,0.00418202094647013,291,31,0.00438788280884814,0.00242452682621617,392,0.00475174553917766,329,51,0.00496087094196233,0.00398873768183951,1264,0.015321955003879,1014,220,0.0152897359730997,0.0172063194118567,10580,0.128248642358417,9180,1147,0.138421870052323,0.0897074925699984,8244,0.0999321179208689,7526,524,0.113481807626774,0.0409823244173315,16400,0.198797517455392,14202,1692,0.214146775433888,0.132332238385734,13544,0.164177657098526,11518,1779,0.173675718873928,0.139136555607696,57,6.90942591155935e-4,38,13,5.72988133114191e-4,0.00101673705615517,270,0.00327288595810706,205,59,0.00309112019180024,0.00461442202408885,876,0.0106186966640807,714,142,0.010766145448514,0.0111058970749257,26,3.15166795965865e-4,19,6,2.86494066557095e-4,4.69263256687001e-4,14482,0.175547905352987,12137,2055,0.183009393989656,0.160722665415298,14858,0.180105702094647,12437,2115,0.187532984514242,0.165415297982168,637,0.00772158650116369,469,133,0.00707187985343567,0.0104020021898952,5656,0.0685608999224205,4830,645,0.07282980744583,0.0504458000938527
21205,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,88.23259914734768,90.15022277832037,75.55296325683597,100.58579254150393,74049,14766,231,0.00311955596969574,182,17,0.00314846209736014,0.0017394863399161,10,1.35045712973842e-4,7,2,1.21094696052313e-4,2.04645451754835e-4,6,8.1027427784305e-5,5,0,8.64962114659378e-5,0,3,4.05137138921525e-5,3,0,5.18977268795627e-5,0,6,8.1027427784305e-5,5,0,8.64962114659378e-5,0,0,0,0,0,0,0,18,2.43082283352915e-4,14,2,2.42189392104626e-4,2.04645451754835e-4,6,8.1027427784305e-5,6,0,1.03795453759125e-4,0,930,0.0125592513065673,747,149,0.0129225339930111,0.0152460861557352,1091,0.0147334872854461,972,98,0.0168148635089783,0.0100276271359869,16859,0.2276735675026,12760,3319,0.220738331661073,0.339609127187148,475,0.00641467136625748,361,43,0.00624502646784071,0.00439987721272895,377,0.00509122337911383,292,52,0.00505137874961077,0.0053207817456257,1130,0.0152601655660441,831,202,0.0143756703456389,0.0206691906272383,11456,0.154708368782833,9452,1498,0.163512438155209,0.153279443364371,9367,0.126497319342597,8091,809,0.139968169394181,0.0827790852348307,17120,0.231198260611217,13816,2033,0.239006331522679,0.20802210170879,11811,0.159502491593404,9588,1788,0.165865135107082,0.182953033868822,50,6.75228564869208e-4,40,10,6.91969691727502e-4,0.00102322725877417,199,0.00268740968817945,166,30,0.00287167422066913,0.00306968177632252,1025,0.0138421855798188,836,173,0.0144621665571048,0.0177018315767932,34,4.59155424111062e-4,32,2,5.53575753382002e-4,2.04645451754835e-4,12761,0.172331834325919,10274,2019,0.177732415320209,0.206589583546506,13066,0.176450728571622,10520,2058,0.181988028924333,0.210580169855725,855,0.0115464084592635,512,275,0.00885721205411203,0.0281387496162898,5058,0.0683061216221691,3863,937,0.0668269729785835,0.0958763941471401
21206,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,86.29294483091533,88.07957286834721,73.60731201171885,97.50596771240241,147033,51287,524,0.00356382580781185,435,56,0.00357836201507025,0.00279902034287999,29,1.97234634401801e-4,20,7,1.64522391497483e-4,3.49877542859999e-4,5,3.40059714485864e-5,5,0,4.11305978743707e-5,0,2,1.36023885794345e-5,1,1,8.22611957487414e-6,4.9982506122857e-5,19,1.29222691504628e-4,17,1,1.3984403277286e-4,4.9982506122857e-5,3,2.04035828691518e-5,3,0,2.46783587246224e-5,0,42,2.85650160168126e-4,32,8,2.63235826395972e-4,3.99860048982856e-4,9,6.12107486074555e-5,8,1,6.58089565989931e-5,4.9982506122857e-5,1713,0.0116504458182857,1323,357,0.0108831561975585,0.0178437546858599,2411,0.0163976794325083,2002,367,0.016468691388898,0.0183435797470885,30402,0.206769908795985,22584,7106,0.185778684478958,0.355175688509022,1124,0.00764454238164222,988,63,0.00812740613997565,0.00314889788573999,1379,0.00937884692552012,1192,143,0.00980553453324997,0.00714749837556855,2909,0.0197846741887876,2432,363,0.0200059228060939,0.0181436497225971,20088,0.136622390891841,17157,2513,0.141135533546116,0.12560603788674,16544,0.112518958329083,14803,1367,0.121771248066862,0.0683260858699455,32923,0.223915719600362,28295,3486,0.232758053371064,0.174239016344279,27043,0.183924697176824,21963,4536,0.180670264222961,0.226720647773279,93,6.32511068943707e-4,65,26,5.34697772366819e-4,0.00129954515919428,657,0.00446838464834425,505,144,0.00415419038531144,0.00719748088169141,1635,0.0111199526636877,1291,334,0.0106199203711625,0.0166941570450342,52,3.53662103065298e-4,39,11,3.20818663420091e-4,5.49807567351427e-4,29088,0.197833139499296,23332,5161,0.191931821920963,0.257959714100065,29773,0.202491957587752,23886,5276,0.196489092165444,0.263707702304194,2082,0.0141600865111914,1353,671,0.0111299397848047,0.033538261608437,12063,0.0820428067168595,9692,2082,0.0797275509196802,0.104063577747788
21207,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,85.09105568476923,87.22650680541986,73.45536079406739,96.61694030761713,122574,48243,385,0.00314095974676522,341,24,0.00316323596256064,0.0022682166146867,22,1.7948341410087e-4,17,3,1.57697980538214e-4,2.83527076835838e-4,5,4.07916850229249e-5,5,0,4.63817589818276e-5,0,1,8.15833700458498e-6,1,0,9.27635179636553e-6,0,33,2.69225121151305e-4,31,0,2.87566905687331e-4,0,1,8.15833700458498e-6,1,0,9.27635179636553e-6,0,33,2.69225121151305e-4,28,3,2.59737850298235e-4,2.83527076835838e-4,4,3.26333480183399e-5,3,1,2.78290553890966e-5,9.45090256119459e-5,1455,0.0118703803416712,1244,173,0.0115397816346787,0.0163500614308666,2141,0.0174669995268165,1807,283,0.0167623676960325,0.0267460542481807,18868,0.15393150260251,15716,2680,0.145787144831681,0.253284188640015,903,0.00736697831514024,803,52,0.00744891049248152,0.00491446933182119,1068,0.00871310392089676,949,88,0.00880325785475088,0.00831679425385124,2598,0.0211953595379118,2298,223,0.021317056428048,0.0210755127114639,12371,0.100926787083721,11006,1097,0.102095527870799,0.103676401096305,9715,0.0792582439995431,8837,660,0.0819751208244821,0.0623759569038843,22223,0.181302723252892,19784,1786,0.183523343939296,0.168793119742935,21247,0.173340186336417,18575,2242,0.17230823461749,0.211889235421983,55,4.48708535252174e-4,48,5,4.45264886225545e-4,4.7254512805973e-4,476,0.00388336841418245,384,78,0.00356211908980436,0.00737170399773178,1416,0.0115522051984923,1233,163,0.0114377417649187,0.0154049711747472,48,3.91600176220079e-4,42,5,3.89606775447352e-4,4.7254512805973e-4,22595,0.184337624618598,19610,2519,0.181909258726728,0.238068235516492,23335,0.190374794001991,20228,2617,0.187642044136882,0.247330120026463,1525,0.0124414639319921,1135,357,0.0105286592888749,0.0337397221434647,9252,0.0754809339664203,8211,777,0.0761681245999573,0.073433512900482
21208,53.202706742397474,42.3404081854499,4.456885072152623,9.496107925427296,43.87742416708105,24.89333369568171,21.096828545805366,13.821778949370872,35.48837209302326,6.452013923421183,251400,72612,45.3,84.95211494681763,86.70249328613289,73.7292671203613,95.48828048706062,52708,36797,161,0.00305456477195113,102,46,0.00312634095506651,0.00263685869876756,13,2.46641875996054e-4,7,6,2.14552810641819e-4,3.43938091143594e-4,2,3.79449039993929e-5,1,1,3.06504015202599e-5,5.7323015190599e-5,0,0,0,0,0,0,3,5.69173559990893e-5,1,2,3.06504015202599e-5,1.14646030381198e-4,0,0,0,0,0,0,20,3.79449039993929e-4,12,8,3.67804818243119e-4,4.58584121524792e-4,5,9.48622599984822e-5,1,4,3.06504015202599e-5,2.29292060762396e-4,562,0.0106625180238294,291,256,0.00891926684239564,0.0146746918887933,821,0.0155763830917508,501,305,0.0153558511616502,0.0174835196331327,7221,0.137000075889808,3989,2994,0.122264451664317,0.171625107480653,327,0.00620399180390074,222,71,0.0068043891374977,0.00406993407853253,362,0.00686802762389011,273,64,0.00836755961503096,0.00366867297219834,959,0.0181945814677089,703,210,0.0215472322687427,0.0120378331900258,3818,0.072436821734841,2851,853,0.087384294734261,0.048896531957581,2794,0.0530090308871519,2252,445,0.0690247042236253,0.0255087417598166,7288,0.138271230173788,5290,1641,0.162140624042175,0.094067067927773,9618,0.18247704333308,5563,3870,0.170508183657206,0.221840068787618,73,0.00138498899597784,31,36,9.50162447128057e-4,0.00206362854686156,264,0.00500872732791986,121,136,0.00370869858395145,0.00779593006592147,529,0.0100364271078394,272,250,0.0083369092135107,0.0143307537976498,34,6.45063367989679e-4,12,19,3.67804818243119e-4,0.00108913728862138,10573,0.20059573499279,5842,4517,0.179059645681358,0.258928059615936,10964,0.208013963724672,6051,4693,0.185465579599093,0.269016910289481,986,0.0187068376717007,319,640,0.00977747808496291,0.0366867297219834,3701,0.0702170448508765,2411,1193,0.0738981180653467,0.0683863571223846
21209,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,84.62888395266849,86.47423686981193,72.55812797546378,97.06442031860361,27921,27462,85,0.00304430357078901,34,42,0.00324551355479191,0.00276534105873058,7,2.50707352888507e-4,2,5,1.90912562046583e-4,3.29207268896497e-4,0,0,0,0,0,0,0,0,0,0,0,0,5,1.79076680634648e-4,1,2,9.54562810232913e-5,1.31682907558599e-4,0,0,0,0,0,0,11,3.93968697396225e-4,2,9,1.90912562046583e-4,5.92573084013695e-4,0,0,0,0,0,0,261,0.00934780272912861,123,126,0.011741122565864801,0.00829602317619173,353,0.0126428136528061,181,165,0.0172775868652157,0.0108638398735844,3822,0.136886214677125,1442,2208,0.137647957235586,0.145377929944693,186,0.0066616525196089,73,83,0.00696830851470027,0.00546484066368185,176,0.0063034991583396,74,84,0.00706376479572356,0.00553068211746115,445,0.0159378245764836,196,212,0.0187094310805651,0.0139583882012115,1795,0.0642885283478385,902,820,0.0861015654830088,0.0539899920990255,1330,0.0476343970488163,711,562,0.0678694158075601,0.0370028970239663,3751,0.134343325812113,1699,1760,0.162180221458572,0.115880958651567,4569,0.163640270763941,2088,2313,0.199312714776632,0.15229128259152,12,4.29784033523155e-4,2,10,1.90912562046583e-4,6.58414537792994e-4,113,0.00404713298234304,38,69,0.00362733867888507,0.00454306031077166,287,0.0102790014684288,147,134,0.0140320733104238,0.00882275480642613,16,5.73045378030873e-4,7,8,6.68193967163039e-4,5.26731630234396e-4,5120,0.183374520969879,2224,2702,0.2122947689958,0.177903608111667,5319,0.190501772859138,2279,2827,0.217544864452081,0.18613378983408,463,0.0165825006267684,87,338,0.00830469644902635,0.0222544113774032,1554,0.0556570323412485,762,720,0.072737686139748,0.0474058467210956
21210,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,84.92816162105223,86.69803524017343,74.11913757324211,97.35634765625001,8900,15258,30,0.00337078651685393,8,14,0.0054127198917456,0.0021953896816685,2,2.24719101123596e-4,0,2,0,3.13627097381214e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.24719101123596e-4,0,2,0,3.13627097381214e-4,1,1.12359550561798e-4,0,1,0,1.56813548690607e-4,158,0.017752808988764,19,135,0.0128552097428958,0.0211698290732319,110,0.0123595505617978,29,78,0.019621109607577802,0.0122314567978673,1591,0.17876404494382,314,1159,0.212449255751015,0.181746902932413,53,0.00595505617977528,14,33,0.0094722598105548,0.00517484710679003,41,0.00460674157303371,12,25,0.0081190798376184,0.00392033871726517,100,0.0112359550561798,26,67,0.0175913396481732,0.0105065077622707,603,0.067752808988764,191,365,0.129228687415426,0.0572369452720715,416,0.0467415730337079,150,221,0.10148849797023,0.0346557942606241,1119,0.125730337078652,301,682,0.203653585926928,0.106946840206994,1594,0.179101123595506,342,1208,0.231393775372124,0.189430766818253,15,0.00168539325842697,0,15,0,0.0023522032303591,64,0.00719101123595506,17,44,0.0115020297699594,0.0068997961423867,88,0.0098876404494382,31,56,0.0209742895805142,0.00878155872667398,11,0.00123595505617978,1,9,6.765899864682e-4,0.00141132193821546,1891,0.21247191011236,361,1472,0.24424898511502,0.230829543672573,1952,0.219325842696629,371,1516,0.251014884979702,0.23772933981496,241,0.0270786516853933,21,202,0.0142083897158322,0.0316763368355026,415,0.0466292134831461,111,282,0.0751014884979702,0.0442214207307511
21211,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,87.20566884792049,89.28852043151858,75.32729721069332,99.7205917358399,29949,16436,82,0.00273798791278507,18,55,0.00222965440356745,0.0027438263906211,3,1.00170289492137e-4,1,2,1.2386968908708e-4,9.97755051134946e-5,0,0,0,0,0,0,3,1.00170289492137e-4,1,2,1.2386968908708e-4,9.97755051134946e-5,7,2.33730675481652e-4,2,5,2.47739378174161e-4,2.49438762783737e-4,0,0,0,0,0,0,7,2.33730675481652e-4,2,5,2.47739378174161e-4,2.49438762783737e-4,5,1.66950482486894e-4,1,4,1.2386968908708e-4,1.99551010226989e-4,488,0.0162943670907209,134,346,0.0165985383376688,0.0172611623846346,438,0.0146248622658519,150,275,0.0185804533630621,0.0137191319531055,8371,0.279508497779559,2072,6085,0.256657995788431,0.303566974307807,129,0.00430732244816188,50,63,0.00619348445435402,0.00314292841107508,270,0.0090153260542923,78,181,0.00966183574879227,0.00902968321277126,678,0.0226384854252229,178,473,0.0220488046575003,0.0235969069593415,3704,0.123676917426291,1082,2507,0.134027003592221,0.125068595659766,2172,0.0725232895923069,778,1302,0.0963706181097485,0.064953853828885,5720,0.190991351965007,1711,3728,0.211941038027995,0.185981541531554,5943,0.198437343483923,1870,3938,0.23163631859284,0.196457969568471,26,8.68142508931851e-4,7,18,8.67087823609563e-4,8.97979546021452e-4,168,0.00560953621155965,57,109,0.00706057227796358,0.00543776502868546,446,0.014891983037831,129,310,0.0159791898922334,0.0154652032925917,12,4.00681157968547e-4,4,6,4.95478756348322e-4,2.99326515340484e-4,6545,0.218538181575345,1960,4434,0.242784590610678,0.221202294836618,6704,0.223847206918428,1998,4550,0.247491638795987,0.2269892741332,620,0.0207018598283749,122,474,0.0151121020686238,0.0236467947118982,2413,0.0805703028481752,806,1531,0.0998389694041868,0.0763781491643801
21212,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,85.20465507025244,87.49285659790034,74.01428680419914,96.04151077270514,71737,34010,222,0.00309463735589724,159,46,0.00299932090847355,0.00298856548856549,11,1.53337887003917e-4,6,4,1.13181921074474e-4,2.5987525987526e-4,1,1.3939807909447e-5,1,0,1.88636535124123e-5,0,0,0,0,0,0,0,10,1.3939807909447e-4,10,0,1.88636535124123e-4,0,0,0,0,0,0,0,18,2.50916542370046e-4,10,7,1.88636535124123e-4,4.54781704781705e-4,7,9.75786553661291e-5,3,3,5.65909605372369e-5,1.94906444906445e-4,1040,0.0144974002258249,780,243,0.0147136497396816,0.015787422037422,1366,0.0190417776043046,1174,167,0.022145929223572,0.0108497920997921,15678,0.21854830840431,11865,3398,0.223817248924772,0.220764033264033,515,0.00717900107336521,388,78,0.00731909756281597,0.00506756756756757,781,0.0108869899772781,632,117,0.0119218290198446,0.00760135135135135,1544,0.0215230634121862,1258,232,0.0237304761186147,0.0150727650727651,9032,0.125904345038125,7688,1160,0.145023768203426,0.0753638253638254,7265,0.101272704462133,6300,804,0.118841017128197,0.0522349272349272,15002,0.209124998257524,12164,2214,0.229457481324983,0.143840956340956,14742,0.205500648201068,11692,2754,0.220553836867124,0.178924116424116,65,9.06087514114056e-4,41,23,7.73409794008904e-4,0.00149428274428274,419,0.0058407795140583,313,99,0.00590432354938504,0.00643191268191268,935,0.013033720395333,758,167,0.0142986493624085,0.0108497920997921,31,4.32134045192857e-4,24,6,4.52727684297895e-4,3.8981288981289e-4,15940,0.222200538076585,12386,3225,0.233645212404739,0.209524428274428,16319,0.227483725274266,12644,3323,0.238512035010941,0.215891372141372,1243,0.0173271812314426,635,568,0.0119784199803818,0.0369022869022869,6176,0.0860922536487447,5118,893,0.0965441786765261,0.0580171517671518
