zcta,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,heat_mean_f,heat_median_f,heat_min_f,heat_max_f,total_count,population,urticaria_count,urticaria_prev,urticaria_percap,heat_exhaustion_count,heat_exhaustion_prev,heat_exhaustion_percap,heat_syncope_count,heat_syncope_prev,heat_syncope_percap,heat_cramps_count,heat_cramps_prev,heat_cramps_percap,carbon_monoxide_count,carbon_monoxide_prev,carbon_monoxide_percap,heatstroke_count,heatstroke_prev,heatstroke_percap,all_effects_heat_count,all_effects_heat_prev,all_effects_heat_percap,hypothermia_count,hypothermia_prev,hypothermia_percap,osteoarthritis_count,osteoarthritis_prev,osteoarthritis_percap,kidney_disease_count,kidney_disease_prev,kidney_disease_percap,mental_illness_count,mental_illness_prev,mental_illness_percap,influenza_count,influenza_prev,influenza_percap,acute_bronchitis_count,acute_bronchitis_prev,acute_bronchitis_percap,bronchitis_count,bronchitis_prev,bronchitis_percap,copd_count,copd_prev,copd_percap,asthma_count,asthma_prev,asthma_percap,respiratory_count,respiratory_prev,respiratory_percap,hypertension_count,hypertension_prev,hypertension_percap,heart_attack_count,heart_attack_prev,heart_attack_percap,cerebrovascular_disease_count,cerebrovascular_disease_prev,cerebrovascular_disease_percap,congestive_artery_disease_count,congestive_artery_disease_prev,congestive_artery_disease_percap,angina_pectoris_count,angina_pectoris_prev,angina_pectoris_percap,heart_disease_count,heart_disease_prev,heart_disease_percap,circulatory_count,circulatory_prev,circulatory_percap,thyroid_count,thyroid_prev,thyroid_percap,diabetes_count,diabetes_prev,diabetes_percap
21201,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,88.90387320698295,90.63347015380856,78.18559303283689,102.78414993286131,76422,16595,180,0.00235534270236319,1.76013298782575e-4,17,2.22449033000968e-4,1.66234782183543e-5,2,2.61704744707022e-5,1.95570331980639e-6,3,3.92557117060532e-5,2.93355497970958e-6,15,1.96278558530266e-4,1.46677748985479e-5,0,0,0,32,4.18727591531234e-4,3.12912531169022e-5,27,3.53301405354479e-4,2.64019948173862e-5,1433,0.0187511449582581,0.00140126142864128,1197,0.0156630289707152,0.00117048843690412,24163,0.316178587317788,0.0236278296582408,264,0.00345450263013268,2.58152838214443e-4,419,0.0054827144016121,4.09719845499438e-4,1182,0.015466750412185,0.00115582066200557,11402,0.149197874957473,0.0111494646262162,8727,0.114194865352909,0.00853371143597516,16518,0.216141948653529,0.0161521537182809,14792,0.193556829185313,0.014464381753288,41,5.36494726649394e-4,4.00919180560309e-5,319,0.00417419067807699,3.11934679509118e-4,747,0.00977467221480726,7.30455189947685e-4,34,4.44898066001937e-4,3.32469564367086e-5,15605,0.204195127057654,0.0152593751527893,16044,0.209939546203973,0.0156886520314868,822,0.0107560650074586,8.03794064440424e-4,6208,0.0812331527570595,0.00607050310467902
21202,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,89.44793348587736,91.06913642883296,78.98687744140616,101.57000274658202,82496,21788,178,0.00215768037238169,1.74057595462768e-4,24,2.90923196276183e-4,2.34684398376766e-5,0,0,0,0,0,0,7,8.48525989138867e-5,6.84496161932235e-6,0,0,0,33,4.00019394879752e-4,3.22691047768054e-5,38,4.60628394103957e-4,3.71583630763213e-5,1374,0.0166553529868115,0.00134356818070699,1052,0.0127521334367727,0.00102869994621816,22037,0.26712810318076,0.0215489170292867,345,0.00418202094647013,3.37358822666601e-4,392,0.00475174553917766,3.83317850682052e-4,1264,0.015321955003879,0.00123600449811764,10580,0.128248642358417,0.0103456705617758,8244,0.0999321179208689,0.00806140908424192,16400,0.198797517455392,0.0160367672224124,13544,0.164177657098526,0.0132440228817288,57,6.90942591155935e-4,5.5737544614482e-5,270,0.00327288595810706,2.64019948173862e-4,876,0.0106186966640807,8.56598054075197e-4,26,3.15166795965865e-4,2.5424143157483e-5,14482,0.175547905352987,0.014161247738718,14858,0.180105702094647,0.0145289199628416,637,0.00772158650116369,6.22891507358334e-4,5656,0.0685608999224205,0.00553072898841246
21205,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,88.23259914734768,90.15022277832037,75.55296325683597,100.58579254150393,74049,14766,231,0.00311955596969574,2.25883733437638e-4,10,1.35045712973842e-4,9.77851659903193e-6,6,8.1027427784305e-5,5.86710995941916e-6,3,4.05137138921525e-5,2.93355497970958e-6,6,8.1027427784305e-5,5.86710995941916e-6,0,0,0,18,2.43082283352915e-4,1.76013298782575e-5,6,8.1027427784305e-5,5.86710995941916e-6,930,0.0125592513065673,9.09402043709969e-4,1091,0.0147334872854461,0.00106683616095438,16859,0.2276735675026,0.0164856011343079,475,0.00641467136625748,4.64479538454017e-4,377,0.00509122337911383,0.00036865007578350403,1130,0.0152601655660441,0.00110497237569061,11456,0.154708368782833,0.011202268615851,9367,0.126497319342597,0.00915953649831321,17120,0.231198260611217,0.0167408204175427,11811,0.159502491593404,0.0115494059551166,50,6.75228564869208e-4,4.88925829951596e-5,199,0.00268740968817945,1.94592480320735e-4,1025,0.0138421855798188,0.00100229795140077,34,4.59155424111062e-4,3.32469564367086e-5,12761,0.172331834325919,0.0124783650320246,13066,0.176450728571622,0.0127766097882951,855,0.0115464084592635,8.3606316921723e-4,5058,0.0683061216221691,0.00494597369579035
21206,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,86.29294483091533,88.07957286834721,73.60731201171885,97.50596771240241,147033,51287,524,0.00356382580781185,5.12394269789273e-4,29,1.97234634401801e-4,2.83576981371926e-5,5,3.40059714485864e-5,4.88925829951596e-6,2,1.36023885794345e-5,1.95570331980639e-6,19,1.29222691504628e-4,1.85791815381607e-5,3,2.04035828691518e-5,2.93355497970958e-6,42,2.85650160168126e-4,4.10697697159341e-5,9,6.12107486074555e-5,8.80066493912873e-6,1713,0.0116504458182857,0.00167505989341417,2411,0.0163976794325083,0.0023576003520266,30402,0.206769908795985,0.0297286461643769,1124,0.00764454238164222,0.00109910526573119,1379,0.00937884692552012,0.0013484574390065,2909,0.0197846741887876,0.00284457047865839,20088,0.136622390891841,0.0196430841441353,16544,0.112518958329083,0.0161775778614384,32923,0.223915719600362,0.0321938101989928,27043,0.183924697176824,0.026444042438762,93,6.32511068943707e-4,9.09402043709969e-5,657,0.00446838464834425,6.42448540556398e-4,1635,0.0111199526636877,0.00159878746394172,52,3.53662103065298e-4,5.0848286314966e-5,29088,0.197833139499296,0.0284437490832641,29773,0.202491957587752,0.0291135774702978,2082,0.0141600865111914,0.00203588715591845,12063,0.0820428067168595,0.0117958245734122
21207,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,85.09105568476923,87.22650680541986,73.45536079406739,96.61694030761713,122574,48243,385,0.00314095974676522,3.76472889062729e-4,22,1.7948341410087e-4,2.15127365178702e-5,5,4.07916850229249e-5,4.88925829951596e-6,1,8.15833700458498e-6,9.77851659903193e-7,33,2.69225121151305e-4,3.22691047768054e-5,1,8.15833700458498e-6,9.77851659903193e-7,33,2.69225121151305e-4,3.22691047768054e-5,4,3.26333480183399e-5,3.91140663961277e-6,1455,0.0118703803416712,0.00142277416515915,2141,0.0174669995268165,0.00209358040385274,18868,0.15393150260251,0.0184501051190534,903,0.00736697831514024,8.83000048892583e-4,1068,0.00871310392089676,0.00104434557277661,2598,0.0211953595379118,0.00254045861242849,12371,0.100926787083721,0.0120970028846624,9715,0.0792582439995431,0.00949982887595952,22223,0.181302723252892,0.0217307974380287,21247,0.173340186336417,0.0207764142179631,55,4.48708535252174e-4,5.37818412946756e-5,476,0.00388336841418245,4.6545739011392e-4,1416,0.0115522051984923,0.00138463795042292,48,3.91600176220079e-4,4.69368796753533e-5,22595,0.184337624618598,0.0220945582555126,23335,0.190374794001991,0.022818168483841,1525,0.0124414639319921,0.00149122378135237,9252,0.0754809339664203,0.00904708355742434
21208,53.202706742397474,42.3404081854499,4.456885072152623,9.496107925427296,43.87742416708105,24.89333369568171,21.096828545805366,13.821778949370872,35.48837209302326,6.452013923421183,251400,72612,45.3,84.95211494681763,86.70249328613289,73.7292671203613,95.48828048706062,52708,36797,161,0.00305456477195113,1.57434117244414e-4,13,2.46641875996054e-4,1.27120715787415e-5,2,3.79449039993929e-5,1.95570331980639e-6,0,0,0,3,5.69173559990893e-5,2.93355497970958e-6,0,0,0,20,3.79449039993929e-4,1.95570331980639e-5,5,9.48622599984822e-5,4.88925829951596e-6,562,0.0106625180238294,5.49552632865594e-4,821,0.0155763830917508,8.02816212780521e-4,7221,0.137000075889808,0.00706106683616095,327,0.00620399180390074,3.19757492788344e-4,362,0.00686802762389011,3.53982300884956e-4,959,0.0181945814677089,9.37759741847162e-4,3818,0.072436821734841,0.00373343763751039,2794,0.0530090308871519,0.00273211753776952,7288,0.138271230173788,0.00712658289737447,9618,0.18247704333308,0.00940497726494891,73,0.00138498899597784,7.13831711729331e-5,264,0.00500872732791986,2.58152838214443e-4,529,0.0100364271078394,5.17283528088789e-4,34,6.45063367989679e-4,3.32469564367086e-5,10573,0.20059573499279,0.0103388256001565,10964,0.208013963724672,0.0107211655991786,986,0.0187068376717007,9.64161736664548e-4,3701,0.0702170448508765,0.00361902899330172
21209,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,84.62888395266849,86.47423686981193,72.55812797546378,97.06442031860361,27921,27462,85,0.00304430357078901,8.31173910917714e-5,7,2.50707352888507e-4,6.84496161932235e-6,0,0,0,0,0,0,5,1.79076680634648e-4,4.88925829951596e-6,0,0,0,11,3.93968697396225e-4,1.07563682589351e-5,0,0,0,261,0.00934780272912861,2.55219283234733e-4,353,0.0126428136528061,3.45181635945827e-4,3822,0.136886214677125,0.00373734904415,186,0.0066616525196089,1.81880408741994e-4,176,0.0063034991583396,1.72101892142962e-4,445,0.0159378245764836,4.35143988656921e-4,1795,0.0642885283478385,0.00175524372952623,1330,0.0476343970488163,0.00130054270767125,3751,0.134343325812113,0.00366792157629688,4569,0.163640270763941,0.00446780423409769,12,4.29784033523155e-4,1.17342199188383e-5,113,0.00404713298234304,1.10497237569061e-4,287,0.0102790014684288,2.80643426392216e-4,16,5.73045378030873e-4,1.56456265584511e-5,5120,0.183374520969879,0.00500660049870435,5319,0.190501772859138,0.00520119297902508,463,0.0165825006267684,4.52745318535178e-4,1554,0.0556570323412485,0.00151958147948956
21210,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,84.92816162105223,86.69803524017343,74.11913757324211,97.35634765625001,8900,15258,30,0.00337078651685393,2.93355497970958e-5,2,2.24719101123596e-4,1.95570331980639e-6,0,0,0,0,0,0,0,0,0,0,0,0,2,2.24719101123596e-4,1.95570331980639e-6,1,1.12359550561798e-4,9.77851659903193e-7,158,0.017752808988764,1.54500562264704e-4,110,0.0123595505617978,1.07563682589351e-4,1591,0.17876404494382,0.00155576199090598,53,0.00595505617977528,5.18261379748692e-5,41,0.00460674157303371,4.00919180560309e-5,100,0.0112359550561798,9.77851659903193e-5,603,0.067752808988764,5.89644550921625e-4,416,0.0467415730337079,4.06786290519728e-4,1119,0.125730337078652,0.00109421600743167,1594,0.179101123595506,0.00155869554588569,15,0.00168539325842697,1.46677748985479e-5,64,0.00719101123595506,6.25825062338043e-5,88,0.0098876404494382,8.6050946071481e-5,11,0.00123595505617978,1.07563682589351e-5,1891,0.21247191011236,0.00184911748887694,1952,0.219325842696629,0.00190876644013103,241,0.0270786516853933,2.35662250036669e-4,415,0.0466292134831461,4.05808438859825e-4
21211,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,87.20566884792049,89.28852043151858,75.32729721069332,99.7205917358399,29949,16436,82,0.00273798791278507,8.01838361120618e-5,3,1.00170289492137e-4,2.93355497970958e-6,0,0,0,3,1.00170289492137e-4,2.93355497970958e-6,7,2.33730675481652e-4,6.84496161932235e-6,0,0,0,7,2.33730675481652e-4,6.84496161932235e-6,5,1.66950482486894e-4,4.88925829951596e-6,488,0.0162943670907209,4.77191610032758e-4,438,0.0146248622658519,4.28299027037598e-4,8371,0.279508497779559,0.00818559624504963,129,0.00430732244816188,1.26142864127512e-4,270,0.0090153260542923,2.64019948173862e-4,678,0.0226384854252229,6.62983425414365e-4,3704,0.123676917426291,0.00362196254828143,2172,0.0725232895923069,0.00212389380530973,5720,0.190991351965007,0.00559331149464626,5943,0.198437343483923,0.00581137241480467,26,8.68142508931851e-4,2.5424143157483e-5,168,0.00560953621155965,1.64279078863736e-4,446,0.014891983037831,4.36121840316824e-4,12,4.00681157968547e-4,1.17342199188383e-5,6545,0.218538181575345,0.0064000391140664,6704,0.223847206918428,0.006555517527991,620,0.0207018598283749,6.06268029139979e-4,2413,0.0805703028481752,0.0023595560553464
21212,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,85.20465507025244,87.49285659790034,74.01428680419914,96.04151077270514,71737,34010,222,0.00309463735589724,2.17083068498509e-4,11,1.53337887003917e-4,1.07563682589351e-5,1,1.3939807909447e-5,9.77851659903193e-7,0,0,0,10,1.3939807909447e-4,9.77851659903193e-6,0,0,0,18,2.50916542370046e-4,1.76013298782575e-5,7,9.75786553661291e-5,6.84496161932235e-6,1040,0.0144974002258249,0.00101696572629932,1366,0.0190417776043046,0.00133574536742776,15678,0.21854830840431,0.0153307583239623,515,0.00717900107336521,5.03593604850144e-4,781,0.0108869899772781,7.63702146384394e-4,1544,0.0215230634121862,0.00150980296289053,9032,0.125904345038125,0.00883195619224564,7265,0.101272704462133,0.00710409230919669,15002,0.209124998257524,0.0146697306018677,14742,0.205500648201068,0.0144154891702929,65,9.06087514114056e-4,6.35603578937075e-5,419,0.0058407795140583,4.09719845499438e-4,935,0.013033720395333,9.14291302009485e-4,31,4.32134045192857e-4,3.0313401456999e-5,15940,0.222200538076585,0.0155869554588569,16319,0.227483725274266,0.0159575612379602,1243,0.0173271812314426,0.00121546961325967,6176,0.0860922536487447,0.00603921185156212
