zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,all_effects_heat_count,all_effects_heat_prev,medicaid_all_effects_heat_count,not_medicaid_all_effects_heat_count,commercial_all_effects_heat_count,medicaid_all_effects_heat_prev,not_medicaid_all_effects_heat_prev,commercial_all_effects_heat_prev,kidney_disease_count,kidney_disease_prev,medicaid_kidney_disease_count,not_medicaid_kidney_disease_count,commercial_kidney_disease_count,medicaid_kidney_disease_prev,not_medicaid_kidney_disease_prev,commercial_kidney_disease_prev,copd_count,copd_prev,medicaid_copd_count,not_medicaid_copd_count,commercial_copd_count,medicaid_copd_prev,not_medicaid_copd_prev,commercial_copd_prev,asthma_count,asthma_prev,medicaid_asthma_count,not_medicaid_asthma_count,commercial_asthma_count,medicaid_asthma_prev,not_medicaid_asthma_prev,commercial_asthma_prev,respiratory_count,respiratory_prev,medicaid_respiratory_count,not_medicaid_respiratory_count,commercial_respiratory_count,medicaid_respiratory_prev,not_medicaid_respiratory_prev,commercial_respiratory_prev,hypertension_count,hypertension_prev,medicaid_hypertension_count,not_medicaid_hypertension_count,commercial_hypertension_count,medicaid_hypertension_prev,not_medicaid_hypertension_prev,commercial_hypertension_prev,heart_attack_count,heart_attack_prev,medicaid_heart_attack_count,not_medicaid_heart_attack_count,commercial_heart_attack_count,medicaid_heart_attack_prev,not_medicaid_heart_attack_prev,commercial_heart_attack_prev,congestive_artery_disease_count,congestive_artery_disease_prev,medicaid_congestive_artery_disease_count,not_medicaid_congestive_artery_disease_count,commercial_congestive_artery_disease_count,medicaid_congestive_artery_disease_prev,not_medicaid_congestive_artery_disease_prev,commercial_congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,medicaid_angina_pectoris_count,not_medicaid_angina_pectoris_count,commercial_angina_pectoris_count,medicaid_angina_pectoris_prev,not_medicaid_angina_pectoris_prev,commercial_angina_pectoris_prev,heart_disease_count,heart_disease_prev,medicaid_heart_disease_count,not_medicaid_heart_disease_count,commercial_heart_disease_count,medicaid_heart_disease_prev,not_medicaid_heart_disease_prev,commercial_heart_disease_prev,circulatory_count,circulatory_prev,medicaid_circulatory_count,not_medicaid_circulatory_count,commercial_circulatory_count,medicaid_circulatory_prev,not_medicaid_circulatory_prev,commercial_circulatory_prev,diabetes_count,diabetes_prev,medicaid_diabetes_count,not_medicaid_diabetes_count,commercial_diabetes_count,medicaid_diabetes_prev,not_medicaid_diabetes_prev,commercial_diabetes_prev
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,4,2.78570931123337e-4,1,3,0,1.95388823759281e-4,3.24640190455578e-4,0,3237,0.225433526011561,632,2605,102,0.123485736615866,0.281895898712261,0.105046343975283,4179,0.291036980291107,1540,2639,146,0.300898788589293,0.28557515420409,0.150360453141092,2238,0.155860435963507,1030,1208,103,0.201250488472059,0.13072178335678,0.106076210092688,5798,0.403788564663277,1971,3827,247,0.385111371629543,0.4141326696245,0.25437693099897,7496,0.522041924925134,2019,5477,301,0.394490035169988,0.592684774375068,0.309989701338826,316,0.0220071035587436,49,267,19,0.00957405236420477,0.0288929769505465,0.01956745623069,1266,0.0881676997005362,199,1067,39,0.0388823759280969,0.115463694405367,0.0401647785787848,47,0.00327320844069921,17,30,1,0.00332161000390778,0.00324640190455578,0.00102986611740474,8335,0.580472177728254,2273,6062,350,0.444118796404846,0.655989611513905,0.360453141091658,8752,0.609513197297862,2417,6335,388,0.472254787026182,0.685531868845363,0.399588053553038,3721,0.259140608677485,928,2793,129,0.181320828448613,0.302240017314144,0.132852729145211
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,5,3.16696224980998e-4,3,2,0,4.79386385426654e-4,2.09863588667366e-4,0,3452,0.218647073726881,861,2591,115,0.13758389261745,0.271878279118573,0.119791666666667,4220,0.267291613883962,1713,2507,155,0.273729626078619,0.263064008394544,0.161458333333333,2399,0.151950848745883,1169,1230,118,0.186800894854586,0.12906610703043,0.122916666666667,5902,0.37382822396757,2258,3644,244,0.360818152764461,0.382371458551941,0.254166666666667,8028,0.508487458829491,2418,5610,340,0.386385426653883,0.588667366211962,0.354166666666667,417,0.0264124651634153,90,327,33,0.0143815915627996,0.0343126967471144,0.034375,1419,0.0898783886496073,261,1158,47,0.0417066155321189,0.121511017838405,0.0489583333333333,46,0.00291360526982518,18,28,1,0.00287631831255992,0.00293809024134313,0.00104166666666667,8970,0.568153027615911,2715,6255,393,0.433844678811122,0.656348373557188,0.409375,9465,0.59950595388903,2929,6536,412,0.468040907638223,0.685834207764953,0.429166666666667,3907,0.247466430200152,1080,2827,162,0.172579098753595,0.296642182581322,0.16875
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,3,1.78890876565295e-4,2,1,1,2.76395798783858e-4,1.04887770086008e-4,0.00127877237851662,3801,0.226654740608229,836,2965,132,0.115533443891653,0.310992238305014,0.168797953964194,5238,0.312343470483005,2225,3013,185,0.307490326147043,0.316026851269142,0.236572890025575,2822,0.168276684555754,1525,1297,114,0.210751796572692,0.136039437801552,0.145780051150895,6830,0.407274895646989,2698,4132,274,0.372857932559425,0.433396265995385,0.350383631713555,8552,0.509958258795468,2461,6091,400,0.340105030403538,0.638871407593875,0.51150895140665,602,0.0358974358974359,143,459,33,0.0197622996130459,0.0481434864694777,0.0421994884910486,1654,0.0986285032796661,316,1338,57,0.0436705362078496,0.140339836375079,0.0728900255754476,61,0.00363744782349434,24,37,4,0.0033167495854063,0.0038808474931823,0.0051150895140665,9554,0.569707811568277,2811,6743,455,0.388474295190713,0.707258233689952,0.581841432225064,9978,0.594991055456172,3013,6965,477,0.416390270867883,0.730543318649046,0.60997442455243,4159,0.248002385211688,1037,3122,204,0.143311221669431,0.327459618208517,0.260869565217391
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,5,1.32250641415611e-4,3,2,0,2.75204109714705e-4,7.43328625585371e-5,0,8850,0.234083635305631,894,7956,626,0.0820108246949821,0.295696127257861,0.151978635591163,9620,0.254450234083635,2372,7248,787,0.217594716081093,0.269382293912139,0.191065792668123,4995,0.132118390774195,1782,3213,499,0.163471241170535,0.11941574370029,0.121145909201262,13892,0.367445182109133,3164,10728,1200,0.290248601045776,0.398721474763993,0.291332847778587,19631,0.519242468325971,2770,16861,1814,0.254105127969911,0.626663197799747,0.440398154891964,1096,0.0289893405983019,107,989,120,0.00981561324649115,0.0367576005351966,0.0291332847778587,3586,0.0948501600232761,318,3268,212,0.0291716356297587,0.12145989742065,0.0514688031075504,114,0.00301531462427593,15,99,9,0.00137602054857353,0.00367947669664759,0.0021849963583394,22093,0.584362684159018,3341,18752,2063,0.306485643518943,0.696944919348844,0.500849720806021,23164,0.612690771550242,3666,19498,2194,0.33629942207137,0.724671077083178,0.532653556688517,9926,0.262543973338271,1507,8419,955,0.13824419778002,0.312904184940162,0.231852391357126
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,9,2.57216347527865e-4,1,8,0,1.21521448535667e-4,2.98942490938306e-4,0,8826,0.252243498142326,819,8007,508,0.0995260663507109,0.299204065617877,0.142576480493966,7807,0.223120891683338,1608,6199,586,0.195406489245352,0.23164306266582,0.164468144821779,4281,0.122349242640755,1291,2990,421,0.156884190059546,0.111729755988192,0.118158854897558,12129,0.346641897685053,2264,9865,934,0.275124559484749,0.368633459138298,0.262138647207409,19930,0.569591311803372,2234,17696,1486,0.271478916028679,0.661260789955532,0.417064271681168,822,0.023492426407545,79,743,65,0.00960019443431766,0.0277642838458951,0.0182430536065114,3554,0.101571877679337,277,3277,179,0.0336614412443796,0.122454317850603,0.0502385630087005,90,0.00257216347527865,9,81,5,0.001093693036821,0.00302679272075035,0.00140331181588549,21783,0.622549299799943,2542,19241,1655,0.308907522177664,0.718994058517993,0.464496211058097,22554,0.64458416690483,2790,19764,1754,0.33904484141451,0.738537423863084,0.49228178501263,10179,0.290911689054015,1067,9112,723,0.129663385587556,0.34049549717873,0.202918888577042
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,2,1.33770316366798e-4,0,2,0,0,1.5255530129672e-4,0,2519,0.168483713463982,117,2402,120,0.0635524171645845,0.183218916857361,0.042674253200569,2211,0.147883084743495,220,1991,238,0.119500271591526,0.151868802440885,0.0846372688477952,1207,0.0807303859273627,186,1021,183,0.101032047800109,0.0778794813119756,0.0650782361308677,4000,0.267540632733596,336,3664,437,0.182509505703422,0.279481311975591,0.155405405405405,6498,0.434619757875727,334,6164,529,0.181423139598045,0.470175438596491,0.188122332859175,350,0.0234098053641897,21,329,30,0.0114068441064639,0.0250953470633105,0.0106685633001422,1070,0.071567119256237,44,1026,39,0.0239000543183053,0.0782608695652174,0.0138691322901849,39,0.00260852116915257,3,36,5,0.00162954915806627,0.00274599542334096,0.00177809388335704,7426,0.496689184669922,420,7006,663,0.228136882129278,0.53440122044241,0.235775248933144,7917,0.529529797337971,479,7438,783,0.260184682237914,0.567353165522502,0.278449502133713,2576,0.172296167480436,151,2425,190,0.0820206409560022,0.184973302822273,0.0675675675675676
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,1,2.15470803706098e-4,0,1,0,0,2.24719101123596e-4,0,774,0.16677440206852,17,757,63,0.0890052356020942,0.170112359550562,0.0683297180043384,660,0.142210730446025,37,623,58,0.193717277486911,0.14,0.0629067245119306,272,0.0586080586080586,28,244,43,0.146596858638743,0.0548314606741573,0.0466377440347072,1216,0.262012497306615,55,1161,126,0.287958115183246,0.260898876404494,0.136659436008677,2156,0.464555052790347,55,2101,206,0.287958115183246,0.472134831460674,0.223427331887202,96,0.0206851971557854,2,94,7,0.0104712041884817,0.021123595505618,0.00759219088937093,306,0.0659340659340659,4,302,14,0.0209424083769634,0.0678651685393258,0.0151843817787419,13,0.00280112044817927,0,13,3,0,0.00292134831460674,0.00325379609544469,2619,0.56431803490627,60,2559,273,0.31413612565445,0.575056179775281,0.296095444685466,2776,0.598146951088128,66,2710,318,0.345549738219895,0.608988764044944,0.344902386117137,651,0.14027149321267,28,623,62,0.146596858638743,0.14,0.0672451193058568
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,1,9.05223137503395e-5,0,1,0,0,1.10741971207087e-4,0,2190,0.198243867113243,180,2010,75,0.0892414476945959,0.222591362126246,0.0497677504976775,2906,0.263057843758486,514,2392,183,0.254833911750124,0.264894795127353,0.121433311214333,1019,0.0922422377115959,289,730,99,0.143282102131879,0.0808416389811739,0.0656934306569343,4236,0.383452521046438,680,3556,270,0.337134357957362,0.393798449612403,0.179163901791639,5674,0.513623608219426,614,5060,322,0.304412493802677,0.560354374307863,0.213669542136695,279,0.0252557255363447,21,258,20,0.0104115022310362,0.0285714285714286,0.013271400132714,1145,0.103648049244139,72,1073,32,0.0356965790778384,0.118826135105205,0.0212342402123424,33,0.0029872363537612,6,27,2,0.0029747149231532,0.00299003322259136,0.0013271400132714,6476,0.586222503847198,757,5719,388,0.375309866137828,0.633333333333333,0.257465162574652,6835,0.61872001448357,837,5998,430,0.414972731779871,0.664230343300111,0.285335102853351,2604,0.235720105005884,268,2336,135,0.132870599900843,0.258693244739756,0.0895819508958195
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,9,4.26924718941227e-4,2,7,1,4.37924239106635e-4,4.23882766137822e-4,3.40136054421769e-4,4646,0.220388027133438,545,4101,238,0.119334355156558,0.248334746275887,0.080952380952381,4691,0.222522650728144,1174,3517,358,0.257061528355594,0.212970812643817,0.121768707482993,2583,0.122527394336132,858,1725,265,0.187869498576746,0.104456824512535,0.0901360544217687,7266,0.344670556425217,1564,5702,621,0.342456754981388,0.345282790359695,0.211224489795918,10887,0.516436601679237,1529,9358,813,0.334793080797022,0.566670703645392,0.276530612244898,513,0.0243347089796499,70,443,40,0.0153273483687322,0.0268257236284365,0.0136054421768707,2026,0.0961054978416584,210,1816,89,0.0459820451061966,0.109967300472327,0.0302721088435374,49,0.00232436791423557,6,43,8,0.0013137727173199,0.00260385127770377,0.00272108843537415,12340,0.585361225748304,1795,10545,977,0.393037004598205,0.638549109846191,0.332312925170068,12880,0.610976708884778,1923,10957,1058,0.421064155901029,0.663497638367446,0.359863945578231,5304,0.25160096769603,768,4536,332,0.168162907816948,0.274676032457309,0.112925170068027
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6,6,1.91338733337585e-4,1,5,0,7.97766254487435e-5,2.65632470913244e-4,0,8076,0.25754193507239,1561,6515,328,0.124531312325489,0.346119109599958,0.175871313672922,9373,0.298902991262198,3661,5712,399,0.29206222576785,0.30345853477129,0.213941018766756,5605,0.178742266726194,2807,2798,287,0.223932987634623,0.148647930723052,0.153887399463807,12782,0.407615281586836,4733,8049,600,0.377582768248903,0.427615151676141,0.32171581769437,17568,0.56023981121245,4388,13180,979,0.350059832469087,0.700207193327312,0.524932975871314,987,0.0314752216340328,191,796,67,0.01523733546071,0.0422886893693885,0.0359249329758713,3258,0.103896932202309,558,2700,111,0.0445153570003989,0.143441534293152,0.0595174262734584,99,0.00315708910007016,33,66,2,0.00263262863980854,0.00350634861605483,0.00107238605898123,19189,0.611933159002487,4955,14234,1070,0.395293179098524,0.756202518195824,0.57372654155496,19919,0.635212704891894,5286,14633,1104,0.421699242122058,0.777399989374701,0.591957104557641,8556,0.272849033739397,1919,6637,465,0.153091344236139,0.352600541890241,0.249329758713137
