zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,all_effects_heat_count,all_effects_heat_prev,q1_all_effects_heat_count,q2_all_effects_heat_count,q3_all_effects_heat_count,q4_all_effects_heat_count,q1_all_effects_heat_prev,q2_all_effects_heat_prev,q3_all_effects_heat_prev,q4_all_effects_heat_prev,kidney_disease_count,kidney_disease_prev,q1_kidney_disease_count,q2_kidney_disease_count,q3_kidney_disease_count,q4_kidney_disease_count,q1_kidney_disease_prev,q2_kidney_disease_prev,q3_kidney_disease_prev,q4_kidney_disease_prev,copd_count,copd_prev,q1_copd_count,q2_copd_count,q3_copd_count,q4_copd_count,q1_copd_prev,q2_copd_prev,q3_copd_prev,q4_copd_prev,asthma_count,asthma_prev,q1_asthma_count,q2_asthma_count,q3_asthma_count,q4_asthma_count,q1_asthma_prev,q2_asthma_prev,q3_asthma_prev,q4_asthma_prev,respiratory_count,respiratory_prev,q1_respiratory_count,q2_respiratory_count,q3_respiratory_count,q4_respiratory_count,q1_respiratory_prev,q2_respiratory_prev,q3_respiratory_prev,q4_respiratory_prev,hypertension_count,hypertension_prev,q1_hypertension_count,q2_hypertension_count,q3_hypertension_count,q4_hypertension_count,q1_hypertension_prev,q2_hypertension_prev,q3_hypertension_prev,q4_hypertension_prev,heart_attack_count,heart_attack_prev,q1_heart_attack_count,q2_heart_attack_count,q3_heart_attack_count,q4_heart_attack_count,q1_heart_attack_prev,q2_heart_attack_prev,q3_heart_attack_prev,q4_heart_attack_prev,congestive_artery_disease_count,congestive_artery_disease_prev,q1_congestive_artery_disease_count,q2_congestive_artery_disease_count,q3_congestive_artery_disease_count,q4_congestive_artery_disease_count,q1_congestive_artery_disease_prev,q2_congestive_artery_disease_prev,q3_congestive_artery_disease_prev,q4_congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,q1_angina_pectoris_count,q2_angina_pectoris_count,q3_angina_pectoris_count,q4_angina_pectoris_count,q1_angina_pectoris_prev,q2_angina_pectoris_prev,q3_angina_pectoris_prev,q4_angina_pectoris_prev,heart_disease_count,heart_disease_prev,q1_heart_disease_count,q2_heart_disease_count,q3_heart_disease_count,q4_heart_disease_count,q1_heart_disease_prev,q2_heart_disease_prev,q3_heart_disease_prev,q4_heart_disease_prev,circulatory_count,circulatory_prev,q1_circulatory_count,q2_circulatory_count,q3_circulatory_count,q4_circulatory_count,q1_circulatory_prev,q2_circulatory_prev,q3_circulatory_prev,q4_circulatory_prev,diabetes_count,diabetes_prev,q1_diabetes_count,q2_diabetes_count,q3_diabetes_count,q4_diabetes_count,q1_diabetes_prev,q2_diabetes_prev,q3_diabetes_prev,q4_diabetes_prev
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,4,2.78570931123337e-4,0,1,3,0,0,2.86861732644865e-4,7.6219512195122e-4,0,3237,0.225433526011561,803,816,872,746,0.229822552947911,0.23407917383821,0.221544715447154,0.216671507406332,4179,0.291036980291107,1029,1047,1058,1045,0.294504865483686,0.300344234079174,0.26880081300813,0.303514376996805,2238,0.155860435963507,560,551,566,561,0.160274756725816,0.158060814687321,0.14380081300813,0.162939297124601,5798,0.403788564663277,1472,1437,1468,1421,0.421293646250716,0.412220309810671,0.372967479674797,0.412721463839675,7496,0.522041924925134,1856,1889,1953,1798,0.531196336576989,0.54188181296615,0.496189024390244,0.522218995062446,316,0.0220071035587436,86,71,81,78,0.0246136233543217,0.0203671830177854,0.0205792682926829,0.0226546616322974,1266,0.0881676997005362,317,324,342,283,0.0907269605037207,0.0929432013769363,0.086890243902439,0.0821957595120534,47,0.00327320844069921,10,8,14,15,0.00286204922724671,0.00229489386115892,0.00355691056910569,0.00435666569851873,8335,0.580472177728254,2069,2090,2187,1989,0.592157985117344,0.599541021227768,0.555640243902439,0.577693871623584,8752,0.609513197297862,2188,2196,2284,2084,0.62621637092158,0.629948364888124,0.580284552845528,0.605286087714203,3721,0.259140608677485,972,946,942,861,0.27819118488838,0.271371199082042,0.239329268292683,0.250072611094975
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,5,3.16696224980998e-4,0,2,3,0,0,5.27148128624143e-4,7.05218617771509e-4,0,3452,0.218647073726881,901,826,917,808,0.233419689119171,0.217712177121771,0.215561824165491,0.208247422680412,4220,0.267291613883962,1101,1091,1049,979,0.285233160621762,0.28755930416447,0.246591443347438,0.252319587628866,2399,0.151950848745883,617,628,604,550,0.159844559585492,0.165524512387981,0.141984015044664,0.141752577319588,5902,0.37382822396757,1554,1504,1470,1374,0.40259067357513,0.396415392725356,0.34555712270804,0.354123711340206,8028,0.508487458829491,2081,1939,2092,1916,0.539119170984456,0.511070110701107,0.491772449459332,0.493814432989691,417,0.0264124651634153,115,97,101,104,0.0297927461139896,0.025566684238271,0.0237423601316408,0.0268041237113402,1419,0.0898783886496073,358,327,410,324,0.0927461139896373,0.0861887190300474,0.0963798777621063,0.0835051546391753,46,0.00291360526982518,14,12,15,5,0.00362694300518135,0.00316288877174486,0.00352609308885755,0.00128865979381443,8970,0.568153027615911,2285,2152,2395,2138,0.591968911917098,0.567211386399578,0.562999529854255,0.551030927835052,9465,0.59950595388903,2408,2283,2515,2259,0.623834196891192,0.60173958882446,0.591208274565115,0.582216494845361,3907,0.247466430200152,963,974,1038,932,0.249481865284974,0.256721138639958,0.244005641748942,0.24020618556701
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,3,1.78890876565295e-4,0,1,2,0,0,2.43783520234032e-4,4.44839857651246e-4,0,3801,0.226654740608229,955,943,1024,879,0.233325189347667,0.229887859580692,0.227758007117438,0.215493993625889,5238,0.312343470483005,1305,1290,1387,1256,0.318837038846812,0.314480741101901,0.308496441281139,0.307918607501839,2822,0.168276684555754,720,679,728,695,0.175910090398241,0.165529010238908,0.161921708185053,0.170384898259377,6830,0.407274895646989,1740,1644,1769,1677,0.425116051795749,0.400780107264749,0.393460854092527,0.411130178965433,8552,0.509958258795468,2140,2101,2281,2030,0.522843879794772,0.512189176011702,0.507339857651246,0.497670997793577,602,0.0358974358974359,164,147,171,120,0.0400684094795993,0.0358361774744027,0.0380338078291815,0.0294189752390292,1654,0.0986285032796661,403,404,445,402,0.0984607867090154,0.098488542174549,0.0989768683274021,0.0985535670507477,61,0.00363744782349434,14,12,18,17,0.0034204739799658,0.00292540224280839,0.00400355871886121,0.00416768815886247,9554,0.569707811568277,2362,2355,2559,2278,0.577082824334229,0.574110190151146,0.569172597864769,0.558470213287571,9978,0.594991055456172,2476,2455,2675,2372,0.604935255313951,0.598488542174549,0.594973309608541,0.58151507722481,4159,0.248002385211688,1055,1034,1088,982,0.257757146347422,0.252072159921989,0.241992882562278,0.240745280706055
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,5,1.32250641415611e-4,0,0,5,0,0,0,4.99101617089239e-4,0,8850,0.234083635305631,2270,2127,2290,2163,0.244138524413852,0.230020547204499,0.228588540626872,0.233989614885331,9620,0.254450234083635,2404,2290,2468,2458,0.258550225855023,0.2476478858008,0.246356558195249,0.265902206836867,4995,0.132118390774195,1244,1210,1272,1269,0.133792213379221,0.130853249702606,0.126971451387502,0.137278234530506,13892,0.367445182109133,3573,3297,3501,3521,0.384276188427619,0.356548069644209,0.349470952285885,0.380895716140199,19631,0.519242468325971,4961,4828,5098,4744,0.53355560335556,0.522115280631556,0.508884008784188,0.513197749891822,1096,0.0289893405983019,285,261,276,274,0.0306517530651753,0.0282253703903969,0.027550409263326,0.029640848117698,3586,0.0948501600232761,830,827,1027,902,0.0892665089266509,0.0894344111603763,0.10251547215013,0.0975768065772393,114,0.00301531462427593,28,27,30,29,0.00301140030114003,0.00291986590245485,0.00299460970253544,0.0031371700562527,22093,0.584362684159018,5539,5429,5764,5361,0.595719509571951,0.58710933275657,0.575364344180475,0.579943747295543,23164,0.612690771550242,5820,5690,6032,5622,0.625941062594106,0.615334703146967,0.602116190856458,0.608178277801817,9926,0.262543973338271,2525,2476,2474,2451,0.271563777156378,0.267762517573267,0.246955480135756,0.265144958892254
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,9,2.57216347527865e-4,0,4,5,0,0,4.70588235294118e-4,5.51937299922729e-4,0,8826,0.252243498142326,2229,2230,2162,2205,0.257152745731426,0.262352941176471,0.238657688486588,0.251626155426224,7807,0.223120891683338,2072,1893,1878,1964,0.239040147669589,0.222705882352941,0.207307649850977,0.224124158393244,4281,0.122349242640755,1152,1008,996,1125,0.132902630364559,0.118588235294118,0.109945910144608,0.128380691543992,12129,0.346641897685053,3237,2998,2894,3000,0.373442547300415,0.352705882352941,0.319461309195275,0.342348510783978,19930,0.569591311803372,5039,4910,5031,4950,0.581333640978311,0.577647058823529,0.55535931118225,0.564875042793564,822,0.023492426407545,222,224,162,214,0.0256114443931703,0.0263529411764706,0.0178827685174964,0.0244208604359238,3554,0.101571877679337,920,857,952,825,0.10613751730503,0.100823529411765,0.105088861905288,0.094145840465594,90,0.00257216347527865,18,26,21,25,0.00207660359944624,0.00305882352941176,0.00231813665967546,0.00285290425653315,21783,0.622549299799943,5481,5349,5522,5431,0.63232579603138,0.629294117647059,0.609559554034662,0.619764920689262,22554,0.64458416690483,5701,5539,5697,5617,0.657706506691278,0.651647058823529,0.628877359531957,0.640990528357868,10179,0.290911689054015,2598,2522,2542,2517,0.299723119520074,0.296705882352941,0.280604923280715,0.287230400547758
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,2,1.33770316366798e-4,0,2,0,0,0,5.44959128065395e-4,0,0,2519,0.168483713463982,652,608,623,636,0.179713340683572,0.16566757493188,0.158564520234156,0.17078410311493,2211,0.147883084743495,527,561,588,535,0.145259095920617,0.152861035422343,0.149656401119878,0.143662728249194,1207,0.0807303859273627,294,304,327,282,0.0810363836824697,0.0828337874659401,0.0832272842962586,0.0757250268528464,4000,0.267540632733596,1000,990,1018,992,0.275633958103638,0.269754768392371,0.259099007381013,0.266380236305048,6498,0.434619757875727,1614,1575,1670,1639,0.444873208379272,0.429155313351499,0.425044540595571,0.440118152524168,350,0.0234098053641897,103,79,73,95,0.0283902976846748,0.0215258855585831,0.018579791295495,0.0255102040816327,1070,0.071567119256237,308,240,274,248,0.0848952590959206,0.0653950953678474,0.0697378467803512,0.0665950590762621,39,0.00260852116915257,6,7,17,9,0.00165380374862183,0.00190735694822888,0.00432680071264953,0.0024167561761546702,7426,0.496689184669922,1850,1774,1925,1877,0.509922822491731,0.483378746594005,0.489946551285314,0.504027926960258,7917,0.529529797337971,1962,1888,2058,2009,0.540793825799338,0.514441416893733,0.523797403919572,0.539473684210526,2576,0.172296167480436,631,624,655,666,0.173925027563396,0.170027247956403,0.166709086281497,0.178839957035446
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,1,2.15470803706098e-4,0,1,0,0,0,8.74890638670166e-4,0,0,774,0.16677440206852,210,196,183,185,0.182767624020888,0.171478565179353,0.157081545064378,0.15625,660,0.142210730446025,178,167,155,160,0.154917319408181,0.146106736657918,0.133047210300429,0.135135135135135,272,0.0586080586080586,72,67,71,62,0.0626631853785901,0.0586176727909011,0.0609442060085837,0.0523648648648649,1216,0.262012497306615,326,309,274,307,0.28372497824195,0.270341207349081,0.23519313304721,0.259290540540541,2156,0.464555052790347,548,535,533,540,0.476936466492602,0.468066491688539,0.457510729613734,0.456081081081081,96,0.0206851971557854,26,26,14,30,0.0226283724978242,0.0227471566054243,0.0120171673819742,0.0253378378378378,306,0.0659340659340659,88,77,62,79,0.0765883376849434,0.0673665791776028,0.0532188841201717,0.066722972972973,13,0.00280112044817927,2,4,3,4,0.00174064403829417,0.0034995625546806698,0.00257510729613734,0.00337837837837838,2619,0.56431803490627,665,642,642,670,0.578764142732811,0.561679790026247,0.551072961373391,0.565878378378378,2776,0.598146951088128,701,689,690,696,0.610095735422106,0.602799650043745,0.592274678111588,0.587837837837838,651,0.14027149321267,163,149,184,155,0.141862489120975,0.130358705161855,0.15793991416309,0.130912162162162
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,1,9.05223137503395e-5,0,1,0,0,0,3.88953714507974e-4,0,0,2190,0.198243867113243,601,504,552,533,0.215180809165772,0.196032672112019,0.187372708757637,0.194738765071246,2906,0.263057843758486,780,690,723,713,0.279269602577873,0.268378063010502,0.245417515274949,0.260504201680672,1019,0.0922422377115959,278,257,255,229,0.0995345506623702,0.0999611046285492,0.0865580448065173,0.0836682499086591,4236,0.383452521046438,1133,1002,1051,1050,0.405656999641962,0.38973162193699,0.356754921928038,0.383631713554987,5674,0.513623608219426,1475,1337,1467,1395,0.528105979233799,0.520031116297161,0.4979633401222,0.509682133723054,279,0.0252557255363447,100,52,60,67,0.0358037952022914,0.0202255931544146,0.0203665987780041,0.0244793569601754,1145,0.103648049244139,291,249,311,294,0.104189044038668,0.0968494749124854,0.105566870332654,0.107416879795396,33,0.0029872363537612,11,7,6,9,0.00393841747225206,0.00272267600155581,0.00203665987780041,0.00328827183047132,6476,0.586222503847198,1696,1515,1670,1595,0.607232366630863,0.58926487747958,0.566870332654447,0.582754841066861,6835,0.61872001448357,1770,1608,1774,1683,0.633727175080559,0.625437572928822,0.602172437202987,0.614906832298137,2604,0.235720105005884,676,596,687,645,0.24203365556749,0.231816413846752,0.233197556008147,0.235659481183778
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,9,4.26924718941227e-4,0,1,7,1,0,1.96347928529354e-4,0.00123959624579423,1.92975685063682e-4,4646,0.220388027133438,1190,1110,1201,1145,0.230664857530529,0.217946200667583,0.212679298742695,0.220957159397916,4691,0.222522650728144,1186,1165,1207,1133,0.229889513471603,0.228745336736697,0.213741809810519,0.218641451177152,2583,0.122527394336132,637,659,707,580,0.123473541383989,0.129393284900844,0.125199220825217,0.111925897336936,7266,0.344670556425217,1867,1809,1791,1799,0.36189183950378,0.355193402709601,0.317159553745352,0.347163257429564,10887,0.516436601679237,2740,2637,2809,2701,0.531110680364412,0.517769487531907,0.497432264919426,0.521227325357005,513,0.0243347089796499,138,141,122,112,0.0267493700329521,0.0276850579226389,0.0216043917124137,0.0216132767271324,2026,0.0961054978416584,500,502,547,477,0.0969180073657686,0.0985666601217357,0.0968655923499203,0.0920494017753763,49,0.00232436791423557,19,12,12,6,0.00368288427989921,0.00235617514235225,0.00212502213564725,0.00115785411038209,12340,0.585361225748304,3100,3011,3179,3050,0.600891645667765,0.591203612801885,0.56295378076855,0.58857583944423,12880,0.610976708884778,3243,3145,3319,3173,0.628610195774375,0.617514235224818,0.587745705684434,0.612311848707063,5304,0.25160096769603,1321,1313,1358,1312,0.256057375460361,0.257804830159042,0.24048167168408,0.253184098803551
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6,6,1.91338733337585e-4,0,2,4,0,0,2.60044207515278e-4,4.86973459946433e-4,0,8076,0.25754193507239,2052,2037,2074,1913,0.265459249676585,0.26485502535431,0.252495738982225,0.247701670335362,9373,0.298902991262198,2284,2335,2363,2391,0.295472186287193,0.303601612274087,0.287679571463355,0.309594717078855,5605,0.178742266726194,1358,1377,1407,1463,0.175679172056921,0.179040436874269,0.171292914536158,0.189434157710734,12782,0.407615281586836,3246,3137,3161,3238,0.419922380336352,0.407879339487713,0.384830776722669,0.419267124174544,17568,0.56023981121245,4409,4412,4570,4177,0.570375161707633,0.573657521778702,0.5563671779888,0.540852000517933,987,0.0314752216340328,253,276,237,221,0.0327296248382924,0.0358861006371083,0.0288531775018262,0.0286158228667616,3258,0.103896932202309,822,751,955,730,0.10633893919793,0.0976465999219867,0.116264913562211,0.094522853813285,99,0.00315708910007016,25,17,30,27,0.00323415265200517,0.00221037576387986,0.00365230094959825,0.00349605075747766,19189,0.611933159002487,4807,4796,4972,4614,0.621862871927555,0.623586009621636,0.605308010713416,0.597436229444516,19919,0.635212704891894,4967,4985,5183,4784,0.642561448900388,0.648160187231829,0.63099586072559,0.619448400880487,8556,0.272849033739397,2142,2177,2242,1995,0.277102199223803,0.28305811988038,0.272948624299976,0.258319305969183
