zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,all_effects_heat_count,all_effects_heat_prev,zero_to_nineteen_all_effects_heat_count,twenty_to_sixtyfour_all_effects_heat_count,over_sixtyfive_all_effects_heat_count,zero_to_nineteen_all_effects_heat_prev,twenty_to_sixtyfour_all_effects_heat_prev,over_sixtyfive_all_effects_heat_prev,kidney_disease_count,kidney_disease_prev,zero_to_nineteen_kidney_disease_count,twenty_to_sixtyfour_kidney_disease_count,over_sixtyfive_kidney_disease_count,zero_to_nineteen_kidney_disease_prev,twenty_to_sixtyfour_kidney_disease_prev,over_sixtyfive_kidney_disease_prev,copd_count,copd_prev,zero_to_nineteen_copd_count,twenty_to_sixtyfour_copd_count,over_sixtyfive_copd_count,zero_to_nineteen_copd_prev,twenty_to_sixtyfour_copd_prev,over_sixtyfive_copd_prev,asthma_count,asthma_prev,zero_to_nineteen_asthma_count,twenty_to_sixtyfour_asthma_count,over_sixtyfive_asthma_count,zero_to_nineteen_asthma_prev,twenty_to_sixtyfour_asthma_prev,over_sixtyfive_asthma_prev,respiratory_count,respiratory_prev,zero_to_nineteen_respiratory_count,twenty_to_sixtyfour_respiratory_count,over_sixtyfive_respiratory_count,zero_to_nineteen_respiratory_prev,twenty_to_sixtyfour_respiratory_prev,over_sixtyfive_respiratory_prev,hypertension_count,hypertension_prev,zero_to_nineteen_hypertension_count,twenty_to_sixtyfour_hypertension_count,over_sixtyfive_hypertension_count,zero_to_nineteen_hypertension_prev,twenty_to_sixtyfour_hypertension_prev,over_sixtyfive_hypertension_prev,heart_attack_count,heart_attack_prev,zero_to_nineteen_heart_attack_count,twenty_to_sixtyfour_heart_attack_count,over_sixtyfive_heart_attack_count,zero_to_nineteen_heart_attack_prev,twenty_to_sixtyfour_heart_attack_prev,over_sixtyfive_heart_attack_prev,congestive_artery_disease_count,congestive_artery_disease_prev,zero_to_nineteen_congestive_artery_disease_count,twenty_to_sixtyfour_congestive_artery_disease_count,over_sixtyfive_congestive_artery_disease_count,zero_to_nineteen_congestive_artery_disease_prev,twenty_to_sixtyfour_congestive_artery_disease_prev,over_sixtyfive_congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,zero_to_nineteen_angina_pectoris_count,twenty_to_sixtyfour_angina_pectoris_count,over_sixtyfive_angina_pectoris_count,zero_to_nineteen_angina_pectoris_prev,twenty_to_sixtyfour_angina_pectoris_prev,over_sixtyfive_angina_pectoris_prev,heart_disease_count,heart_disease_prev,zero_to_nineteen_heart_disease_count,twenty_to_sixtyfour_heart_disease_count,over_sixtyfive_heart_disease_count,zero_to_nineteen_heart_disease_prev,twenty_to_sixtyfour_heart_disease_prev,over_sixtyfive_heart_disease_prev,circulatory_count,circulatory_prev,zero_to_nineteen_circulatory_count,twenty_to_sixtyfour_circulatory_count,over_sixtyfive_circulatory_count,zero_to_nineteen_circulatory_prev,twenty_to_sixtyfour_circulatory_prev,over_sixtyfive_circulatory_prev,diabetes_count,diabetes_prev,zero_to_nineteen_diabetes_count,twenty_to_sixtyfour_diabetes_count,over_sixtyfive_diabetes_count,zero_to_nineteen_diabetes_prev,twenty_to_sixtyfour_diabetes_prev,over_sixtyfive_diabetes_prev
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,32,4.18727591531234e-4,1,26,5,8.84251481121231e-5,4.44786587973655e-4,7.50976269149895e-4,1197,0.0156630289707152,2,619,576,1.76850296224246e-4,0.0105893422290651,0.0865124662060679,11402,0.149197874957473,2145,8229,1028,0.189671942700504,0.140774955093662,0.154400720937218,8727,0.114194865352909,2130,6219,378,0.188345565478822,0.106389530408006,0.056773805947732,16518,0.216141948653529,3924,11267,1327,0.346980281191971,0.192746557180737,0.199309101832382,14792,0.193556829185313,48,11387,3357,0.00424440710938191,0.194799418356,0.504205467107239,41,5.36494726649394e-4,0,29,12,0,4.96108117355231e-4,0.00180234304595975,747,0.00977467221480726,2,455,290,1.76850296224246e-4,0.00778376528953896,0.0435566236106939,34,4.44898066001937e-4,0,20,14,0,3.42143529210504e-4,0.00210273355361971,15605,0.204195127057654,69,11939,3597,0.00610133521973649,0.20424257976221,0.540252328026434,16044,0.209939546203973,87,12313,3644,0.00769298788575471,0.210640663758447,0.547311504956443,6208,0.0812331527570595,71,4510,1627,0.00627818551596074,0.0771533658369686,0.244367677981376
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,33,4.00019394879752e-4,1,27,5,7.43052459503641e-5,4.24394844388557e-4,9.22849760059062e-4,1052,0.0127521334367727,13,704,335,9.65968197354733e-4,0.0110657026092424,0.0618309339239572,10580,0.128248642358417,2207,7536,837,0.163991677812454,0.118453316567117,0.154485049833887,8244,0.0999321179208689,2193,5702,349,0.162951404369148,0.0896259038038353,0.0644149132521225,16400,0.198797517455392,4346,10992,1062,0.322930598900282,0.172775856648853,0.196013289036545,13544,0.164177657098526,40,11023,2481,0.00297220983801456,0.173263124803521,0.457918050941307,57,6.90942591155935e-4,0,40,17,0,6.28733102797862e-4,0.00313768918420081,876,0.0106186966640807,2,558,316,1.48610491900728e-4,0.00877082678403018,0.0583241048357327,26,3.15166795965865e-4,0,15,11,0,2.35774913549198e-4,0.00203026947212994,14482,0.175547905352987,61,11698,2723,0.00453262000297221,0.183872995913235,0.502583979328165,14858,0.180105702094647,75,12035,2748,0.00557289344627731,0.189170072304307,0.507198228128461,5656,0.0685608999224205,44,4581,1031,0.00326943082181602,0.0720056585979252,0.190291620524179
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,18,2.43082283352915e-4,3,13,2,1.49775336994508e-4,2.61269771087485e-4,4.69263256687001e-4,1091,0.0147334872854461,14,694,383,6.98951572641038e-4,0.0139477862411319,0.0898639136555608,11456,0.154708368782833,3256,7491,709,0.162556165751373,0.150551681170489,0.166353824495542,9367,0.126497319342597,3230,5881,256,0.161258112830754,0.118194424905038,0.0600656968559362,17120,0.231198260611217,6305,9929,886,0.314777833250125,0.199549812086742,0.207883622712342,11811,0.159502491593404,110,9337,2364,0.0054917623564653,0.187651988664911,0.554669169404036,50,6.75228564869208e-4,0,37,13,0,7.43613963864381e-4,0.00305021116846551,1025,0.0138421855798188,6,748,271,2.99550673989016e-4,0.0150330606748799,0.0635851712810887,34,4.59155424111062e-4,0,26,8,0,5.2253954217497e-4,0.00187705302674801,12761,0.172331834325919,151,10061,2549,0.00753869196205691,0.202202705147014,0.598076020647583,13066,0.176450728571622,173,10325,2568,0.00863704443334998,0.20750849126756,0.60253402158611,5058,0.0683061216221691,88,3933,1037,0.00439340988517224,0.0790441545913138,0.24331299859221
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,42,2.85650160168126e-4,11,27,4,2.92599882960047e-4,2.72259755974589e-4,3.895218619145e-4,2411,0.0163976794325083,22,1423,966,5.85199765920094e-4,0.0143490975093274,0.0940695296523517,20088,0.136622390891841,6250,12343,1495,0.166249933500027,0.12446304325905,0.145583795890544,16544,0.112518958329083,6170,9873,501,0.164121934351226,0.0995563174347081,0.0487876132047911,32923,0.223915719600362,12515,18424,1984,0.332898866840453,0.185781990521327,0.193202843509592,27043,0.183924697176824,136,20415,6492,0.00361759855296058,0.205858626600787,0.632193981887233,93,6.32511068943707e-4,0,59,34,0,5.94937985277806e-4,0.00331093582627325,1635,0.0111199526636877,6,958,671,1.59599936160026e-4,0.00966017948976505,0.0653422923361574,52,3.53662103065298e-4,0,36,16,0,3.63013007966119e-4,0.001558087447658,29088,0.197833139499296,259,21840,6989,0.0068893972442411,0.220227891499445,0.68059207323011,29773,0.202491957587752,324,22400,7049,0.00861839655264138,0.225874760512252,0.686434901158828,12063,0.0820428067168595,223,9010,2830,0.00593179762728095,0.090854088938187,0.275586717304509
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,33,2.69225121151305e-4,7,22,4,2.5654181631606e-4,2.72108843537415e-4,2.77046682365979e-4,2141,0.0174669995268165,5,1088,1048,1.83244154511471e-4,0.0134570191713049,0.0725862307798864,12371,0.100926787083721,3292,7685,1394,0.120647951330353,0.0950525664811379,0.0965507688045436,9715,0.0792582439995431,3216,5990,509,0.117862640181778,0.0740878169449598,0.0352541903310708,22223,0.181302723252892,7930,12288,2005,0.290625229055193,0.151985157699443,0.138869649535947,21247,0.173340186336417,50,14035,7162,0.00183244154511471,0.173593073593074,0.496052084776285,55,4.48708535252174e-4,1,35,19,3.66488309022942e-5,4.32900432900433e-4,0.0013159717412384,1416,0.0115522051984923,1,752,663,3.66488309022942e-5,0.00930117501546073,0.045920487602161,48,3.91600176220079e-4,0,25,23,0,3.09214594928881e-4,0.00159301842360438,22595,0.184337624618598,103,14865,7627,0.0037748295829363,0.183858998144712,0.52825876160133,23335,0.190374794001991,165,15397,7773,0.00604705709887855,0.190439084724799,0.538370965507688,9252,0.0754809339664203,96,6105,3051,0.00351828776662024,0.0755102040816327,0.21131735697465
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,11,3.93968697396225e-4,0,10,1,0,6.34477507772349e-4,1.7611835153223e-4,353,0.0126428136528061,1,141,211,1.54273372415921e-4,0.00894613285959013,0.0371609721733005,1795,0.0642885283478385,414,1041,340,0.0638691761801913,0.0660491085591016,0.0598802395209581,1330,0.0476343970488163,402,801,127,0.0620178957112002,0.0508216483725652,0.0223670306445932,3751,0.134343325812113,1470,1755,526,0.226781857451404,0.111350802614047,0.0926382529059528,4569,0.163640270763941,32,2190,2347,0.00493674791730947,0.138950574202145,0.413349771046143,12,4.29784033523155e-4,0,7,5,0,4.44134255440645e-4,8.80591757661148e-4,287,0.0102790014684288,0,70,217,0,0.00444134255440645,0.0382176822824938,16,5.73045378030873e-4,0,8,8,0,5.0758200621788e-4,0.00140894681225784,5120,0.183374520969879,55,2449,2616,0.00848503548287566,0.155383541653448,0.460725607608313,5319,0.190501772859138,71,2574,2674,0.0109534094415304,0.163314510500603,0.470940471997182,1554,0.0556570323412485,21,803,730,0.00323974082073434,0.0509485438741197,0.128566396618528
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,2,2.24719101123596e-4,1,1,0,5.72409845449342e-4,2.13174163291409e-4,0,110,0.0123595505617978,0,23,87,0,0.00490300575570241,0.0353371242891958,603,0.067752808988764,111,298,194,0.0635374928448769,0.0635259006608399,0.0787977254264825,416,0.0467415730337079,109,241,66,0.0623926731539782,0.0513749733532296,0.0268074735987002,1119,0.125730337078652,329,516,274,0.188322839152833,0.109997868258367,0.111291632818846,1594,0.179101123595506,2,523,1069,0.00114481969089868,0.111490087401407,0.434199837530463,15,0.00168539325842697,0,5,10,0,0.00106587081645705,0.00406173842404549,88,0.0098876404494382,0,13,75,0,0.00277126412278832,0.0304630381803412,11,0.00123595505617978,0,4,7,0,8.52696653165636e-4,0.00284321689683184,1891,0.21247191011236,8,632,1251,0.00457927876359473,0.134726071200171,0.508123476848091,1952,0.219325842696629,15,671,1266,0.00858614768174013,0.143039863568535,0.514216084484159,415,0.0466292134831461,6,168,241,0.00343445907269605,0.0358132594329567,0.0978878960194964
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,7,2.33730675481652e-4,0,7,0,0,3.38605911091762e-4,0,438,0.0146248622658519,5,132,301,0.00102417042195821,0.00638514003773037,0.068502503413746,3704,0.123676917426291,497,2518,689,0.101802539942646,0.121801383447008,0.156804733727811,2172,0.0725232895923069,490,1530,152,0.100368701351905,0.0740095777100566,0.0345926263086026,5720,0.190991351965007,1343,3516,861,0.275092175337976,0.170076911914091,0.195949021392808,5943,0.198437343483923,4,3559,2380,8.19336337566571e-4,0.172156919653655,0.541647701411015,26,8.68142508931851e-4,0,15,11,0,7.25584095196633e-4,0.0025034137460173,446,0.014891983037831,0,130,316,0,0.00628839549170416,0.0719162494310423,12,4.00681157968547e-4,0,5,7,0,2.41861365065544e-4,0.00159308147473828,6545,0.218538181575345,15,3883,2647,0.00307251126587464,0.187829536109902,0.602412380518889,6704,0.223847206918428,25,4003,2676,0.00512085210979107,0.193634208871475,0.609012289485662,2413,0.0805703028481752,21,1358,1034,0.0043015157722245,0.0656895467518019,0.235320892125626
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,18,2.50916542370046e-4,2,15,1,1.19588615163836e-4,3.23855171967096e-4,1.14995400183993e-4,1366,0.0190417776043046,8,642,716,4.78354460655346e-4,0.0138610013601917,0.0823367065317387,9032,0.125904345038125,2321,5651,1060,0.138782587897632,0.122007038452404,0.121895124195032,7265,0.101272704462133,2283,4585,397,0.136510404209519,0.0989917308979424,0.0456531738730451,15002,0.209124998257524,5148,8388,1466,0.307821095431715,0.181099812164,0.168583256669733,14742,0.205500648201068,42,9479,5221,0.00251136091844056,0.204654878338407,0.600390984360626,65,9.06087514114056e-4,0,27,38,0,5.82939309540773e-4,0.00436982520699172,935,0.013033720395333,1,498,436,5.97943075819182e-5,0.0107519917093076,0.0501379944802208,31,4.32134045192857e-4,0,10,21,0,2.15903447978064e-4,0.00241490340386385,15940,0.222200538076585,88,10171,5681,0.0052618990672088,0.219595396938489,0.653288868445262,16319,0.227483725274266,114,10466,5739,0.00681655106433867,0.225964548653842,0.659958601655934,6176,0.0860922536487447,50,4124,2002,0.00298971537909591,0.0890385819461537,0.230220791168353
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6,44,2.99576507754946e-4,5,32,7,1.42466377934807e-4,3.13984065308686e-4,7.09795173392821e-4,2635,0.0179405476803246,7,1555,1073,1.9945292910873e-4,0.0152576631735939,0.108801460150071,23243,0.15825129022155,6795,14792,1656,0.193611807613403,0.14513913418894,0.167917258162644,19389,0.132011111565015,6739,11998,652,0.192016184180533,0.117724400486675,0.066112350436017,34911,0.237693533232567,11986,20810,2115,0.34152040118532,0.204187762471055,0.214459541675117,28261,0.192416629219603,148,22227,5886,0.0042170047868703,0.218091369363005,0.596836341512878,104,7.08089927420782e-4,1,64,39,2.84932755869615e-5,6.27968130617371e-4,0.00395457310890286,1792,0.0122009341340196,4,1187,601,1.13973102347846e-4,0.0116468464225441,0.0609409856012979,48,3.26810735732669e-4,0,25,23,0,2.45300051022411e-4,0.00233218414114784,29828,0.203085638029876,241,23359,6228,0.00686687941645772,0.2291985556733,0.631514905698641,30392,0.206925664174735,299,23786,6307,0.00851948940050148,0.233388280544762,0.639525451226932,12541,0.0853861132671542,138,9609,2794,0.00393207203100068,0.0942835276109737,0.28330967349422
