nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
abell,5,25,27,32,430,89,5.62,28.09,30.34,35.96,22,3,25,88,12,519,430,89,2.79,60.47,36.74,12,260,158,10519,24.46,4195.4,9.76,82.85,64,22,3,12,260,158,NA
allendale,285,39,23,11,231,359,79.39,10.86,6.41,3.06,24,15,39,61.54,38.46,590,231,359,9.52,37.23,53.25,22,86,123,7841,33.94,3889.3,16.84,39.15,319,24,15,22,86,123,1
arcadia,65,15,14,10,394,104,62.5,14.42,13.46,9.62,10,5,15,66.67,33.33,498,394,104,4.31,18.27,77.41,17,72,305,9618,24.41,3919.7,9.95,79.12,89,10,5,17,72,305,NA
arlington,218,18,95,22,147,353,61.76,5.1,26.91,6.23,15,3,18,83.33,16.67,500,147,353,36.73,48.3,14.97,54,71,22,4036,27.46,1983.3,13.49,29.4,335,15,3,54,71,22,NA
armistead gardens,88,18,9,NA,59,115,76.52,15.65,7.83,NA,17,1,18,94.44,5.56,174,59,115,6.78,40.68,52.54,4,24,31,1440,24.41,642.6,10.89,33.91,97,17,1,4,24,31,NA
ashburton,648,75,20,1,881,744,87.1,10.08,2.69,0.13,54,21,75,72,28,1625,881,744,11.24,22.47,66.29,99,198,584,34960,39.68,16313.9,18.52,54.22,669,54,21,99,198,584,NA
baltimore highlands,9,20,140,17,411,186,4.84,10.75,75.27,9.14,12,8,20,60,40,597,411,186,5.6,19.22,75.18,23,79,309,5878,14.3,1934.3,4.71,68.84,166,12,8,23,79,309,NA
barclay,6,38,101,36,699,181,3.31,20.99,55.8,19.89,22,16,38,57.89,42.11,880,699,181,8.15,27.61,64.23,57,193,449,16164,23.12,5852.5,8.37,79.43,143,22,16,57,193,449,NA
barre circle,NA,12,2,2,240,16,NA,75,12.5,12.5,9,3,12,75,25,256,240,16,1.25,10,88.75,3,24,213,6348,26.45,2612.9,10.89,93.75,4,9,3,3,24,213,NA
bayview,83,22,110,6,213,221,37.56,9.95,49.77,2.71,22,NA,22,100,NA,434,213,221,6.57,45.07,48.36,14,96,103,4444,20.86,1872.5,8.79,49.08,199,22,NA,14,96,103,NA
beechfield,140,16,NA,NA,128,156,89.74,10.26,NA,NA,11,5,16,68.75,31.25,284,128,156,8.59,31.25,60.16,11,40,77,4350,33.98,2155.6,16.84,45.07,140,11,5,11,40,77,NA
belair-edison,1364,151,283,59,1295,1857,73.45,8.13,15.24,3.18,128,23,151,84.77,15.23,3152,1295,1857,11.04,23.78,65.17,143,308,844,34371,26.54,15337.6,11.84,41.09,1706,128,23,143,308,844,NA
belair-parkside,NA,2,6,1,8,9,NA,22.22,66.67,11.11,1,1,2,50,50,17,8,9,50,25,25,4,2,2,235,29.38,121.1,15.14,47.06,7,1,1,4,2,2,NA
bellona-gittings,52,6,NA,1,175,59,88.14,10.17,NA,1.69,4,2,6,66.67,33.33,234,175,59,5.14,26.86,68,9,47,119,4864,27.79,2395.1,13.69,74.79,53,4,2,9,47,119,NA
belvedere,69,12,6,5,137,92,75,13.04,6.52,5.43,12,NA,12,100,NA,229,137,92,3.65,20.44,75.91,5,28,104,3938,28.74,2172.9,15.86,59.83,80,12,NA,5,28,104,NA
berea,186,39,43,46,623,314,59.24,12.42,13.69,14.65,20,19,39,51.28,48.72,937,623,314,3.53,18.94,77.53,22,118,483,9779,15.7,3085.5,4.95,66.49,275,20,19,22,118,483,NA
better waverly,161,35,195,24,549,415,38.8,8.43,46.99,5.78,13,22,35,37.14,62.86,964,549,415,16.21,32.6,51.18,89,179,281,12566,22.89,6359.53,11.58,56.95,380,13,22,89,179,281,NA
beverly hills,56,23,3,NA,407,82,68.29,28.05,3.66,NA,18,5,23,78.26,21.74,489,407,82,3.93,13.27,82.8,16,54,337,9724,23.89,4199.4,10.32,83.23,59,18,5,16,54,337,NA
biddle street,8,10,66,12,272,96,8.33,10.42,68.75,12.5,6,4,10,60,40,368,272,96,3.31,22.06,74.63,9,60,203,5810,21.36,2129.7,7.83,73.91,86,6,4,9,60,203,NA
blythewood,NA,2,NA,NA,20,2,NA,100,NA,NA,2,NA,2,100,NA,22,20,2,NA,20,80,NA,4,16,616,30.8,260.8,13.04,90.91,NA,2,NA,NA,4,16,NA
bolton hill,10,30,27,3,1478,70,14.29,42.86,38.57,4.29,13,17,30,43.33,56.67,1548,1478,70,4.13,15.9,79.97,61,235,1182,39382,26.65,15344.7,10.38,95.48,40,13,17,61,235,1182,NA
boyd-booth,2,4,83,24,112,113,1.77,3.54,73.45,21.24,1,3,4,25,75,225,112,113,9.82,26.79,63.39,11,30,71,2944,26.29,814.7,7.27,49.78,109,1,3,11,30,71,NA
brewers hill,13,16,137,13,393,179,7.26,8.94,76.54,7.26,7,9,16,43.75,56.25,572,393,179,2.29,23.66,74.05,9,93,291,7875,20.04,2470.4,6.29,68.71,163,7,9,9,93,291,NA
bridgeview/greenlawn,149,12,68,13,180,242,61.57,4.96,28.1,5.37,12,NA,12,100,NA,422,180,242,6.67,30.56,62.78,12,55,113,4134,22.97,2117,11.76,42.65,230,12,NA,12,55,113,NA
broadway east,6,35,984,115,386,1140,0.53,3.07,86.32,10.09,21,14,35,60,40,1526,386,1140,14.77,31.61,53.63,57,122,207,8481,21.97,3682,9.54,25.29,1105,21,14,57,122,207,NA
broening manor,84,5,48,1,102,138,60.87,3.62,34.78,0.72,5,NA,5,100,NA,240,102,138,3.92,33.33,62.75,4,34,64,2228,21.84,830.2,8.14,42.5,133,5,NA,4,34,64,NA
brooklyn,807,168,140,12,1979,1127,71.61,14.91,12.42,1.06,103,65,168,61.31,38.69,3106,1979,1127,11.02,25.01,63.97,218,495,1266,44561,22.52,21295.49,10.76,63.72,959,103,65,218,495,1266,NA
burleith-leighton,98,15,3,NA,86,116,84.48,12.93,2.59,NA,13,2,15,86.67,13.33,202,86,116,13.95,38.37,47.67,12,33,41,2714,31.56,1290.8,15.01,42.57,101,13,2,12,33,41,NA
butcher's hill,4,18,19,1,586,42,9.52,42.86,45.24,2.38,10,8,18,55.56,44.44,628,586,42,3.75,20.48,75.77,22,120,444,14806,25.27,4905.3,8.37,93.31,24,10,8,22,120,444,NA
callaway-garrison,456,31,22,3,240,512,89.06,6.05,4.3,0.59,22,9,31,70.97,29.03,752,240,512,25.83,25,49.17,62,60,118,7834,32.64,4383,18.26,31.91,481,22,9,62,60,118,NA
cameron village,221,14,7,1,92,243,90.95,5.76,2.88,0.41,12,2,14,85.71,14.29,335,92,243,9.78,25,65.22,9,23,60,3488,37.91,2021.8,21.98,27.46,229,12,2,9,23,60,NA
canton,84,176,941,122,2809,1323,6.35,13.3,71.13,9.22,129,47,176,73.3,26.7,4132,2809,1323,6.84,31.47,61.69,192,884,1733,61556,21.91,23554.5,8.39,67.98,1147,129,47,192,884,1733,NA
canton industrial area,137,6,70,11,222,224,61.16,2.68,31.25,4.91,2,4,6,33.33,66.67,446,222,224,6.31,31.98,61.71,14,71,137,3578,16.12,1141.7,5.14,49.78,218,2,4,14,71,137,NA
care,7,19,84,36,398,146,4.79,13.01,57.53,24.66,11,8,19,57.89,42.11,544,398,146,7.54,31.91,60.55,30,127,241,7162,17.99,2197.17,5.52,73.16,127,11,8,30,127,241,NA
carroll - camden industrial area,62,32,137,33,699,264,23.48,12.12,51.89,12.5,18,14,32,56.25,43.75,963,699,264,3,18.17,78.83,21,127,551,15437,22.08,4908.23,7.02,72.59,232,18,14,21,127,551,NA
carroll park,52,43,22,2,862,119,43.7,36.13,18.49,1.68,15,28,43,34.88,65.12,981,862,119,5.34,14.62,80.05,46,126,690,24552,28.48,12494.7,14.5,87.87,76,15,28,46,126,690,NA
carroll-south hilton,162,25,85,NA,380,272,59.56,9.19,31.25,NA,7,18,25,28,72,652,380,272,1.58,18.68,79.74,6,71,303,7562,19.9,2625.8,6.91,58.28,247,7,18,6,71,303,NA
