nbrdesc,all_tracked_spaces,spaces_with_live_trees,spaces_without_live_trees,suitable_without_tree,unsuitable_without_tree,perc_spaces_treed,perc_spaces_nontreed,perc_of_nontreed_are_suitable,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed,poor_count,fair_count,good_count,poor_perc_of_live,fair_perc_of_live,good_perc_of_live,avg_ht,avg_diam
NA,13,4,9,9,NA,30.77,69.23,100,4,9,8,1,NA,NA,88.89,11.11,NA,NA,9,NA,100,1,2,1,25,50,25,37.5,19.27
abell,519,430,89,57,32,82.85,17.15,64.04,430,89,5,25,27,32,5.62,28.09,30.34,35.96,30,59,33.71,12,260,158,2.79,60.47,36.74,24.46,9.76
allendale,590,231,359,348,11,39.15,60.85,96.94,231,359,285,39,23,11,79.39,10.86,6.41,3.06,324,34,90.25,22,86,123,9.52,37.23,53.25,33.94,16.84
arcadia,498,394,104,94,10,79.12,20.88,90.38,394,104,65,15,14,10,62.5,14.42,13.46,9.62,80,24,76.92,17,72,305,4.31,18.27,77.41,24.41,9.95
arlington,500,147,353,331,22,29.4,70.6,93.77,147,353,218,18,95,22,61.76,5.1,26.91,6.23,236,117,66.86,54,71,22,36.73,48.3,14.97,27.46,13.49
armistead gardens,174,59,115,115,NA,33.91,66.09,100,59,115,88,18,9,NA,76.52,15.65,7.83,NA,106,9,92.17,4,24,31,6.78,40.68,52.54,24.41,10.89
ashburton,1625,881,744,743,1,54.22,45.78,99.87,881,744,648,75,20,1,87.1,10.08,2.69,0.13,723,21,97.18,99,198,584,11.24,22.47,66.29,39.68,18.52
baltimore highlands,597,411,186,169,17,68.84,31.16,90.86,411,186,9,20,140,17,4.84,10.75,75.27,9.14,29,157,15.59,23,79,309,5.6,19.22,75.18,14.3,4.71
barclay,880,699,181,145,36,79.43,20.57,80.11,699,181,6,38,101,36,3.31,20.99,55.8,19.89,44,137,24.31,57,193,449,8.15,27.61,64.23,23.12,8.37
barre circle,256,240,16,14,2,93.75,6.25,87.5,240,16,NA,12,2,2,NA,75,12.5,12.5,12,4,75,3,24,213,1.25,10,88.75,26.45,10.89
