nbrdesc,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed
abell,430,89,5,25,27,32,5.62,28.09,30.34,35.96,30,59,33.71
allendale,231,359,285,39,23,11,79.39,10.86,6.41,3.06,324,34,90.25
arcadia,394,104,65,15,14,10,62.5,14.42,13.46,9.62,80,24,76.92
arlington,147,353,218,18,95,22,61.76,5.1,26.91,6.23,236,117,66.86
armistead gardens,59,115,88,18,9,NA,76.52,15.65,7.83,NA,106,9,92.17
ashburton,881,744,648,75,20,1,87.1,10.08,2.69,0.13,723,21,97.18
baltimore highlands,411,186,9,20,140,17,4.84,10.75,75.27,9.14,29,157,15.59
barclay,699,181,6,38,101,36,3.31,20.99,55.8,19.89,44,137,24.31
barre circle,240,16,NA,12,2,2,NA,75,12.5,12.5,12,4,75
bayview,213,221,83,22,110,6,37.56,9.95,49.77,2.71,105,116,47.51
beechfield,128,156,140,16,NA,NA,89.74,10.26,NA,NA,156,NA,100
belair-edison,1295,1857,1364,151,283,59,73.45,8.13,15.24,3.18,1515,342,81.58
belair-parkside,8,9,NA,2,6,1,NA,22.22,66.67,11.11,2,7,22.22
bellona-gittings,175,59,52,6,NA,1,88.14,10.17,NA,1.69,58,1,98.31
belvedere,137,92,69,12,6,5,75,13.04,6.52,5.43,81,11,88.04
berea,623,314,186,39,43,46,59.24,12.42,13.69,14.65,225,89,71.66
better waverly,549,415,161,35,195,24,38.8,8.43,46.99,5.78,196,219,47.23
beverly hills,407,82,56,23,3,NA,68.29,28.05,3.66,NA,79,3,96.34
biddle street,272,96,8,10,66,12,8.33,10.42,68.75,12.5,18,78,18.75
blythewood,20,2,NA,2,NA,NA,NA,100,NA,NA,2,NA,100
bolton hill,1478,70,10,30,27,3,14.29,42.86,38.57,4.29,40,30,57.14
boyd-booth,112,113,2,4,83,24,1.77,3.54,73.45,21.24,6,107,5.31
