nbrdesc,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff
abell,22,3,25,88,12
allendale,24,15,39,61.54,38.46
arcadia,10,5,15,66.67,33.33
arlington,15,3,18,83.33,16.67
armistead gardens,17,1,18,94.44,5.56
ashburton,54,21,75,72,28
baltimore highlands,12,8,20,60,40
barclay,22,16,38,57.89,42.11
barre circle,9,3,12,75,25
bayview,22,NA,22,100,NA
beechfield,11,5,16,68.75,31.25
belair-edison,128,23,151,84.77,15.23
belair-parkside,1,1,2,50,50
bellona-gittings,4,2,6,66.67,33.33
belvedere,12,NA,12,100,NA
berea,20,19,39,51.28,48.72
better waverly,13,22,35,37.14,62.86
beverly hills,18,5,23,78.26,21.74
biddle street,6,4,10,60,40
blythewood,2,NA,2,100,NA
bolton hill,13,17,30,43.33,56.67
boyd-booth,1,3,4,25,75
brewers hill,7,9,16,43.75,56.25
bridgeview/greenlawn,12,NA,12,100,NA
broadway east,21,14,35,60,40
broening manor,5,NA,5,100,NA
brooklyn,103,65,168,61.31,38.69
burleith-leighton,13,2,15,86.67,13.33
butcher's hill,10,8,18,55.56,44.44
callaway-garrison,22,9,31,70.97,29.03
cameron village,12,2,14,85.71,14.29
canton,129,47,176,73.3,26.7
canton industrial area,2,4,6,33.33,66.67
care,11,8,19,57.89,42.11
carroll - camden industrial area,18,14,32,56.25,43.75
carroll park,15,28,43,34.88,65.12
carroll-south hilton,7,18,25,28,72
carrollton ridge,23,12,35,65.71,34.29
cedarcroft,5,2,7,71.43,28.57
cedmont,20,6,26,76.92,23.08
cedonia,5,4,9,55.56,44.44
central forest park,9,1,10,90,10
central park heights,42,28,70,60,40
charles north,13,20,33,39.39,60.61
charles village,33,25,58,56.9,43.1
cherry hill,15,14,29,51.72,48.28
cheswolde,34,13,47,72.34,27.66
chinquapin park,10,2,12,83.33,16.67
clifton park,131,44,175,74.86,25.14
coldspring,26,19,45,57.78,42.22
coldstream homestead montebello,46,23,69,66.67,33.33
concerned citizens of forest park,7,5,12,58.33,41.67
coppin heights/ash-co-east,21,10,31,67.74,32.26
cross country,50,7,57,87.72,12.28
cross keys,2,3,5,40,60
curtis bay,22,6,28,78.57,21.43
curtis bay industrial area,1,NA,1,100,NA
cylburn,11,4,15,73.33,26.67
darley park,9,1,10,90,10
dickeyville,3,6,9,33.33,66.67
dolfield,16,1,17,94.12,5.88
dorchester,18,2,20,90,10
downtown,40,56,96,41.67,58.33
downtown west,1,8,9,11.11,88.89
druid heights,18,12,30,60,40
druid hill park,137,128,265,51.7,48.3
dunbar-broadway,8,20,28,28.57,71.43
east arlington,21,1,22,95.45,4.55
east baltimore midway,36,8,44,81.82,18.18
easterwood,7,5,12,58.33,41.67
eastwood,4,NA,4,100,NA
edgewood,28,2,30,93.33,6.67
edmondson village,15,3,18,83.33,16.67
ednor gardens-lakeside,46,21,67,68.66,31.34
ellwood park/monument,32,18,50,64,36
evergreen,20,5,25,80,20
evergreen lawn,10,2,12,83.33,16.67
evesham park,11,5,16,68.75,31.25
fairfield area,9,4,13,69.23,30.77
fairmont,8,22,30,26.67,73.33
fallstaff,7,3,10,70,30
federal hill,35,18,53,66.04,33.96
fells point,34,21,55,61.82,38.18
forest park,12,11,23,52.17,47.83
forest park golf course,15,15,30,50,50
four by four,2,NA,2,100,NA
frankford,36,48,84,42.86,57.14
franklin square,28,14,42,66.67,33.33
franklintown,33,14,47,70.21,29.79
