nbrdesc,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,live_trees
abell,2.79,60.47,36.74,12,260,158,430
allendale,9.52,37.23,53.25,22,86,123,231
arcadia,4.31,18.27,77.41,17,72,305,394
arlington,36.73,48.3,14.97,54,71,22,147
armistead gardens,6.78,40.68,52.54,4,24,31,59
ashburton,11.24,22.47,66.29,99,198,584,881
baltimore highlands,5.6,19.22,75.18,23,79,309,411
barclay,8.15,27.61,64.23,57,193,449,699
barre circle,1.25,10,88.75,3,24,213,240
bayview,6.57,45.07,48.36,14,96,103,213
beechfield,8.59,31.25,60.16,11,40,77,128
belair-edison,11.04,23.78,65.17,143,308,844,1295
belair-parkside,50,25,25,4,2,2,8
bellona-gittings,5.14,26.86,68,9,47,119,175
belvedere,3.65,20.44,75.91,5,28,104,137
berea,3.53,18.94,77.53,22,118,483,623
better waverly,16.21,32.6,51.18,89,179,281,549
beverly hills,3.93,13.27,82.8,16,54,337,407
biddle street,3.31,22.06,74.63,9,60,203,272
blythewood,NA,20,80,NA,4,16,20
bolton hill,4.13,15.9,79.97,61,235,1182,1478
boyd-booth,9.82,26.79,63.39,11,30,71,112
brewers hill,2.29,23.66,74.05,9,93,291,393
bridgeview/greenlawn,6.67,30.56,62.78,12,55,113,180
broadway east,14.77,31.61,53.63,57,122,207,386
broening manor,3.92,33.33,62.75,4,34,64,102
brooklyn,11.02,25.01,63.97,218,495,1266,1979
burleith-leighton,13.95,38.37,47.67,12,33,41,86
butcher's hill,3.75,20.48,75.77,22,120,444,586
callaway-garrison,25.83,25,49.17,62,60,118,240
cameron village,9.78,25,65.22,9,23,60,92
canton,6.84,31.47,61.69,192,884,1733,2809
canton industrial area,6.31,31.98,61.71,14,71,137,222
care,7.54,31.91,60.55,30,127,241,398
carroll - camden industrial area,3,18.17,78.83,21,127,551,699
carroll park,5.34,14.62,80.05,46,126,690,862
carroll-south hilton,1.58,18.68,79.74,6,71,303,380
carrollton ridge,5.09,25.05,69.86,25,123,343,491
cedarcroft,8.82,25,66.18,30,85,225,340
cedmont,14.35,35.43,50.22,32,79,112,223
cedonia,4.82,25,70.18,16,83,233,332
central forest park,16.67,26.67,56.67,15,24,51,90
central park heights,23.32,38.03,38.65,149,243,247,639
charles north,10.98,23.12,65.9,38,80,228,346
charles village,4.98,39.76,55.26,70,559,777,1406
cherry hill,7.21,28.37,64.42,30,118,268,416
cheswolde,13.66,33.43,52.91,94,230,364,688
chinquapin park,3.53,32.94,63.53,6,56,108,170
clifton park,4.88,34.62,60.5,78,554,968,1600
coldspring,5.52,18.56,75.93,55,185,757,997
coldstream homestead montebello,13.98,45.3,40.72,116,376,338,830
concerned citizens of forest park,15.28,38.89,45.83,11,28,33,72
coppin heights/ash-co-east,7.47,24.58,67.95,31,102,282,415
cross country,19.38,38.58,42.04,112,223,243,578
cross keys,9.84,37.7,52.46,12,46,64,122
curtis bay,9.79,30.95,59.26,37,117,224,378
curtis bay industrial area,NA,100,NA,NA,1,NA,1
cylburn,13.85,33.33,52.82,27,65,103,195
darley park,4.65,37.98,57.36,6,49,74,129
dickeyville,6.45,35.48,58.06,2,11,18,31
dolfield,25.27,31.87,42.86,46,58,78,182
dorchester,27.14,43.57,29.29,38,61,41,140
downtown,8.01,17.09,74.89,75,160,701,936
downtown west,15.45,21.95,62.6,19,27,77,123
druid heights,15.62,69.93,14.45,67,300,62,429
druid hill park,6.49,23.06,70.45,219,778,2377,3374
dunbar-broadway,4.85,23.51,71.64,26,126,384,536
east arlington,11.04,24.68,64.29,17,38,99,154
east baltimore midway,9.19,34.28,56.54,52,194,320,566
easterwood,14.29,21.98,63.74,26,40,116,182
eastwood,42.11,36.84,21.05,8,7,4,19
edgewood,10,38.42,51.58,19,73,98,190
edmondson village,3.91,33.1,62.99,11,93,177,281
ednor gardens-lakeside,5.99,25.82,68.19,64,276,729,1069
ellwood park/monument,5,19.42,75.58,43,167,650,860
evergreen,2.81,11.58,85.61,8,33,244,285
evergreen lawn,5.93,28.81,65.25,7,34,77,118
evesham park,13.24,26.84,59.93,36,73,163,272
fairfield area,16.23,35.53,48.25,37,81,110,228
fairmont,23.93,27.61,48.47,39,45,79,163
fallstaff,14.62,27.69,57.69,38,72,150,260
federal hill,4.3,20.7,75,33,159,576,768
fells point,5.14,19.2,75.66,49,183,721,953
forest park,19.65,57.23,23.12,34,99,40,173
forest park golf course,9.8,27.45,62.75,20,56,128,204
four by four,23.81,19.05,57.14,5,4,12,21
frankford,8.83,34.09,57.08,129,498,834,1461
franklin square,8.44,32.34,59.22,54,207,379,640
franklintown,5.57,19.2,75.23,54,186,729,969
franklintown road,9.66,38.62,51.72,14,56,75,145
garwyn oaks,5.91,45.16,48.92,11,84,91,186
gay street,13.11,46.95,39.94,43,154,131,328
glen,17.98,30.82,51.21,119,204,339,662
glen oaks,6.61,23.21,70.18,49,172,520,741
glenham-belhar,10.18,53.44,36.39,40,210,143,393
graceland park,9.67,33.7,56.63,35,122,205,362
greektown,3.35,21.52,75.13,19,122,426,567
greenmount cemetery,10.2,12.24,77.55,5,6,38,49
greenmount west,4.64,18.84,76.52,16,65,264,345
greenspring,26.7,43.98,29.32,51,84,56,191
grove park,18.78,38.97,42.25,40,83,90,213
guilford,4.75,21.94,73.31,102,471,1574,2147
gwynns falls,2.7,19.37,77.93,6,43,173,222
gwynns falls/leakin park,8.72,29.94,61.34,30,103,211,344
hamilton hills,9.15,25.91,64.94,113,320,802,1235
hampden,7.74,22.91,69.35,102,302,914,1318
hanlon-longwood,11.6,48.37,40.03,71,296,245,612
harlem park,11.76,48.28,39.95,144,591,489,1224
harwood,5.75,21.64,72.6,21,79,265,365
hawkins point,6.94,65.28,27.78,10,94,40,144
heritage crossing,6.24,20.03,73.73,38,122,449,609
herring run park,3.53,12.45,84.01,19,67,452,538
highlandtown,4.42,19.82,75.76,29,130,497,656
hillen,16.08,32.17,51.75,23,46,74,143
