nbrdesc,stump,dead,poor,fair,good,total_trees
abell,4.84,0.66,2.64,57.14,34.73,455
allendale,8.89,5.56,8.15,31.85,45.56,270
arcadia,2.44,1.22,4.16,17.6,74.57,409
arlington,9.09,1.82,32.73,43.03,13.33,165
armistead gardens,22.08,1.3,5.19,31.17,40.26,77
ashburton,5.65,2.2,10.36,20.71,61.09,956
baltimore highlands,2.78,1.86,5.34,18.33,71.69,431
barclay,2.99,2.17,7.73,26.19,60.92,737
barre circle,3.57,1.19,1.19,9.52,84.52,252
bayview,9.36,NA,5.96,40.85,43.83,235
beechfield,7.64,3.47,7.64,27.78,53.47,144
belair-edison,8.85,1.59,9.89,21.3,58.37,1446
belair-parkside,10,10,40,20,20,10
bellona-gittings,2.21,1.1,4.97,25.97,65.75,181
belvedere,8.05,NA,3.36,18.79,69.8,149
berea,3.02,2.87,3.32,17.82,72.96,662
better waverly,2.23,3.77,15.24,30.65,48.12,584
beverly hills,4.19,1.16,3.72,12.56,78.37,430
biddle street,2.13,1.42,3.19,21.28,71.99,282
blythewood,9.09,NA,NA,18.18,72.73,22
bolton hill,0.86,1.13,4.05,15.58,78.38,1508
boyd-booth,0.86,2.59,9.48,25.86,61.21,116
brewers hill,1.71,2.2,2.2,22.74,71.15,409
bridgeview/greenlawn,6.25,NA,6.25,28.65,58.85,192
broadway east,4.99,3.33,13.54,28.98,49.17,421
broening manor,4.67,NA,3.74,31.78,59.81,107
brooklyn,4.8,3.03,10.15,23.06,58.97,2147
burleith-leighton,12.87,1.98,11.88,32.67,40.59,101
butcher's hill,1.66,1.32,3.64,19.87,73.51,604
callaway-garrison,8.12,3.32,22.88,22.14,43.54,271
cameron village,11.32,1.89,8.49,21.7,56.6,106
canton,4.32,1.57,6.43,29.61,58.06,2985
canton industrial area,0.88,1.75,6.14,31.14,60.09,228
care,2.64,1.92,7.19,30.46,57.79,417
carroll - camden industrial area,2.46,1.92,2.87,17.37,75.38,731
carroll park,1.66,3.09,5.08,13.92,76.24,905
carroll-south hilton,1.73,4.44,1.48,17.53,74.81,405
carrollton ridge,4.37,2.28,4.75,23.38,65.21,526
cedarcroft,1.44,0.58,8.65,24.5,64.84,347
cedmont,8.03,2.41,12.85,31.73,44.98,249
cedonia,1.47,1.17,4.69,24.34,68.33,341
central forest park,9,1,15,24,51,100
central park heights,5.92,3.95,21.02,34.27,34.84,709
charles north,3.43,5.28,10.03,21.11,60.16,379
charles village,2.25,1.71,4.78,38.18,53.07,1464
cherry hill,3.37,3.15,6.74,26.52,60.22,445
cheswolde,4.63,1.77,12.79,31.29,49.52,735
chinquapin park,5.49,1.1,3.3,30.77,59.34,182
clifton park,7.38,2.48,4.39,31.21,54.54,1775
coldspring,2.5,1.82,5.28,17.75,72.65,1042
coldstream homestead montebello,5.12,2.56,12.9,41.82,37.6,899
concerned citizens of forest park,8.33,5.95,13.1,33.33,39.29,84
coppin heights/ash-co-east,4.71,2.24,6.95,22.87,63.23,446
cross country,7.87,1.1,17.64,35.12,38.27,635
cross keys,1.57,2.36,9.45,36.22,50.39,127
curtis bay,5.42,1.48,9.11,28.82,55.17,406
