nbrdesc,spaces_with_live_trees,poor_count,fair_count,good_count,poor_perc_of_live,fair_perc_of_live,good_perc_of_live,avg_ht,avg_diam,avg_ht_controled,avg_diam_controled,rank_avg_ht,rank_avg_diam
abell,430,12,260,158,2.79,60.47,36.74,24.46,9.76,24.46,9.76,139,154
allendale,231,22,86,123,9.52,37.23,53.25,33.94,16.84,33.94,16.84,43,34
arcadia,394,17,72,305,4.31,18.27,77.41,24.41,9.95,24.41,9.95,142,149
arlington,147,54,71,22,36.73,48.3,14.97,27.46,13.49,27.46,13.49,90,83
armistead gardens,59,4,24,31,6.78,40.68,52.54,24.41,10.89,NA,NA,NA,NA
ashburton,881,99,198,584,11.24,22.47,66.29,39.68,18.52,39.68,18.52,13,16
baltimore highlands,411,23,79,309,5.6,19.22,75.18,14.3,4.71,14.3,4.71,232,232
barclay,699,57,193,449,8.15,27.61,64.23,23.12,8.37,23.12,8.37,156,175
barre circle,240,3,24,213,1.25,10,88.75,26.45,10.89,26.45,10.89,107,126
bayview,213,14,96,103,6.57,45.07,48.36,20.86,8.79,20.86,8.79,186,169
beechfield,128,11,40,77,8.59,31.25,60.16,33.98,16.84,33.98,16.84,42,35
belair-edison,1295,143,308,844,11.04,23.78,65.17,26.54,11.84,26.54,11.84,106,106
belair-parkside,8,4,2,2,50,25,25,29.38,15.14,NA,NA,NA,NA
bellona-gittings,175,9,47,119,5.14,26.86,68,27.79,13.69,27.79,13.69,88,78
belvedere,137,5,28,104,3.65,20.44,75.91,28.74,15.86,28.74,15.86,81,47
berea,623,22,118,483,3.53,18.94,77.53,15.7,4.95,15.7,4.95,229,230
better waverly,549,89,179,281,16.21,32.6,51.18,22.89,11.58,22.89,11.58,161,114
beverly hills,407,16,54,337,3.93,13.27,82.8,23.89,10.32,23.89,10.32,149,139
biddle street,272,9,60,203,3.31,22.06,74.63,21.36,7.83,21.36,7.83,179,187
blythewood,20,NA,4,16,NA,20,80,30.8,13.04,NA,NA,NA,NA
bolton hill,1478,61,235,1182,4.13,15.9,79.97,26.65,10.38,26.65,10.38,104,137
boyd-booth,112,11,30,71,9.82,26.79,63.39,26.29,7.27,26.29,7.27,110,200
brewers hill,393,9,93,291,2.29,23.66,74.05,20.04,6.29,20.04,6.29,199,216
bridgeview/greenlawn,180,12,55,113,6.67,30.56,62.78,22.97,11.76,22.97,11.76,159,110
broadway east,386,57,122,207,14.77,31.61,53.63,21.97,9.54,21.97,9.54,172,159
broening manor,102,4,34,64,3.92,33.33,62.75,21.84,8.14,21.84,8.14,176,179
brooklyn,1979,218,495,1266,11.02,25.01,63.97,22.52,10.76,22.52,10.76,163,130
burleith-leighton,86,12,33,41,13.95,38.37,47.67,31.56,15.01,NA,NA,NA,NA
butcher's hill,586,22,120,444,3.75,20.48,75.77,25.27,8.37,25.27,8.37,131,176
callaway-garrison,240,62,60,118,25.83,25,49.17,32.64,18.26,32.64,18.26,51,19
cameron village,92,9,23,60,9.78,25,65.22,37.91,21.98,NA,NA,NA,NA
canton,2809,192,884,1733,6.84,31.47,61.69,21.91,8.39,21.91,8.39,175,173
canton industrial area,222,14,71,137,6.31,31.98,61.71,16.12,5.14,16.12,5.14,227,228
care,398,30,127,241,7.54,31.91,60.55,17.99,5.52,17.99,5.52,216,222
carroll - camden industrial area,699,21,127,551,3,18.17,78.83,22.08,7.02,22.08,7.02,170,204
carroll park,862,46,126,690,5.34,14.62,80.05,28.48,14.5,28.48,14.5,85,67
carroll-south hilton,380,6,71,303,1.58,18.68,79.74,19.9,6.91,19.9,6.91,201,207
carrollton ridge,491,25,123,343,5.09,25.05,69.86,18.67,5.34,18.67,5.34,210,224
cedarcroft,340,30,85,225,8.82,25,66.18,35.53,18,35.53,18,32,22
cedmont,223,32,79,112,14.35,35.43,50.22,30.84,17.15,30.84,17.15,66,31
cedonia,332,16,83,233,4.82,25,70.18,25.26,8.73,25.26,8.73,132,171
central forest park,90,15,24,51,16.67,26.67,56.67,40.49,18.73,NA,NA,NA,NA
central park heights,639,149,243,247,23.32,38.03,38.65,26.76,12.96,26.76,12.96,102,91
charles north,346,38,80,228,10.98,23.12,65.9,20.68,7.3,20.68,7.3,190,199
charles village,1406,70,559,777,4.98,39.76,55.26,23.22,7.82,23.22,7.82,154,188
