nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
NA,150,11.54,78.8,6.06,150,11.54,78.8,6.06
abell,10603,20.43,4580.9,8.83,10603,20.43,4580.9,8.83
allendale,8242,13.97,4556.5,7.72,8242,13.97,4556.5,7.72
arcadia,9685,19.45,4140.9,8.32,9685,19.45,4140.9,8.32
arlington,4077,8.15,2196.7,4.39,4077,8.15,2196.7,4.39
armistead gardens,1563,8.98,830.1,4.77,1563,8.98,830.1,4.77
ashburton,35474,21.83,17813.4,10.96,35474,21.83,17813.4,10.96
baltimore highlands,6002,10.05,2092.6,3.51,6002,10.05,2092.6,3.51
barclay,16389,18.62,6249.5,7.1,16389,18.62,6249.5,7.1
barre circle,6413,25.05,2759.2,10.78,6413,25.05,2759.2,10.78
bayview,4455,10.26,2242,5.17,4455,10.26,2242,5.17
beechfield,4550,16.02,2419.1,8.52,4550,16.02,2419.1,8.52
belair-edison,34821,11.05,17420.2,5.53,34821,11.05,17420.2,5.53
belair-parkside,250,14.71,135.7,7.98,250,14.71,135.7,7.98
bellona-gittings,4994,21.34,2493.2,10.65,4994,21.34,2493.2,10.65
belvedere,3943,17.22,2427.9,10.6,3943,17.22,2427.9,10.6
berea,10054,10.73,3466.4,3.7,10054,10.73,3466.4,3.7
better waverly,12877,13.36,6780.73,7.03,12877,13.36,6780.73,7.03
beverly hills,9818,20.08,4476,9.15,9818,20.08,4476,9.15
biddle street,5931,16.12,2252.9,6.12,5931,16.12,2252.9,6.12
blythewood,616,28,270.8,12.31,616,28,270.8,12.31
bolton hill,39644,25.61,15678.4,10.13,39644,25.61,15678.4,10.13
boyd-booth,2971,13.2,828.5,3.68,2971,13.2,828.5,3.68
brewers hill,8021,14.02,2585.5,4.52,8021,14.02,2585.5,4.52
bridgeview/greenlawn,4139,9.81,2282,5.41,4139,9.81,2282,5.41
broadway east,8768,5.75,4018.4,2.63,8768,5.75,4018.4,2.63
broening manor,2232,9.3,951.2,3.96,2232,9.3,951.2,3.96
brooklyn,45784,14.74,23584.79,7.59,45784,14.74,23584.79,7.59
burleith-leighton,2729,13.51,1670.5,8.27,2729,13.51,1670.5,8.27
butcher's hill,14971,23.84,5067.9,8.07,14971,23.84,5067.9,8.07
