nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam
NA,150,37.5,77.1,19.27
abell,10519,24.46,4195.4,9.76
allendale,7841,33.94,3889.3,16.84
arcadia,9618,24.41,3919.7,9.95
arlington,4036,27.46,1983.3,13.49
armistead gardens,1440,24.41,642.6,10.89
ashburton,34960,39.68,16313.9,18.52
baltimore highlands,5878,14.3,1934.3,4.71
barclay,16164,23.12,5852.5,8.37
barre circle,6348,26.45,2612.9,10.89
bayview,4444,20.86,1872.5,8.79
beechfield,4350,33.98,2155.6,16.84
belair-edison,34371,26.54,15337.6,11.84
belair-parkside,235,29.38,121.1,15.14
bellona-gittings,4864,27.79,2395.1,13.69
belvedere,3938,28.74,2172.9,15.86
berea,9779,15.7,3085.5,4.95
better waverly,12566,22.89,6359.53,11.58
beverly hills,9724,23.89,4199.4,10.32
biddle street,5810,21.36,2129.7,7.83
blythewood,616,30.8,260.8,13.04
bolton hill,39382,26.65,15344.7,10.38
boyd-booth,2944,26.29,814.7,7.27
brewers hill,7875,20.04,2470.4,6.29
bridgeview/greenlawn,4134,22.97,2117,11.76
broadway east,8481,21.97,3682,9.54
broening manor,2228,21.84,830.2,8.14
brooklyn,44561,22.52,21295.49,10.76
burleith-leighton,2714,31.56,1290.8,15.01
butcher's hill,14806,25.27,4905.3,8.37
callaway-garrison,7834,32.64,4383,18.26
cameron village,3488,37.91,2021.8,21.98
canton,61556,21.91,23554.5,8.39
canton industrial area,3578,16.12,1141.7,5.14
care,7162,17.99,2197.17,5.52
carroll - camden industrial area,15437,22.08,4908.23,7.02
carroll park,24552,28.48,12494.7,14.5
carroll-south hilton,7562,19.9,2625.8,6.91
carrollton ridge,9165,18.67,2623.6,5.34
cedarcroft,12079,35.53,6121.1,18
cedmont,6877,30.84,3823.6,17.15
cedonia,8386,25.26,2897.9,8.73
central forest park,3644,40.49,1685.7,18.73
central park heights,17098,26.76,8282.8,12.96
charles north,7154,20.68,2526.8,7.3
charles village,32644,23.22,11001.9,7.82
cherry hill,10636,25.57,5064.4,12.17
cheswolde,31254,45.43,12079.3,17.56
chinquapin park,4785,28.15,2558.1,15.05
clifton park,38085,23.8,16236.8,10.15
coldspring,27178,27.26,12336.8,12.37
coldstream homestead montebello,19197,23.13,10562.33,12.73
concerned citizens of forest park,2556,35.5,1407.9,19.55
coppin heights/ash-co-east,9516,22.93,4134.1,9.96
cross country,24803,42.91,10976.6,18.99
cross keys,2442,20.02,1355.7,11.11
curtis bay,10249,27.11,4971.4,13.15
curtis bay industrial area,40,40,29.7,29.7
cylburn,6980,35.79,3228,16.55
darley park,2975,23.06,1216.3,9.43
dickeyville,995,32.1,427.3,13.78
dolfield,6481,35.61,3153.9,17.33
dorchester,6019,42.99,2877.95,20.56
downtown,20732,22.15,6378.6,6.81
downtown west,2597,21.11,791.3,6.43
druid heights,8655,20.17,3522.4,8.21
druid hill park,116966,34.67,59145.425,17.53
dunbar-broadway,9914,18.5,3803.69,7.1
east arlington,6690,43.44,3481.2,22.61
east baltimore midway,11719,20.7,4747.4,8.39
easterwood,3226,17.73,1522,8.36
eastwood,286,15.05,121.7,6.41
edgewood,6007,31.62,3118.5,16.41
edmondson village,8051,28.65,4028.9,14.34
ednor gardens-lakeside,27865,26.07,12344.2,11.55
ellwood park/monument,13712,15.94,4387.55,5.1
