nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,stump,dead,poor,fair,good,total_possible,total_trees,total_absent,potential_wellpit
NA,150,11.54,78.8,6.06,20,NA,20,40,20,13,5,8,NA
abell,10603,20.43,4580.9,8.83,4.84,0.66,2.64,57.14,34.73,519,455,64,27
allendale,8192,13.91,4534.4,7.7,8.89,5.56,8.15,31.85,45.56,589,270,319,23
arcadia,9685,19.45,4140.9,8.32,2.44,1.22,4.16,17.6,74.57,498,409,89,14
arlington,4077,8.15,2196.7,4.39,9.09,1.82,32.73,43.03,13.33,500,165,335,96
armistead gardens,1563,8.98,830.1,4.77,22.08,1.3,5.19,31.17,40.26,174,77,97,9
ashburton,35474,21.83,17813.4,10.96,5.65,2.2,10.36,20.71,61.09,1625,956,669,20
baltimore highlands,6002,10.05,2092.6,3.51,2.78,1.86,5.34,18.33,71.69,597,431,166,140
barclay,16389,18.62,6249.5,7.1,2.99,2.17,7.73,26.19,60.92,880,737,143,101
barre circle,6413,25.05,2759.2,10.78,3.57,1.19,1.19,9.52,84.52,256,252,4,2
bayview,4455,10.26,2242,5.17,9.36,NA,5.96,40.85,43.83,434,235,199,110
beechfield,4550,16.02,2419.1,8.52,7.64,3.47,7.64,27.78,53.47,284,144,140,NA
belair-edison,34821,11.05,17420.2,5.53,8.85,1.59,9.89,21.3,58.37,3152,1446,1706,283
belair-parkside,250,14.71,135.7,7.98,10,10,40,20,20,17,10,7,6
bellona-gittings,4994,21.34,2493.2,10.65,2.21,1.1,4.97,25.97,65.75,234,181,53,NA
belvedere,3943,17.22,2427.9,10.6,8.05,NA,3.36,18.79,69.8,229,149,80,6
berea,10054,10.73,3466.4,3.7,3.02,2.87,3.32,17.82,72.96,937,662,275,43
better waverly,12877,13.36,6780.73,7.03,2.23,3.77,15.24,30.65,48.12,964,584,380,195
beverly hills,9818,20.08,4476,9.15,4.19,1.16,3.72,12.56,78.37,489,430,59,3
biddle street,5931,16.12,2252.9,6.12,2.13,1.42,3.19,21.28,71.99,368,282,86,66
blythewood,616,28,270.8,12.31,9.09,NA,NA,18.18,72.73,22,22,NA,NA
bolton hill,39644,25.61,15678.4,10.13,0.86,1.13,4.05,15.58,78.38,1548,1508,40,27
boyd-booth,2971,13.2,828.5,3.68,0.86,2.59,9.48,25.86,61.21,225,116,109,83
brewers hill,8021,14.02,2585.5,4.52,1.71,2.2,2.2,22.74,71.15,572,409,163,137
bridgeview/greenlawn,4139,9.81,2282,5.41,6.25,NA,6.25,28.65,58.85,422,192,230,68
broadway east,8768,5.75,4018.4,2.63,4.99,3.33,13.54,28.98,49.17,1526,421,1105,984
broening manor,2232,9.3,951.2,3.96,4.67,NA,3.74,31.78,59.81,240,107,133,48
brooklyn,45784,14.74,23584.79,7.59,4.8,3.03,10.15,23.06,58.97,3106,2147,959,140
burleith-leighton,2729,13.51,1670.5,8.27,12.87,1.98,11.88,32.67,40.59,202,101,101,3
butcher's hill,14971,23.84,5067.9,8.07,1.66,1.32,3.64,19.87,73.51,628,604,24,19
callaway-garrison,8005,10.64,5004.9,6.66,8.12,3.32,22.88,22.14,43.54,752,271,481,22
cameron village,3501,10.45,2295.3,6.85,11.32,1.89,8.49,21.7,56.6,335,106,229,7
canton,62178,15.05,25118.9,6.08,4.32,1.57,6.43,29.61,58.06,4132,2985,1147,941
canton industrial area,3626,8.13,1181.5,2.65,0.88,1.75,6.14,31.14,60.09,446,228,218,70
care,7276,13.38,2315.37,4.26,2.64,1.92,7.19,30.46,57.79,544,417,127,84
carroll - camden industrial area,15688,16.29,5313.23,5.52,2.46,1.92,2.87,17.37,75.38,963,731,232,137
carroll park,25284,25.77,13127.8,13.38,1.66,3.09,5.08,13.92,76.24,981,905,76,22
carroll-south hilton,7822,12,2900.1,4.45,1.73,4.44,1.48,17.53,74.81,652,405,247,85
carrollton ridge,9366,8.61,2894.9,2.66,4.37,2.28,4.75,23.38,65.21,1088,526,562,423
cedarcroft,12105,30.41,6222.9,15.64,1.44,0.58,8.65,24.5,64.84,398,347,51,1
cedmont,6994,13.74,4310.4,8.47,8.03,2.41,12.85,31.73,44.98,509,249,260,30
cedonia,8479,20.24,3019,7.21,1.47,1.17,4.69,24.34,68.33,419,341,78,NA
central forest park,3716,6.71,1813.4,3.27,9,1,15,24,51,554,100,454,8
central park heights,17709,9.71,9351.7,5.13,5.92,3.95,21.02,34.27,34.84,1823,709,1114,379
charles north,7441,15.15,2743.8,5.59,3.43,5.28,10.03,21.11,60.16,491,379,112,93
charles village,33118,20.63,11633.1,7.25,2.25,1.71,4.78,38.18,53.07,1605,1464,141,78
cherry hill,10804,12.73,5397.1,6.36,3.37,3.15,6.74,26.52,60.22,849,445,404,14
cheswolde,31780,31.88,12711.5,12.75,4.63,1.77,12.79,31.29,49.52,997,735,262,NA
chinquapin park,4854,13.34,2779.3,7.64,5.49,1.1,3.3,30.77,59.34,364,182,182,2
clifton park,39346,21.81,19155.9,10.62,7.38,2.48,4.39,31.21,54.54,1804,1775,29,NA
coldspring,27980,24.98,12847.5,11.47,2.5,1.82,5.28,17.75,72.65,1120,1042,78,NA
coldstream homestead montebello,19589,9.37,11438.63,5.47,5.12,2.56,12.9,41.82,37.6,2090,899,1191,446
concerned citizens of forest park,2640,7.93,1609.7,4.83,8.33,5.95,13.1,33.33,39.29,333,84,249,31
coppin heights/ash-co-east,9712,13.49,4446.5,6.18,4.71,2.24,6.95,22.87,63.23,720,446,274,122
cross country,25047,23.61,12129.3,11.43,7.87,1.1,17.64,35.12,38.27,1061,635,426,5
cross keys,2520,19.53,1428.6,11.07,1.57,2.36,9.45,36.22,50.39,129,127,2,NA
curtis bay,10353,12.94,5413.7,6.77,5.42,1.48,9.11,28.82,55.17,800,406,394,188
curtis bay industrial area,40,0.7,46.7,0.82,50,NA,NA,50,NA,57,2,55,55
cylburn,7118,10.35,3587.1,5.21,5.24,1.9,12.86,30.95,49.05,688,210,478,14
darley park,2987,13.52,1349.3,6.11,6.47,0.72,4.32,35.25,53.24,221,139,82,47
dickeyville,1193,29.82,582,14.55,7.5,15,5,27.5,45,40,40,NA,NA
dolfield,6503,10.97,3568.5,6.02,8.04,0.5,23.12,29.15,39.2,593,199,394,46
dorchester,6179,10.92,3056.15,5.4,11.25,1.25,23.75,38.12,25.62,566,160,406,3
downtown,21785,11.4,7031.9,3.68,3.88,5.43,7.27,15.5,67.93,1911,1032,879,789
downtown west,2712,8.02,828.5,2.45,0.76,6.06,14.39,20.45,58.33,338,132,206,197
druid heights,8816,14.04,3879.1,6.18,3.92,2.61,14.6,65.36,13.51,628,459,169,125
druid hill park,119992,32.83,63661.525,17.42,3.76,3.52,6.02,21.38,65.32,3655,3639,16,NA
dunbar-broadway,10146,14.21,3954.09,5.54,1.42,3.55,4.61,22.34,68.09,714,564,150,101
east arlington,6702,20.19,3974.2,11.97,11.93,0.57,9.66,21.59,56.25,332,176,156,NA
east baltimore midway,11851,9.76,5380.6,4.43,5.9,1.31,8.52,31.8,52.46,1214,610,604,339
easterwood,3305,7.6,1727.9,3.97,3.61,2.58,13.4,20.62,59.79,435,194,241,140
eastwood,288,2.48,149.7,1.29,17.39,NA,34.78,30.43,17.39,116,23,93,NA
edgewood,6066,17.43,3643.9,10.47,12.73,0.91,8.64,33.18,44.55,348,220,128,29
edmondson village,8143,19.03,4349.9,10.16,5.02,1,3.68,31.1,59.2,428,299,129,5
