nbrdesc,tracked_spaces,live_trees,empty_spaces,perc_trees_to_spaces
NA,13,4,9,30.77
abell,519,430,89,82.85
allendale,590,231,359,39.15
arcadia,498,394,104,79.12
arlington,500,147,353,29.4
armistead gardens,174,59,115,33.91
ashburton,1625,881,744,54.22
baltimore highlands,597,411,186,68.84
barclay,880,699,181,79.43
barre circle,256,240,16,93.75
bayview,434,213,221,49.08
beechfield,284,128,156,45.07
belair-edison,3152,1295,1857,41.09
belair-parkside,17,8,9,47.06
bellona-gittings,234,175,59,74.79
belvedere,229,137,92,59.83
berea,937,623,314,66.49
better waverly,964,549,415,56.95
beverly hills,489,407,82,83.23
biddle street,368,272,96,73.91
blythewood,22,20,2,90.91
bolton hill,1548,1478,70,95.48
boyd-booth,225,112,113,49.78
brewers hill,572,393,179,68.71
bridgeview/greenlawn,422,180,242,42.65
broadway east,1526,386,1140,25.29
broening manor,240,102,138,42.5
brooklyn,3106,1979,1127,63.72
burleith-leighton,202,86,116,42.57
butcher's hill,628,586,42,93.31
callaway-garrison,752,240,512,31.91
cameron village,335,92,243,27.46
canton,4132,2809,1323,67.98
canton industrial area,446,222,224,49.78
care,544,398,146,73.16
carroll - camden industrial area,963,699,264,72.59
carroll park,981,862,119,87.87
carroll-south hilton,652,380,272,58.28
carrollton ridge,1088,491,597,45.13
cedarcroft,398,340,58,85.43
cedmont,509,223,286,43.81
cedonia,419,332,87,79.24
central forest park,554,90,464,16.25
central park heights,1823,639,1184,35.05
charles north,491,346,145,70.47
charles village,1606,1406,200,87.55
cherry hill,849,416,433,49
cheswolde,997,688,309,69.01
chinquapin park,364,170,194,46.7
clifton park,1804,1600,204,88.69
coldspring,1120,997,123,89.02
coldstream homestead montebello,2090,830,1260,39.71
concerned citizens of forest park,333,72,261,21.62
coppin heights/ash-co-east,720,415,305,57.64
cross country,1061,578,483,54.48
cross keys,129,122,7,94.57
curtis bay,800,378,422,47.25
curtis bay industrial area,57,1,56,1.75
cylburn,688,195,493,28.34
darley park,221,129,92,58.37
dickeyville,40,31,9,77.5
dolfield,593,182,411,30.69
dorchester,566,140,426,24.73
downtown,1911,936,975,48.98
downtown west,338,123,215,36.39
druid heights,628,429,199,68.31
druid hill park,3655,3374,281,92.31
dunbar-broadway,714,536,178,75.07
east arlington,332,154,178,46.39
east baltimore midway,1214,566,648,46.62
easterwood,435,182,253,41.84
eastwood,116,19,97,16.38
edgewood,348,190,158,54.6
edmondson village,428,281,147,65.65
ednor gardens-lakeside,1656,1069,587,64.55
ellwood park/monument,1067,860,207,80.6
evergreen,319,285,34,89.34
evergreen lawn,265,118,147,44.53
evesham park,296,272,24,91.89
fairfield area,336,228,108,67.86
fairmont,354,163,191,46.05
fallstaff,559,260,299,46.51
federal hill,1031,768,263,74.49
fells point,1397,953,444,68.22
forest park,661,173,488,26.17
forest park golf course,405,204,201,50.37
four by four,90,21,69,23.33
frankford,2644,1461,1183,55.26
