nbrdesc,total_possible,total_trees,total_absent,potential_wellpit
NA,13,5,8,NA
abell,519,455,64,27
allendale,589,270,319,23
arcadia,498,409,89,14
arlington,500,165,335,96
armistead gardens,174,77,97,9
ashburton,1625,956,669,20
baltimore highlands,597,431,166,140
barclay,880,737,143,101
barre circle,256,252,4,2
bayview,434,235,199,110
beechfield,284,144,140,NA
belair-edison,3152,1446,1706,283
belair-parkside,17,10,7,6
bellona-gittings,234,181,53,NA
belvedere,229,149,80,6
berea,937,662,275,43
better waverly,964,584,380,195
beverly hills,489,430,59,3
biddle street,368,282,86,66
blythewood,22,22,NA,NA
bolton hill,1548,1508,40,27
boyd-booth,225,116,109,83
brewers hill,572,409,163,137
bridgeview/greenlawn,422,192,230,68
broadway east,1526,421,1105,984
broening manor,240,107,133,48
brooklyn,3106,2147,959,140
burleith-leighton,202,101,101,3
butcher's hill,628,604,24,19
callaway-garrison,752,271,481,22
cameron village,335,106,229,7
canton,4132,2985,1147,941
canton industrial area,446,228,218,70
care,544,417,127,84
carroll - camden industrial area,963,731,232,137
carroll park,981,905,76,22
carroll-south hilton,652,405,247,85
carrollton ridge,1088,526,562,423
cedarcroft,398,347,51,1
cedmont,509,249,260,30
cedonia,419,341,78,NA
central forest park,554,100,454,8
central park heights,1823,709,1114,379
charles north,491,379,112,93
charles village,1605,1464,141,78
cherry hill,849,445,404,14
cheswolde,997,735,262,NA
chinquapin park,364,182,182,2
clifton park,1804,1775,29,NA
coldspring,1120,1042,78,NA
coldstream homestead montebello,2090,899,1191,446
concerned citizens of forest park,333,84,249,31
coppin heights/ash-co-east,720,446,274,122
cross country,1061,635,426,5
cross keys,129,127,2,NA
curtis bay,800,406,394,188
curtis bay industrial area,57,2,55,55
cylburn,688,210,478,14
darley park,221,139,82,47
dickeyville,40,40,NA,NA
dolfield,593,199,394,46
dorchester,566,160,406,3
downtown,1911,1032,879,789
downtown west,338,132,206,197
druid heights,628,459,169,125
druid hill park,3655,3639,16,NA
dunbar-broadway,714,564,150,101
east arlington,332,176,156,NA
east baltimore midway,1214,610,604,339
easterwood,435,194,241,140
eastwood,116,23,93,NA
edgewood,348,220,128,29
edmondson village,428,299,129,5
ednor gardens-lakeside,1656,1136,520,7
ellwood park/monument,1067,910,157,106
evergreen,319,310,9,1
evergreen lawn,265,130,135,65
evesham park,296,288,8,NA
fairfield area,336,241,95,17
