date_hour,mean_indoor_temperature,mean_indoor_heat_index,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-03T12:00:00Z,75,74,73,71,2,3
2019-06-20T14:00:00Z,85.3,88.9,91.9,97,-6.6000000000000085,-8.099999999999994
2019-06-20T15:00:00Z,83.4,85.2,89.1,94,-5.699999999999989,-8.799999999999997
2019-06-20T16:00:00Z,82.7,84.6,90,91,-7.299999999999997,-6.400000000000006
2019-06-20T17:00:00Z,82.4,83.6,88,88,-5.599999999999994,-4.400000000000006
2019-06-20T18:00:00Z,82,83,86,87,-4,-4
2019-06-20T19:00:00Z,81.6,82.1,84,85,-2.4000000000000057,-2.9000000000000057
2019-06-20T20:00:00Z,81.2,82,82.9,84,-1.7000000000000028,-2
2019-06-20T21:00:00Z,80.9,81.2,82,83,-1.0999999999999943,-1.7999999999999972
2019-06-20T22:00:00Z,80.6,81,77,78,3.5999999999999943,3
2019-06-20T23:00:00Z,80.2,81,73.9,75,6.299999999999997,6
2019-06-21T00:00:00Z,80.2,80.5,73,74,7.200000000000003,6.5
2019-06-21T01:00:00Z,81.1,82.1,73,74,8.099999999999994,8.099999999999994
2019-06-21T02:00:00Z,81.7,83.3,73,74,8.700000000000003,9.299999999999997
2019-06-21T03:00:00Z,82.1,84,73.9,74,8.199999999999989,10
2019-06-21T04:00:00Z,82.3,84.7,73.9,74,8.399999999999991,10.700000000000003
2019-06-21T05:00:00Z,82.5,85,73,73,9.5,12
2019-06-21T06:00:00Z,81.7,82.8,73.9,74,7.799999999999997,8.799999999999997
2019-06-21T07:00:00Z,80.9,81.5,73.9,74,7,7.5
2019-06-21T08:00:00Z,80.4,81,73.9,74,6.5,7
2019-06-21T09:00:00Z,80,80.6,73.9,74,6.099999999999994,6.599999999999994
2019-06-21T10:00:00Z,80.1,80.6,78.1,78,2,2.5999999999999943
2019-06-21T11:00:00Z,81.1,82,78.1,78,3,4
2019-06-21T12:00:00Z,81.6,82.7,79,79,2.5999999999999943,3.700000000000003
2019-06-21T13:00:00Z,81.8,83,81,81,0.7999999999999972,2
2019-06-21T14:00:00Z,81.9,83,82,81,-0.09999999999999432,2
2019-06-21T15:00:00Z,82,83,82,81,0,2
2019-06-21T16:00:00Z,82.2,83,82.9,82,-0.7000000000000028,1
2019-06-21T17:00:00Z,82,83,82,81,0,2
2019-06-21T18:00:00Z,82,82.6,81,81,1,1.5999999999999943
2019-06-21T19:00:00Z,82.2,83,79,79,3.200000000000003,4
2019-06-21T20:00:00Z,82.2,83,78.1,78,4.1000000000000085,5
2019-06-21T21:00:00Z,82.3,83.5,77,76,5.299999999999997,7.5
2019-06-21T22:00:00Z,82.3,83.4,75.9,75,6.3999999999999915,8.400000000000006
2019-06-21T23:00:00Z,82.2,83,73.9,73,8.299999999999997,10
2019-06-22T00:00:00Z,81.9,82.4,73,72,8.900000000000006,10.400000000000006
2019-06-22T01:00:00Z,81,81.3,71.1,70,9.900000000000006,11.299999999999997
2019-06-22T02:00:00Z,80.1,80.2,70,69,10.099999999999994,11.200000000000003
2019-06-22T03:00:00Z,79.4,79.6,68,67,11.400000000000006,12.599999999999994
2019-06-22T04:00:00Z,79.6,79.9,66.9,66,12.699999999999989,13.900000000000006
2019-06-22T05:00:00Z,80.1,81,66,65,14.099999999999994,16
2019-06-22T06:00:00Z,80.2,81,66.9,66,13.299999999999997,15
2019-06-22T07:00:00Z,80.3,81,71.1,70,9.200000000000003,11
2019-06-22T08:00:00Z,80.7,81.1,73,72,7.700000000000003,9.099999999999994
2019-06-22T09:00:00Z,81.1,81.9,75,74,6.099999999999994,7.900000000000006
2019-06-22T10:00:00Z,80.5,80.8,78.1,77,2.4000000000000057,3.799999999999997
2019-06-22T11:00:00Z,80,80,79,78,1,2
2019-06-22T12:00:00Z,79.4,79.5,80.1,80,-0.6999999999999886,-0.5
2019-06-22T13:00:00Z,78.9,78.5,81,80,-2.0999999999999943,-1.5
2019-06-22T14:00:00Z,78.7,78,81,80,-2.299999999999997,-2
2019-06-22T15:00:00Z,78.6,78,82,80,-3.4000000000000057,-2
2019-06-22T16:00:00Z,78.6,78,82,80,-3.4000000000000057,-2
2019-06-22T17:00:00Z,78.5,78,81,80,-2.5,-2
2019-06-22T18:00:00Z,78.3,78,80.1,79,-1.7999999999999972,-1
2019-06-22T19:00:00Z,78.4,78,79,78,-0.5999999999999943,0
2019-06-22T20:00:00Z,79.1,79,79,78,0.09999999999999432,1
2019-06-22T21:00:00Z,79.5,80,77,76,2.5,4
2019-06-22T22:00:00Z,79.8,80.6,75.9,75,3.8999999999999915,5.599999999999994
2019-06-22T23:00:00Z,80,81,75,74,5,7
2019-06-23T00:00:00Z,80.2,81,73.9,73,6.299999999999997,8
2019-06-23T01:00:00Z,80.2,81,72,71,8.200000000000003,10
2019-06-23T02:00:00Z,80.2,81,70,69,10.200000000000003,12
2019-06-23T03:00:00Z,80.1,80.9,69.1,68,11,12.900000000000006
2019-06-23T04:00:00Z,80.1,81,68,67,12.099999999999994,14
2019-06-23T05:00:00Z,79.7,80.3,66.9,66,12.799999999999997,14.299999999999997
2019-06-23T06:00:00Z,78.6,78.2,69.1,68,9.5,10.200000000000003
2019-06-23T07:00:00Z,78,77.5,72,71,6,6.5
2019-06-23T08:00:00Z,77.9,77,75.9,75,2,2
2019-06-23T09:00:00Z,78.3,77.7,78.1,77,0.20000000000000284,0.7000000000000028
2019-06-23T10:00:00Z,79.3,79.6,79,78,0.29999999999999716,1.5999999999999943
2019-06-23T11:00:00Z,80.1,81,80.1,79,0,2
2019-06-23T12:00:00Z,80.5,81,82.9,81,-2.4000000000000057,0
2019-06-23T13:00:00Z,80.6,81,82.9,81,-2.3000000000000114,0
2019-06-23T14:00:00Z,80.7,81,84.9,83,-4.200000000000003,-2
2019-06-23T15:00:00Z,81,81.3,86,84,-5,-2.700000000000003
2019-06-23T16:00:00Z,81.4,82,84.9,83,-3.5,-1
2019-06-23T17:00:00Z,81.8,83,84,82,-2.200000000000003,1
2019-06-23T18:00:00Z,82,83,82.9,81,-0.9000000000000057,2
2019-06-23T19:00:00Z,82,83,82,81,0,2
2019-06-23T20:00:00Z,82.1,83,81,80,1.0999999999999943,3
2019-06-23T21:00:00Z,82.3,83.4,79,79,3.299999999999997,4.400000000000006
2019-06-23T22:00:00Z,82.1,83,75.9,75,6.199999999999989,8
2019-06-23T23:00:00Z,81.3,81.5,75,75,6.299999999999997,6.5
2019-06-24T00:00:00Z,80.6,81,73,73,7.599999999999994,8
2019-06-24T01:00:00Z,80.1,80,71.1,71,9,9
2019-06-24T02:00:00Z,80,80.4,70,70,10,10.400000000000006
2019-06-24T03:00:00Z,80.7,81.1,70,70,10.700000000000003,11.099999999999994
2019-06-24T04:00:00Z,81,82,70,70,11,12
2019-06-24T05:00:00Z,81.1,82,70,70,11.099999999999994,12
2019-06-24T06:00:00Z,81.1,81.9,73,73,8.099999999999994,8.900000000000006
2019-06-24T07:00:00Z,80.2,80.7,73.9,74,6.299999999999997,6.700000000000003
2019-06-24T08:00:00Z,80,80,77,77,3,3
2019-06-24T09:00:00Z,79.9,80,79,81,0.9000000000000057,-1
2019-06-24T10:00:00Z,79.7,80,81,82,-1.2999999999999972,-2
2019-06-24T11:00:00Z,79.7,80,84.9,87,-5.200000000000003,-7
2019-06-24T12:00:00Z,79.6,80,84.9,88,-5.300000000000011,-8
2019-06-24T13:00:00Z,79.6,80,87.1,91,-7.5,-11
2019-06-24T14:00:00Z,79.5,80,87.1,93,-7.599999999999994,-13
2019-06-24T15:00:00Z,79.4,80,84.9,89,-5.5,-9
2019-06-24T16:00:00Z,79.5,80,86,92,-6.5,-12
2019-06-24T17:00:00Z,79.5,80,84.9,91,-5.400000000000006,-11
2019-06-24T18:00:00Z,79.5,80,84,90,-4.5,-10
