nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,absent,dead,fair,good,n/a,poor,sprouts,stump,stump w
abell,10603,20.43,4580.9,8.83,12.33,0.58,50.1,30.44,NA,2.31,0.19,4.05,NA
allendale,8242,13.97,4556.5,7.72,54.07,2.54,14.58,20.85,0.17,3.73,0.17,3.9,NA
arcadia,9685,19.45,4140.9,8.32,17.87,1,14.46,61.24,NA,3.41,NA,2.01,NA
arlington,4077,8.15,2196.7,4.39,67,0.6,14.2,4.4,NA,10.8,0.2,2.8,NA
armistead gardens,1563,8.98,830.1,4.77,55.75,0.57,13.79,17.82,NA,2.3,3.45,6.32,NA
ashburton,35474,21.83,17813.4,10.96,41.17,1.29,12.18,35.94,NA,6.09,0.31,3.02,NA
baltimore highlands,6002,10.05,2092.6,3.51,27.81,1.34,13.23,51.76,NA,3.85,0.34,1.68,NA
barclay,16389,18.62,6249.5,7.1,16.25,1.82,21.93,51.02,NA,6.48,NA,2.5,NA
barre circle,6413,25.05,2759.2,10.78,1.56,1.17,9.38,83.2,NA,1.17,NA,3.52,NA
bayview,4455,10.26,2242,5.17,45.85,NA,22.12,23.73,NA,3.23,0.46,4.61,NA
beechfield,4550,16.02,2419.1,8.52,49.3,1.76,14.08,27.11,NA,3.87,NA,3.87,NA
belair-edison,34821,11.05,17420.2,5.53,54.12,0.73,9.77,26.78,NA,4.54,0.19,3.87,NA
belair-parkside,250,14.71,135.7,7.98,41.18,5.88,11.76,11.76,NA,23.53,NA,5.88,NA
bellona-gittings,4994,21.34,2493.2,10.65,22.65,0.85,20.09,50.85,NA,3.85,NA,1.71,NA
belvedere,3943,17.22,2427.9,10.6,34.93,NA,12.23,45.41,NA,2.18,0.44,4.8,NA
berea,10054,10.73,3466.4,3.7,29.35,2.03,12.59,51.55,NA,2.35,NA,1.92,0.21
better waverly,12877,13.36,6780.73,7.03,39.42,2.28,18.57,29.15,NA,9.23,0.1,1.24,NA
beverly hills,9818,20.08,4476,9.15,12.07,1.02,11.04,68.92,NA,3.27,0.41,3.27,NA
biddle street,5931,16.12,2252.9,6.12,23.37,1.09,16.3,55.16,NA,2.45,NA,1.63,NA
blythewood,616,28,270.8,12.31,NA,NA,18.18,72.73,NA,NA,NA,9.09,NA
