nbrdesc,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
abell,12.33,4.05,0.58,2.31,50.1,30.44,0.19,NA,7.52,4.27,0.61,2.44,52.85,32.11,0.2,NA
allendale,54.07,3.9,2.54,3.73,14.58,20.85,0.17,0.17,52.2,4.06,2.65,3.88,15.17,21.69,0.18,0.18
arcadia,17.87,2.01,1,3.41,14.46,61.24,NA,NA,15.5,2.07,1.03,3.51,14.88,63.02,NA,NA
arlington,67,2.8,0.6,10.8,14.2,4.4,0.2,NA,59.16,3.47,0.74,13.37,17.57,5.45,0.25,NA
armistead gardens,55.75,6.32,0.57,2.3,13.79,17.82,3.45,NA,53.33,6.67,0.61,2.42,14.55,18.79,3.64,NA
ashburton,41.17,3.02,1.29,6.09,12.18,35.94,0.31,NA,40.44,3.05,1.31,6.17,12.34,36.39,0.31,NA
baltimore highlands,27.81,1.68,1.34,3.85,13.23,51.76,0.34,NA,5.69,2.19,1.75,5.03,17.29,67.61,0.44,NA
barclay,16.25,2.5,1.82,6.48,21.93,51.02,NA,NA,5.39,2.82,2.05,7.32,24.78,57.64,NA,NA
barre circle,1.56,3.52,1.17,1.17,9.38,83.2,NA,NA,0.79,3.54,1.18,1.18,9.45,83.86,NA,NA
bayview,45.85,4.61,NA,3.23,22.12,23.73,0.46,NA,27.47,6.17,NA,4.32,29.63,31.79,0.62,NA
beechfield,49.3,3.87,1.76,3.87,14.08,27.11,NA,NA,49.3,3.87,1.76,3.87,14.08,27.11,NA,NA
belair-edison,54.12,3.87,0.73,4.54,9.77,26.78,0.19,NA,49.6,4.25,0.8,4.98,10.74,29.42,0.21,NA
belair-parkside,41.18,5.88,5.88,23.53,11.76,11.76,NA,NA,9.09,9.09,9.09,36.36,18.18,18.18,NA,NA
bellona-gittings,22.65,1.71,0.85,3.85,20.09,50.85,NA,NA,22.65,1.71,0.85,3.85,20.09,50.85,NA,NA
belvedere,34.93,4.8,NA,2.18,12.23,45.41,0.44,NA,33.18,4.93,NA,2.24,12.56,46.64,0.45,NA
berea,29.35,2.13,2.03,2.35,12.59,51.55,NA,NA,25.95,2.24,2.13,2.46,13.2,54.03,NA,NA
better waverly,39.42,1.24,2.28,9.23,18.57,29.15,0.1,NA,24.06,1.56,2.86,11.57,23.28,36.54,0.13,NA
beverly hills,12.07,3.27,1.02,3.27,11.04,68.92,0.41,NA,11.52,3.29,1.03,3.29,11.11,69.34,0.41,NA
biddle street,23.37,1.63,1.09,2.45,16.3,55.16,NA,NA,6.62,1.99,1.32,2.98,19.87,67.22,NA,NA
blythewood,NA,9.09,NA,NA,18.18,72.73,NA,NA,NA,9.09,NA,NA,18.18,72.73,NA,NA
bolton hill,2.58,0.78,1.1,3.94,15.18,76.36,0.06,NA,0.85,0.79,1.12,4.01,15.45,77.71,0.07,NA
boyd-booth,48.44,0.44,1.33,4.89,13.33,31.56,NA,NA,18.31,0.7,2.11,7.75,21.13,50,NA,NA
brewers hill,28.5,1.05,1.57,1.57,16.26,50.87,0.17,NA,5.98,1.38,2.07,2.07,21.38,66.9,0.23,NA
bridgeview/greenlawn,54.5,2.61,NA,2.84,13.03,26.78,0.24,NA,45.76,3.11,NA,3.39,15.54,31.92,0.28,NA
broadway east,72.41,1.38,0.92,3.74,7.99,13.56,NA,NA,22.32,3.87,2.58,10.52,22.51,38.19,NA,NA
broening manor,55.42,1.67,NA,1.67,14.17,26.67,0.42,NA,44.27,2.08,NA,2.08,17.71,33.33,0.52,NA
brooklyn,30.88,3.03,2.09,7.02,15.94,40.76,0.29,NA,27.61,3.17,2.19,7.35,16.69,42.68,0.3,NA
burleith-leighton,50,6.44,0.99,5.94,16.34,20.3,NA,NA,49.25,6.53,1.01,6.03,16.58,20.6,NA,NA
butcher's hill,3.82,1.43,1.27,3.5,19.11,70.7,0.16,NA,0.82,1.48,1.31,3.61,19.7,72.91,0.16,NA
callaway-garrison,63.96,2.79,1.2,8.24,7.98,15.69,0.13,NA,62.88,2.88,1.23,8.49,8.22,16.16,0.14,NA
cameron village,68.36,3.58,0.6,2.69,6.87,17.91,NA,NA,67.68,3.66,0.61,2.74,7.01,18.29,NA,NA
canton,27.76,3.07,1.14,4.65,21.39,41.94,0.05,NA,6.46,3.98,1.47,6.02,27.7,54.31,0.06,NA
canton industrial area,48.88,0.22,0.9,3.14,15.92,30.72,0.22,NA,39.36,0.27,1.06,3.72,18.88,36.44,0.27,NA
care,23.35,1.84,1.47,5.51,23.35,44.3,0.18,NA,9.35,2.17,1.74,6.52,27.61,52.39,0.22,NA
carroll - camden industrial area,24.09,1.66,1.45,2.18,13.19,57.22,0.21,NA,11.5,1.94,1.69,2.54,15.38,66.71,0.24,NA
carroll park,7.75,1.33,2.85,4.69,12.84,70.34,0.2,NA,5.63,1.36,2.92,4.8,13.14,71.95,0.21,NA
carroll-south hilton,37.88,0.92,2.76,0.92,10.89,46.47,0.15,NA,28.57,1.06,3.17,1.06,12.52,53.44,0.18,NA
carrollton ridge,51.65,1.38,1.1,2.3,11.31,31.53,0.74,NA,20.9,2.26,1.8,3.76,18.5,51.58,1.2,NA
cedarcroft,12.81,1.26,0.5,7.54,21.36,56.53,NA,NA,12.59,1.26,0.5,7.56,21.41,56.68,NA,NA
cedmont,51.08,3.93,1.18,6.29,15.52,22,NA,NA,48.02,4.18,1.25,6.68,16.49,23.38,NA,NA
cedonia,18.62,1.19,0.95,3.82,19.81,55.61,NA,NA,18.62,1.19,0.95,3.82,19.81,55.61,NA,NA
central forest park,81.95,0.72,0.18,2.71,4.33,9.21,0.9,NA,81.68,0.73,0.18,2.75,4.4,9.34,0.92,NA
central park heights,61.11,2.3,1.54,8.17,13.33,13.55,NA,NA,50.9,2.91,1.94,10.32,16.83,17.11,NA,NA
charles north,22.81,2.24,4.07,7.74,16.29,46.44,0.41,NA,4.77,2.76,5.03,9.55,20.1,57.29,0.5,NA
charles village,8.78,1.99,1.56,4.36,34.81,48.38,0.06,0.06,4.12,2.09,1.64,4.58,36.58,50.85,0.07,0.07
cherry hill,47.59,1.53,1.65,3.53,13.9,31.57,0.24,NA,46.71,1.56,1.68,3.59,14.13,32.1,0.24,NA
cheswolde,26.28,3.01,1.3,9.43,23.07,36.51,0.4,NA,26.28,3.01,1.3,9.43,23.07,36.51,0.4,NA
chinquapin park,50,2.47,0.55,1.65,15.38,29.67,0.27,NA,49.72,2.49,0.55,1.66,15.47,29.83,0.28,NA
clifton park,1.61,5.76,2.44,4.32,30.71,53.66,1.5,NA,1.61,5.76,2.44,4.32,30.71,53.66,1.5,NA
coldspring,6.96,2.05,1.7,4.91,16.52,67.59,0.27,NA,6.96,2.05,1.7,4.91,16.52,67.59,0.27,NA
coldstream homestead montebello,56.99,1.82,1.1,5.55,17.99,16.17,0.38,NA,45.32,2.31,1.4,7.06,22.87,20.56,0.49,NA
concerned citizens of forest park,74.77,1.8,1.5,3.3,8.41,9.91,0.3,NA,72.19,1.99,1.66,3.64,9.27,10.93,0.33,NA
coppin heights/ash-co-east,38.06,2.22,1.39,4.31,14.17,39.17,0.69,NA,25.42,2.68,1.67,5.18,17.06,47.16,0.84,NA
cross country,40.15,4.52,0.66,10.56,21.02,22.9,0.19,NA,39.87,4.55,0.66,10.61,21.12,23.01,0.19,NA
cross keys,1.55,1.55,2.33,9.3,35.66,49.61,NA,NA,1.55,1.55,2.33,9.3,35.66,49.61,NA,NA
curtis bay,49.25,2.5,0.75,4.62,14.62,28,0.25,NA,33.66,3.27,0.98,6.05,19.12,36.6,0.33,NA
