nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
NA,150,11.54,78.8,6.06,61.54,7.69,NA,7.69,15.38,7.69,NA,NA,150,11.54,78.8,6.06,61.54,7.69,NA,7.69,15.38,7.69,NA,NA
abell,10603,20.43,4580.9,8.83,12.33,4.05,0.58,2.31,50.1,30.44,0.19,NA,10603,20.43,4580.9,8.83,7.52,4.27,0.61,2.44,52.85,32.11,0.2,NA
allendale,8242,13.97,4556.5,7.72,54.07,3.9,2.54,3.73,14.58,20.85,0.17,0.17,8242,13.97,4556.5,7.72,52.2,4.06,2.65,3.88,15.17,21.69,0.18,0.18
arcadia,9685,19.45,4140.9,8.32,17.87,2.01,1,3.41,14.46,61.24,NA,NA,9685,19.45,4140.9,8.32,15.5,2.07,1.03,3.51,14.88,63.02,NA,NA
arlington,4077,8.15,2196.7,4.39,67,2.8,0.6,10.8,14.2,4.4,0.2,NA,4077,8.15,2196.7,4.39,59.16,3.47,0.74,13.37,17.57,5.45,0.25,NA
armistead gardens,1563,8.98,830.1,4.77,55.75,6.32,0.57,2.3,13.79,17.82,3.45,NA,1563,8.98,830.1,4.77,53.33,6.67,0.61,2.42,14.55,18.79,3.64,NA
ashburton,35474,21.83,17813.4,10.96,41.17,3.02,1.29,6.09,12.18,35.94,0.31,NA,35474,21.83,17813.4,10.96,40.44,3.05,1.31,6.17,12.34,36.39,0.31,NA
baltimore highlands,6002,10.05,2092.6,3.51,27.81,1.68,1.34,3.85,13.23,51.76,0.34,NA,6002,10.05,2092.6,3.51,5.69,2.19,1.75,5.03,17.29,67.61,0.44,NA
barclay,16389,18.62,6249.5,7.1,16.25,2.5,1.82,6.48,21.93,51.02,NA,NA,16389,18.62,6249.5,7.1,5.39,2.82,2.05,7.32,24.78,57.64,NA,NA
barre circle,6413,25.05,2759.2,10.78,1.56,3.52,1.17,1.17,9.38,83.2,NA,NA,6413,25.05,2759.2,10.78,0.79,3.54,1.18,1.18,9.45,83.86,NA,NA
